:Data_list: 20010808_ace_sis_5m.txt
:Created: 2001 Aug 09 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2001 08 08  0000    52129       0      0    8.27e-01    0    5.83e-01
2001 08 08  0005    52129     300      0    8.03e-01    0    5.66e-01
2001 08 08  0010    52129     600      0    8.23e-01    0    5.81e-01
2001 08 08  0015    52129     900      0    8.13e-01    0    5.78e-01
2001 08 08  0020    52129    1200      0    7.96e-01    0    5.66e-01
2001 08 08  0025    52129    1500      0    8.24e-01    0    5.78e-01
2001 08 08  0030    52129    1800      0    8.20e-01    0    5.78e-01
2001 08 08  0035    52129    2100      0    8.21e-01    0    5.86e-01
2001 08 08  0040    52129    2400      0    8.16e-01    0    5.81e-01
2001 08 08  0045    52129    2700      0    8.19e-01    0    5.76e-01
2001 08 08  0050    52129    3000      0    8.34e-01    0    5.90e-01
2001 08 08  0055    52129    3300      0    8.20e-01    0    5.76e-01
2001 08 08  0100    52129    3600      0    8.08e-01    0    5.67e-01
2001 08 08  0105    52129    3900      0    8.23e-01    0    5.78e-01
2001 08 08  0110    52129    4200      0    7.96e-01    0    5.60e-01
2001 08 08  0115    52129    4500      0    7.70e-01    0    5.40e-01
2001 08 08  0120    52129    4800      0    8.03e-01    0    5.64e-01
2001 08 08  0125    52129    5100      0    8.15e-01    0    5.72e-01
2001 08 08  0130    52129    5400      0    8.31e-01    0    5.88e-01
2001 08 08  0135    52129    5700      0    8.23e-01    0    5.84e-01
2001 08 08  0140    52129    6000      0    8.41e-01    0    5.91e-01
2001 08 08  0145    52129    6300      0    8.21e-01    0    5.79e-01
2001 08 08  0150    52129    6600      0    8.31e-01    0    5.86e-01
2001 08 08  0155    52129    6900      0    8.13e-01    0    5.70e-01
2001 08 08  0200    52129    7200      0    7.99e-01    0    5.64e-01
2001 08 08  0205    52129    7500      0    8.50e-01    0    5.96e-01
2001 08 08  0210    52129    7800      0    8.48e-01    0    5.97e-01
2001 08 08  0215    52129    8100      0    8.09e-01    0    5.69e-01
2001 08 08  0220    52129    8400      0    8.29e-01    0    5.83e-01
2001 08 08  0225    52129    8700      0    8.17e-01    0    5.73e-01
2001 08 08  0230    52129    9000      0    8.21e-01    0    5.88e-01
2001 08 08  0235    52129    9300      0    7.94e-01    0    5.55e-01
2001 08 08  0240    52129    9600      0    8.19e-01    0    5.72e-01
2001 08 08  0245    52129    9900      0    8.16e-01    0    5.77e-01
2001 08 08  0250    52129   10200      0    8.30e-01    0    5.88e-01
2001 08 08  0255    52129   10500      0    8.52e-01    0    5.99e-01
2001 08 08  0300    52129   10800      0    8.38e-01    0    5.93e-01
2001 08 08  0305    52129   11100      0    8.20e-01    0    5.68e-01
2001 08 08  0310    52129   11400      0    8.08e-01    0    5.69e-01
2001 08 08  0315    52129   11700      0    8.00e-01    0    5.69e-01
