:Data_list: 20010911_ace_epam_5m.txt
:Created: 2001 Sep 12 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# Note: 7/26/00 Corrected Differential Flux ranges.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S   47-65    112-187   310-580   761-1220 060-1910   Ratio
#-------------------------------------------------------------------------------------------------------------------
2001 09 11  0000   52163       0  0  4.47e+03  3.92e+01  0  3.24e+02  2.98e+01  6.25e+00  8.79e-01  3.95e-01   0.22
2001 09 11  0005   52163     300  0  4.56e+03  3.65e+01  0  3.35e+02  3.04e+01  5.15e+00  1.02e+00  5.87e-01   0.34
2001 09 11  0010   52163     600  0  4.28e+03  4.12e+01  0  3.64e+02  3.14e+01  4.92e+00  1.52e+00  6.53e-01   0.30
2001 09 11  0015   52163     900  0  4.28e+03  3.34e+01  0  3.54e+02  3.24e+01  4.59e+00  1.18e+00  4.49e-01   0.59
2001 09 11  0020   52163    1200  0  4.42e+03  3.92e+01  0  3.16e+02  3.64e+01  4.06e+00  1.11e+00  4.72e-01   0.54
2001 09 11  0025   52163    1500  0  4.56e+03  3.83e+01  0  3.51e+02  3.40e+01  4.90e+00  1.30e+00  5.29e-01   0.54
2001 09 11  0030   52163    1800  0  4.09e+03  3.44e+01  0  3.79e+02  3.24e+01  3.79e+00  1.24e+00  5.45e-01   0.57
2001 09 11  0035   52163    2100  0  4.37e+03  3.71e+01  0  3.66e+02  3.40e+01  4.73e+00  1.37e+00  4.96e-01   0.44
2001 09 11  0040   52163    2400  0  4.02e+03  3.38e+01  0  3.41e+02  3.44e+01  4.40e+00  1.16e+00  5.10e-01   0.59
2001 09 11  0045   52163    2700  0  4.16e+03  3.63e+01  0  2.95e+02  3.01e+01  4.96e+00  1.00e+00  5.88e-01   0.98
2001 09 11  0050   52163    3000  0  4.15e+03  3.36e+01  0  2.93e+02  3.49e+01  5.39e+00  9.78e-01  5.67e-01   0.66
2001 09 11  0055   52163    3300  0  3.69e+03  2.92e+01  0  2.52e+02  2.85e+01  4.33e+00  1.17e+00  4.81e-01   0.86
2001 09 11  0100   52163    3600  0  4.04e+03  3.77e+01  0  2.64e+02  3.13e+01  4.48e+00  1.30e+00  4.16e-01   0.54
2001 09 11  0105   52163    3900  0  3.94e+03  3.37e+01  0  2.93e+02  3.13e+01  6.17e+00  9.77e-01  4.55e-01   1.30
2001 09 11  0110   52163    4200  0  3.41e+03  3.58e+01  0  2.65e+02  2.55e+01  4.74e+00  1.24e+00  4.90e-01   0.72
2001 09 11  0115   52163    4500  0  3.54e+03  3.38e+01  0  2.61e+02  2.90e+01  4.57e+00  1.16e+00  4.01e-01   0.49
2001 09 11  0120   52163    4800  0  3.71e+03  3.64e+01  0  3.40e+02  3.18e+01  4.95e+00  1.38e+00  4.64e-01   0.26
2001 09 11  0125   52163    5100  0  3.49e+03  3.03e+01  0  2.83e+02  3.00e+01  4.29e+00  1.13e+00  5.36e-01   0.83
2001 09 11  0130   52163    5400  0  3.27e+03  3.25e+01  0  3.03e+02  3.29e+01  5.33e+00  1.19e+00  3.93e-01   0.74
2001 09 11  0135   52163    5700  0  3.42e+03  4.29e+01  0  2.57e+02  2.91e+01  5.90e+00  1.15e+00  3.38e-01   0.43
