:Data_list: 20010929_ace_swepam_1m.txt
:Created: 2001 Sep 30 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2001 09 29  0000   52181       0    0        1.3      496.4     1.32e+05
2001 09 29  0001   52181      60    0        1.3      501.2     1.19e+05
2001 09 29  0002   52181     120    0        1.2      501.1     1.24e+05
2001 09 29  0003   52181     180    0        1.5      485.1     1.72e+05
2001 09 29  0004   52181     240    0        1.5      481.5     1.45e+05
2001 09 29  0005   52181     300    0        1.4      486.4     1.79e+05
2001 09 29  0006   52181     360    0        1.3      492.2     1.65e+05
2001 09 29  0007   52181     420    0        1.3      492.2     1.65e+05
2001 09 29  0008   52181     480    0        1.6      533.7     1.31e+05
2001 09 29  0009   52181     540    0        1.8      525.5     1.16e+05
2001 09 29  0010   52181     600    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0011   52181     660    0        1.7      517.8     9.90e+04
2001 09 29  0012   52181     720    0        1.6      527.5     1.13e+05
2001 09 29  0013   52181     780    0        1.7      523.7     1.14e+05
2001 09 29  0014   52181     840    0        1.9      518.0     1.28e+05
2001 09 29  0015   52181     900    0        1.5      511.1     1.15e+05
2001 09 29  0016   52181     960    1        1.7      494.1     1.57e+05
2001 09 29  0017   52181    1020    0        1.6      498.2     1.44e+05
2001 09 29  0018   52181    1080    0        1.6      494.8     1.42e+05
2001 09 29  0019   52181    1140    0        1.4      493.9     1.71e+05
2001 09 29  0020   52181    1200    1        1.3      493.4     1.70e+05
2001 09 29  0021   52181    1260    1        1.3      493.3     1.53e+05
2001 09 29  0022   52181    1320    0        1.6      500.7     1.35e+05
2001 09 29  0023   52181    1380    0        1.6      500.7     1.35e+05
2001 09 29  0024   52181    1440    1        1.4      494.7     2.29e+05
2001 09 29  0025   52181    1500    0        1.1      497.7     1.83e+05
2001 09 29  0026   52181    1560    0        1.3      498.7     1.39e+05
2001 09 29  0027   52181    1620    0        1.6      501.1     1.37e+05
2001 09 29  0028   52181    1680    0        1.3      498.1     1.77e+05
2001 09 29  0029   52181    1740    1        1.4      490.8     1.60e+05
2001 09 29  0030   52181    1800    0        1.3      493.8     1.10e+05
2001 09 29  0031   52181    1860    1        1.5      489.6     1.80e+05
2001 09 29  0032   52181    1920    0        1.3      522.4     1.61e+05
2001 09 29  0033   52181    1980    0        1.7      509.3     1.29e+05
2001 09 29  0034   52181    2040    0        1.4      482.6     1.27e+05
2001 09 29  0035   52181    2100    0        1.5      491.1     1.03e+05
2001 09 29  0036   52181    2160    1        1.2      491.2     1.43e+05
2001 09 29  0037   52181    2220    0        1.4      490.9     1.19e+05
2001 09 29  0038   52181    2280    1        1.4      490.9     1.36e+05
2001 09 29  0039   52181    2340    1        1.4      490.9     1.36e+05
2001 09 29  0040   52181    2400    0        1.4      489.6     1.34e+05
2001 09 29  0041   52181    2460    1        1.2      490.8     1.18e+05
2001 09 29  0042   52181    2520    0        1.3      496.4     1.31e+05
2001 09 29  0043   52181    2580    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0044   52181    2640    0        1.5      501.0     1.22e+05
2001 09 29  0045   52181    2700    0        1.2      486.9     1.43e+05
2001 09 29  0046   52181    2760    0        1.4      493.5     1.51e+05
2001 09 29  0047   52181    2820    0        1.5      488.0     1.37e+05
2001 09 29  0048   52181    2880    0        1.6      489.8     1.19e+05
2001 09 29  0049   52181    2940    0        1.4      485.9     1.38e+05
2001 09 29  0050   52181    3000    0        1.4      494.6     1.34e+05
2001 09 29  0051   52181    3060    0        1.4      498.5     1.21e+05
2001 09 29  0052   52181    3120    0        1.4      497.0     1.02e+05
2001 09 29  0053   52181    3180    0        1.4      494.8     1.41e+05
2001 09 29  0054   52181    3240    0        1.4      494.5     1.15e+05
2001 09 29  0055   52181    3300    0        1.4      494.5     1.15e+05
2001 09 29  0056   52181    3360    0        1.3      493.1     1.56e+05
2001 09 29  0057   52181    3420    0        1.5      489.1     1.52e+05
2001 09 29  0058   52181    3480    0        1.6      492.3     1.29e+05
2001 09 29  0059   52181    3540    0        1.8      496.9     1.21e+05
2001 09 29  0100   52181    3600    0        1.4      488.6     1.53e+05
2001 09 29  0101   52181    3660    0        1.7      490.8     1.43e+05
2001 09 29  0102   52181    3720    0        1.5      486.1     1.56e+05
2001 09 29  0103   52181    3780    0        1.3      489.9     1.54e+05
2001 09 29  0104   52181    3840    0        1.4      490.2     1.32e+05
2001 09 29  0105   52181    3900    0        1.3      494.0     1.44e+05
2001 09 29  0106   52181    3960    0        1.4      495.2     1.81e+05
2001 09 29  0107   52181    4020    0        1.1      498.2     1.65e+05
2001 09 29  0108   52181    4080    0        1.9      487.7     1.44e+05
2001 09 29  0109   52181    4140    0        2.1      498.0     1.47e+05
2001 09 29  0110   52181    4200    0        1.7      501.7     1.39e+05
2001 09 29  0111   52181    4260    0        1.7      501.7     1.39e+05
2001 09 29  0112   52181    4320    0        1.9      504.1     1.26e+05
2001 09 29  0113   52181    4380    0        1.8      500.7     1.40e+05
2001 09 29  0114   52181    4440    0        2.0      499.9     1.46e+05
2001 09 29  0115   52181    4500    0        1.8      493.6     1.33e+05
2001 09 29  0116   52181    4560    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0117   52181    4620    0        1.6      485.7     1.63e+05
2001 09 29  0118   52181    4680    0        1.5      482.4     1.77e+05
2001 09 29  0119   52181    4740    0        1.4      482.2     1.31e+05
2001 09 29  0120   52181    4800    0        1.6      478.8     1.30e+05
2001 09 29  0121   52181    4860    0        1.4      476.0     1.23e+05
2001 09 29  0122   52181    4920    0        1.4      485.5     1.45e+05
2001 09 29  0123   52181    4980    0        1.4      480.0     1.19e+05
2001 09 29  0124   52181    5040    0        1.2      472.2     5.78e+04
2001 09 29  0125   52181    5100    0        1.5      484.5     1.11e+05
2001 09 29  0126   52181    5160    0        1.4      489.3     1.37e+05
2001 09 29  0127   52181    5220    0        1.4      489.3     1.37e+05
2001 09 29  0128   52181    5280    0        1.4      478.5     1.24e+05
2001 09 29  0129   52181    5340    0        1.4      477.0     1.40e+05
2001 09 29  0130   52181    5400    0        1.5      479.8     1.36e+05
2001 09 29  0131   52181    5460    0        1.4      480.6     1.25e+05
2001 09 29  0132   52181    5520    0        1.4      480.1     1.29e+05
2001 09 29  0133   52181    5580    1        1.4      480.4     1.54e+05
2001 09 29  0134   52181    5640    1        1.2      481.9     1.29e+05
2001 09 29  0135   52181    5700    0        1.4      483.0     1.52e+05
2001 09 29  0136   52181    5760    0        1.3      481.6     1.56e+05
2001 09 29  0137   52181    5820    0        1.3      484.1     1.50e+05
2001 09 29  0138   52181    5880    0        1.4      491.9     1.73e+05
2001 09 29  0139   52181    5940    0        1.6      485.6     1.82e+05
2001 09 29  0140   52181    6000    0        1.5      486.7     1.77e+05
2001 09 29  0141   52181    6060    0        1.7      495.5     1.61e+05
2001 09 29  0142   52181    6120    1        1.6      489.0     1.71e+05
2001 09 29  0143   52181    6180    1        1.6      489.0     1.71e+05
2001 09 29  0144   52181    6240    0        1.5      486.0     1.82e+05
2001 09 29  0145   52181    6300    0        1.4      487.3     1.54e+05
2001 09 29  0146   52181    6360    1        1.4      487.0     1.58e+05
2001 09 29  0147   52181    6420    0        1.4      489.3     1.63e+05
2001 09 29  0148   52181    6480    0        1.4      494.9     1.60e+05
2001 09 29  0149   52181    6540    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0150   52181    6600    0        1.4      492.1     1.52e+05
2001 09 29  0151   52181    6660    1        1.4      494.6     1.66e+05
2001 09 29  0152   52181    6720    0        1.4      500.9     1.56e+05
2001 09 29  0153   52181    6780    0        1.9      480.9     1.49e+05
2001 09 29  0154   52181    6840    0        1.8      488.9     1.53e+05
2001 09 29  0155   52181    6900    1        1.8      486.7     1.54e+05
2001 09 29  0156   52181    6960    1        1.8      484.3     1.69e+05
2001 09 29  0157   52181    7020    1        1.7      483.0     1.91e+05
2001 09 29  0158   52181    7080    0        1.6      483.2     1.76e+05
2001 09 29  0159   52181    7140    0        1.6      483.2     1.76e+05
2001 09 29  0200   52181    7200    0        2.0      485.0     1.52e+05
2001 09 29  0201   52181    7260    0        1.8      495.1     1.38e+05
2001 09 29  0202   52181    7320    0        1.7      491.9     1.32e+05
2001 09 29  0203   52181    7380    0        1.8      495.3     1.47e+05
2001 09 29  0204   52181    7440    0        1.7      494.1     1.60e+05
2001 09 29  0205   52181    7500    0        1.7      499.3     1.31e+05
2001 09 29  0206   52181    7560    1        1.6      487.7     1.68e+05
2001 09 29  0207   52181    7620    0        1.6      488.6     1.50e+05
2001 09 29  0208   52181    7680    0        1.4      498.5     1.58e+05
2001 09 29  0209   52181    7740    0        1.7      491.2     1.72e+05
2001 09 29  0210   52181    7800    0        1.6      486.7     1.52e+05
2001 09 29  0211   52181    7860    1        1.4      487.6     1.97e+05
2001 09 29  0212   52181    7920    0        1.5      487.5     1.96e+05
2001 09 29  0213   52181    7980    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0214   52181    8040    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0215   52181    8100    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0216   52181    8160    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0217   52181    8220    0        1.8      485.3     1.36e+05
2001 09 29  0218   52181    8280    0        1.7      480.3     1.56e+05
2001 09 29  0219   52181    8340    0        1.5      481.7     1.71e+05
2001 09 29  0220   52181    8400    1        1.7      482.1     1.83e+05
2001 09 29  0221   52181    8460    0        1.6      475.3     1.72e+05
2001 09 29  0222   52181    8520    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0223   52181    8580    0        2.8      488.4     1.20e+05
2001 09 29  0224   52181    8640    0        2.8      493.6     1.33e+05
2001 09 29  0225   52181    8700    0        1.8      483.0     1.39e+05
2001 09 29  0226   52181    8760    0        2.0      482.9     1.56e+05
2001 09 29  0227   52181    8820    0        1.4      481.9     1.77e+05
2001 09 29  0228   52181    8880    1        1.6      472.9     7.93e+04
2001 09 29  0229   52181    8940    0        1.5      486.4     1.57e+05
2001 09 29  0230   52181    9000    0        1.7      486.6     1.46e+05
2001 09 29  0231   52181    9060    0        1.7      486.6     1.46e+05
2001 09 29  0232   52181    9120    0        1.6      480.7     1.45e+05
2001 09 29  0233   52181    9180    0        1.5      478.9     1.68e+05
2001 09 29  0234   52181    9240    0        1.9      473.7     1.43e+05
2001 09 29  0235   52181    9300    0        1.8      472.5     1.45e+05
2001 09 29  0236   52181    9360    0        1.6      472.3     1.39e+05
2001 09 29  0237   52181    9420    0        1.8      473.8     1.62e+05
2001 09 29  0238   52181    9480    0        1.9      473.8     1.56e+05
2001 09 29  0239   52181    9540    0        1.7      474.8     1.69e+05
2001 09 29  0240   52181    9600    0        1.5      473.6     1.58e+05
2001 09 29  0241   52181    9660    0        2.0      471.6     1.38e+05
2001 09 29  0242   52181    9720    1        1.8      473.6     1.56e+05
2001 09 29  0243   52181    9780    1        1.4      482.0     1.81e+05
2001 09 29  0244   52181    9840    1        1.8      484.8     1.38e+05
2001 09 29  0245   52181    9900    0        1.8      493.5     1.51e+05
2001 09 29  0246   52181    9960    0        1.8      491.3     1.53e+05
2001 09 29  0247   52181   10020    0        1.8      491.3     1.53e+05
2001 09 29  0248   52181   10080    0        1.4      498.9     1.06e+05
2001 09 29  0249   52181   10140    0        1.1      499.7     1.17e+05
2001 09 29  0250   52181   10200    0        1.4      505.3     1.43e+05
2001 09 29  0251   52181   10260    0        1.4      507.3     1.28e+05
2001 09 29  0252   52181   10320    0        1.4      494.9     1.36e+05
2001 09 29  0253   52181   10380    0        1.5      513.2     1.30e+05
2001 09 29  0254   52181   10440    0        1.4      507.8     1.29e+05
2001 09 29  0255   52181   10500    9    -9999.9    -9999.9    -1.00e+05
2001 09 29  0256   52181   10560    0        1.3      502.8     1.28e+05
2001 09 29  0257   52181   10620    0        1.6      501.0     1.20e+05
2001 09 29  0258   52181   10680    0        1.5      500.0     1.15e+05
2001 09 29  0259   52181   10740    0        1.4      499.6     1.15e+05
2001 09 29  0300   52181   10800    0        1.3      516.7     1.16e+05
2001 09 29  0301   52181   10860    0        1.7      500.2     1.27e+05
2001 09 29  0302   52181   10920    1        1.6      496.4     1.15e+05
2001 09 29  0303   52181   10980    1        1.6      496.4     1.15e+05
2001 09 29  0304   52181   11040    0        1.4      507.4     1.11e+05
2001 09 29  0305   52181   11100    0        1.4      506.7     1.05e+05
2001 09 29  0306   52181   11160    0        1.5      507.1     1.31e+05
2001 09 29  0307   52181   11220    0        1.5      504.3     1.35e+05
2001 09 29  0308   52181   11280    0        1.4      503.2     1.43e+05
2001 09 29  0309   52181   11340    0        1.7      511.6     1.12e+05
2001 09 29  0310   52181   11400    0        1.4      499.7     1.46e+05
2001 09 29  0311   52181   11460    0        2.0      514.3     9.76e+04
2001 09 29  0312   52181   11520    0        1.8      522.5     1.02e+05
2001 09 29  0313   52181   11580    0        1.8      525.9     1.20e+05
2001 09 29  0314   52181   11640    0        1.8      520.1     1.09e+05
2001 09 29  0315   52181   11700    0        1.8      546.1     1.11e+05
2001 09 29  0316   52181   11760    0        1.6      531.8     8.82e+04
2001 09 29  0317   52181   11820    0        1.6      526.0     1.07e+05
2001 09 29  0318   52181   11880    0        2.0      526.5     1.24e+05
2001 09 29  0319   52181   11940    0        2.0      526.5     1.24e+05
2001 09 29  0320   52181   12000    0        1.9      530.3     1.18e+05
2001 09 29  0321   52181   12060    0        1.7      534.1     1.21e+05
2001 09 29  0322   52181   12120    0        2.2      538.5     1.29e+05
2001 09 29  0323   52181   12180    0        1.6      522.7     1.78e+05
2001 09 29  0324   52181   12240    1        1.8      503.3     1.43e+05
2001 09 29  0325   52181   12300    0        1.7      506.4     1.62e+05
