:Data_list: 20011019_ace_swepam_1m.txt
:Created: 2001 Oct 20 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2001 10 19  0000   52201       0    0        4.3      299.8     3.61e+04
2001 10 19  0001   52201      60    0        3.7      299.5     4.74e+04
2001 10 19  0002   52201     120    0        3.8      305.9     4.86e+04
2001 10 19  0003   52201     180    0        3.9      303.5     4.02e+04
2001 10 19  0004   52201     240    0        3.2      308.8     4.79e+04
2001 10 19  0005   52201     300    0        3.5      306.6     4.43e+04
2001 10 19  0006   52201     360    0        3.4      306.9     4.48e+04
2001 10 19  0007   52201     420    0        3.6      305.2     4.69e+04
2001 10 19  0008   52201     480    0        3.6      305.2     4.69e+04
2001 10 19  0009   52201     540    0        4.2      300.1     4.03e+04
2001 10 19  0010   52201     600    0        2.8      305.3     4.58e+04
2001 10 19  0011   52201     660    0        3.3      304.2     3.61e+04
2001 10 19  0012   52201     720    0        4.0      300.4     4.17e+04
2001 10 19  0013   52201     780    0        3.4      304.9     4.69e+04
2001 10 19  0014   52201     840    0        3.6      305.7     4.20e+04
2001 10 19  0015   52201     900    0        3.9      303.7     4.43e+04
2001 10 19  0016   52201     960    0        4.9      304.9     4.48e+04
2001 10 19  0017   52201    1020    9    -9999.9    -9999.9    -1.00e+05
2001 10 19  0018   52201    1080    0        3.3      302.8     4.25e+04
2001 10 19  0019   52201    1140    0        2.8      307.4     3.90e+04
2001 10 19  0020   52201    1200    0        3.9      298.7     3.94e+04
