:Data_list: 20011028_ace_sis_5m.txt
:Created: 2001 Oct 29 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2001 10 28  0000    52210       0      0    1.30e+00    0    6.86e-01
2001 10 28  0005    52210     300      0    1.35e+00    0    6.85e-01
2001 10 28  0010    52210     600      0    1.41e+00    0    7.24e-01
2001 10 28  0015    52210     900      0    1.33e+00    0    6.84e-01
2001 10 28  0020    52210    1200      0    1.30e+00    0    6.87e-01
2001 10 28  0025    52210    1500      0    1.40e+00    0    7.32e-01
2001 10 28  0030    52210    1800      0    1.32e+00    0    7.20e-01
2001 10 28  0035    52210    2100      0    1.29e+00    0    6.63e-01
2001 10 28  0040    52210    2400      0    1.27e+00    0    6.83e-01
2001 10 28  0045    52210    2700      0    1.31e+00    0    6.93e-01
2001 10 28  0050    52210    3000      0    1.32e+00    0    6.86e-01
2001 10 28  0055    52210    3300      0    1.41e+00    0    7.51e-01
2001 10 28  0100    52210    3600      0    1.38e+00    0    7.13e-01
2001 10 28  0105    52210    3900      0    1.40e+00    0    7.17e-01
2001 10 28  0110    52210    4200      0    1.40e+00    0    7.25e-01
2001 10 28  0115    52210    4500      0    1.45e+00    0    7.40e-01
2001 10 28  0120    52210    4800      0    1.45e+00    0    7.38e-01
2001 10 28  0125    52210    5100      0    1.43e+00    0    7.20e-01
2001 10 28  0130    52210    5400      0    1.39e+00    0    6.74e-01
2001 10 28  0135    52210    5700      0    1.43e+00    0    6.94e-01
2001 10 28  0140    52210    6000      0    1.46e+00    0    7.18e-01
2001 10 28  0145    52210    6300      0    1.37e+00    0    6.80e-01
2001 10 28  0150    52210    6600      0    1.40e+00    0    6.97e-01
2001 10 28  0155    52210    6900      0    1.36e+00    0    7.04e-01
2001 10 28  0200    52210    7200      0    1.35e+00    0    6.83e-01
2001 10 28  0205    52210    7500      0    1.46e+00    0    7.71e-01
2001 10 28  0210    52210    7800      0    1.27e+00    0    7.11e-01
2001 10 28  0215    52210    8100      0    1.27e+00    0    6.92e-01
2001 10 28  0220    52210    8400      0    1.40e+00    0    7.84e-01
2001 10 28  0225    52210    8700      0    1.31e+00    0    6.87e-01
2001 10 28  0230    52210    9000      0    1.29e+00    0    6.83e-01
2001 10 28  0235    52210    9300      0    1.32e+00    0    7.23e-01
2001 10 28  0240    52210    9600      0    1.37e+00    0    7.27e-01
2001 10 28  0245    52210    9900      0    1.38e+00    0    7.22e-01
