:Data_list: 20011111_ace_sis_5m.txt
:Created: 2001 Nov 12 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2001 11 11  0000    52224       0      0    6.21e+00    0    1.17e+00
2001 11 11  0005    52224     300      0    6.09e+00    0    1.19e+00
2001 11 11  0010    52224     600      0    5.82e+00    0    1.10e+00
2001 11 11  0015    52224     900      0    5.72e+00    0    1.10e+00
2001 11 11  0020    52224    1200      0    5.71e+00    0    1.11e+00
2001 11 11  0025    52224    1500      0    5.72e+00    0    1.12e+00
2001 11 11  0030    52224    1800      0    5.80e+00    0    1.15e+00
2001 11 11  0035    52224    2100      0    5.77e+00    0    1.07e+00
2001 11 11  0040    52224    2400      0    5.66e+00    0    1.06e+00
2001 11 11  0045    52224    2700      0    5.69e+00    0    1.06e+00
2001 11 11  0050    52224    3000      0    5.73e+00    0    1.13e+00
2001 11 11  0055    52224    3300      0    5.69e+00    0    1.11e+00
2001 11 11  0100    52224    3600      0    5.60e+00    0    1.03e+00
2001 11 11  0105    52224    3900      0    5.68e+00    0    1.08e+00
2001 11 11  0110    52224    4200      0    5.60e+00    0    1.11e+00
2001 11 11  0115    52224    4500      0    5.87e+00    0    1.12e+00
2001 11 11  0120    52224    4800      0    5.64e+00    0    1.10e+00
2001 11 11  0125    52224    5100      0    5.51e+00    0    1.08e+00
2001 11 11  0130    52224    5400      0    5.52e+00    0    1.03e+00
2001 11 11  0135    52224    5700      0    5.61e+00    0    1.09e+00
2001 11 11  0140    52224    6000      0    5.78e+00    0    1.08e+00
2001 11 11  0145    52224    6300      0    5.69e+00    0    1.09e+00
2001 11 11  0150    52224    6600      0    5.61e+00    0    1.09e+00
2001 11 11  0155    52224    6900      0    5.64e+00    0    1.05e+00
2001 11 11  0200    52224    7200      0    5.59e+00    0    1.03e+00
2001 11 11  0205    52224    7500      0    5.58e+00    0    1.07e+00
2001 11 11  0210    52224    7800      0    5.77e+00    0    1.14e+00
2001 11 11  0215    52224    8100      0    5.61e+00    0    1.10e+00
2001 11 11  0220    52224    8400      0    5.64e+00    0    1.10e+00
2001 11 11  0225    52224    8700      0    5.76e+00    0    1.12e+00
2001 11 11  0230    52224    9000      0    5.52e+00    0    1.05e+00
2001 11 11  0235    52224    9300      0    5.59e+00    0    1.05e+00
2001 11 11  0240    52224    9600      0    5.45e+00    0    1.04e+00
2001 11 11  0245    52224    9900      0    5.54e+00    0    1.03e+00
2001 11 11  0250    52224   10200      0    5.66e+00    0    1.09e+00
2001 11 11  0255    52224   10500      0    5.38e+00    0    1.04e+00
2001 11 11  0300    52224   10800      0    5.42e+00    0    1.01e+00
2001 11 11  0305    52224   11100      0    5.42e+00    0    1.04e+00
2001 11 11  0310    52224   11400      0    5.45e+00    0    1.08e+00
2001 11 11  0315    52224   11700      0    5.27e+00    0    9.98e-01
2001 11 11  0320    52224   12000      0    5.19e+00    0    9.96e-01
2001 11 11  0325    52224   12300      0    5.34e+00    0    1.08e+00
2001 11 11  0330    52224   12600      0    5.25e+00    0    1.03e+00
2001 11 11  0335    52224   12900      0    5.22e+00    0    1.06e+00
2001 11 11  0340    52224   13200      0    5.17e+00    0    9.99e-01
2001 11 11  0345    52224   13500      0    5.20e+00    0    1.05e+00
2001 11 11  0350    52224   13800      0    5.20e+00    0    1.01e+00
2001 11 11  0355    52224   14100      0    5.27e+00    0    1.03e+00
2001 11 11  0400    52224   14400      0    5.37e+00    0    1.06e+00
2001 11 11  0405    52224   14700      0    5.24e+00    0    1.00e+00
2001 11 11  0410    52224   15000      0    5.17e+00    0    1.01e+00
2001 11 11  0415    52224   15300      0    5.05e+00    0    9.92e-01
2001 11 11  0420    52224   15600      0    5.15e+00    0    1.02e+00
2001 11 11  0425    52224   15900      0    5.17e+00    0    1.04e+00
2001 11 11  0430    52224   16200      0    5.20e+00    0    1.03e+00
2001 11 11  0435    52224   16500      0    5.34e+00    0    1.09e+00
2001 11 11  0440    52224   16800      0    5.11e+00    0    1.01e+00
2001 11 11  0445    52224   17100      0    5.15e+00    0    9.81e-01
2001 11 11  0450    52224   17400      0    4.95e+00    0    9.62e-01
2001 11 11  0455    52224   17700      0    5.12e+00    0    1.04e+00
2001 11 11  0500    52224   18000      0    5.18e+00    0    1.05e+00
2001 11 11  0505    52224   18300      0    5.14e+00    0    1.04e+00
2001 11 11  0510    52224   18600      0    5.10e+00    0    1.03e+00
2001 11 11  0515    52224   18900      0    5.09e+00    0    1.02e+00
2001 11 11  0520    52224   19200      0    4.96e+00    0    9.67e-01
2001 11 11  0525    52224   19500      0    4.95e+00    0    1.00e+00
2001 11 11  0530    52224   19800      0    5.23e+00    0    1.08e+00
2001 11 11  0535    52224   20100      0    5.04e+00    0    1.01e+00
2001 11 11  0540    52224   20400      0    5.06e+00    0    1.05e+00
2001 11 11  0545    52224   20700      0    5.10e+00    0    1.05e+00
2001 11 11  0550    52224   21000      0    5.12e+00    0    1.05e+00
2001 11 11  0555    52224   21300      0    5.16e+00    0    9.73e-01
2001 11 11  0600    52224   21600      0    5.21e+00    0    1.01e+00
2001 11 11  0605    52224   21900      0    5.10e+00    0    9.88e-01
2001 11 11  0610    52224   22200      0    5.02e+00    0    1.01e+00
2001 11 11  0615    52224   22500      0    4.92e+00    0    9.97e-01
2001 11 11  0620    52224   22800      0    5.04e+00    0    1.07e+00
2001 11 11  0625    52224   23100      0    4.89e+00    0    9.67e-01
2001 11 11  0630    52224   23400      0    4.74e+00    0    9.59e-01
2001 11 11  0635    52224   23700      0    4.93e+00    0    9.81e-01
2001 11 11  0640    52224   24000      0    4.99e+00    0    1.04e+00
2001 11 11  0645    52224   24300      0    4.94e+00    0    1.02e+00
2001 11 11  0650    52224   24600      0    5.05e+00    0    1.07e+00
2001 11 11  0655    52224   24900      0    5.05e+00    0    1.04e+00
2001 11 11  0700    52224   25200      0    4.90e+00    0    9.84e-01
2001 11 11  0705    52224   25500      0    4.85e+00    0    9.97e-01
2001 11 11  0710    52224   25800      0    4.86e+00    0    1.00e+00
2001 11 11  0715    52224   26100      0    4.88e+00    0    1.04e+00
2001 11 11  0720    52224   26400      0    4.88e+00    0    1.07e+00
2001 11 11  0725    52224   26700      0    4.87e+00    0    1.01e+00
2001 11 11  0730    52224   27000      0    4.89e+00    0    1.06e+00
2001 11 11  0735    52224   27300      0    4.86e+00    0    1.01e+00
2001 11 11  0740    52224   27600      0    4.90e+00    0    1.01e+00
2001 11 11  0745    52224   27900      0    4.63e+00    0    9.96e-01
2001 11 11  0750    52224   28200      0    4.60e+00    0    9.79e-01
2001 11 11  0755    52224   28500      0    4.61e+00    0    1.01e+00
2001 11 11  0800    52224   28800      0    4.48e+00    0    9.83e-01
2001 11 11  0805    52224   29100      0    4.46e+00    0    9.81e-01
2001 11 11  0810    52224   29400      0    4.49e+00    0    9.87e-01
2001 11 11  0815    52224   29700      0    4.32e+00    0    9.55e-01
2001 11 11  0820    52224   30000      0    4.07e+00    0    9.60e-01
2001 11 11  0825    52224   30300      0    4.03e+00    0    9.61e-01
2001 11 11  0830    52224   30600      0    3.99e+00    0    9.04e-01
2001 11 11  0835    52224   30900      0    4.02e+00    0    9.27e-01
2001 11 11  0840    52224   31200      0    4.04e+00    0    9.43e-01
2001 11 11  0845    52224   31500      0    4.08e+00    0    9.60e-01
2001 11 11  0850    52224   31800      0    4.11e+00    0    9.71e-01
