:Data_list: 20011204_ace_mag_1m.txt
:Created: 2001 Dec 05 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2001 12 04  0000   52247       0    0    -3.6    -6.5    -7.4    10.5   -44.9   240.9
2001 12 04  0001   52247      60    0    -4.6    -4.9    -7.8    10.3   -49.3   226.7
2001 12 04  0002   52247     120    0    -6.8    -6.0    -5.6    10.6   -31.7   221.7
2001 12 04  0003   52247     180    0    -7.6    -8.1    -2.1    11.3   -11.0   226.6
2001 12 04  0004   52247     240    0    -7.4    -8.1    -3.1    11.4   -15.6   227.5
2001 12 04  0005   52247     300    0    -7.1    -7.9    -3.4    11.2   -17.5   228.0
2001 12 04  0006   52247     360    0    -7.7    -8.6     0.0    11.5    -0.1   228.4
2001 12 04  0007   52247     420    0    -6.9    -9.0    -0.5    11.4    -2.7   232.4
2001 12 04  0008   52247     480    0    -5.3    -9.3    -1.2    10.8    -6.2   240.3
2001 12 04  0009   52247     540    0    -0.8    -9.2     4.5    10.3    25.8   264.8
2001 12 04  0010   52247     600    0    -1.9   -10.2     0.3    10.4     1.9   259.2
2001 12 04  0011   52247     660    0    -2.4    -9.0    -4.1    10.2   -23.7   255.3
2001 12 04  0012   52247     720    0    -4.7    -8.1    -4.8    10.5   -27.1   240.0
2001 12 04  0013   52247     780    0    -2.4    -7.0    -6.5     9.8   -41.4   251.2
2001 12 04  0014   52247     840    0    -0.6    -9.7    -1.8     9.8   -10.3   266.7
2001 12 04  0015   52247     900    0     0.0    -9.7    -3.0    10.1   -17.2   270.0
2001 12 04  0016   52247     960    0    -2.0   -10.0    -1.7    10.4    -9.2   258.7
2001 12 04  0017   52247    1020    0    -0.3   -10.0     0.8    10.1     4.6   268.2
2001 12 04  0018   52247    1080    0     1.5    -9.1     2.4     9.6    14.8   279.1
2001 12 04  0019   52247    1140    0    -1.2    -9.3     3.9    10.1    22.4   262.8
2001 12 04  0020   52247    1200    0    -2.3   -10.3     1.5    10.6     8.3   257.4
2001 12 04  0021   52247    1260    0    -1.7   -10.1     2.0    10.5    11.2   260.5
2001 12 04  0022   52247    1320    0     1.4    -7.8     4.5     9.1    29.8   280.3
2001 12 04  0023   52247    1380    0     2.5    -6.8     7.2    10.3    44.8   290.5
2001 12 04  0024   52247    1440    0     2.3    -6.0     8.0    10.3    50.9   290.6
2001 12 04  0025   52247    1500    0     2.2    -6.4     8.0    10.4    49.9   289.1
2001 12 04  0026   52247    1560    0     1.4    -6.9     7.8    10.6    48.0   281.2
2001 12 04  0027   52247    1620    0     1.5    -7.3     7.4    10.4    44.8   281.8
2001 12 04  0028   52247    1680    0     0.6    -7.2     7.7    10.6    46.6   275.1
2001 12 04  0029   52247    1740    0     1.1    -4.7     8.7    10.0    61.0   283.3
2001 12 04  0030   52247    1800    0     1.1    -3.5     9.8    10.5    69.5   287.1
2001 12 04  0031   52247    1860    0     1.2    -3.8     9.9    10.6    68.0   286.9
2001 12 04  0032   52247    1920    0     0.7    -5.5     9.3    10.8    58.9   277.3
2001 12 04  0033   52247    1980    0     0.5    -5.7     9.2    10.9    58.2   275.3
2001 12 04  0034   52247    2040    0     0.4    -6.4     8.8    10.9    53.8   273.7
2001 12 04  0035   52247    2100    0     0.4    -7.1     9.0    11.5    52.0   273.1
2001 12 04  0036   52247    2160    0     0.3    -5.8     9.3    11.0    57.9   272.7
2001 12 04  0037   52247    2220    0     1.1    -6.5     9.3    11.4    54.7   279.9
2001 12 04  0038   52247    2280    0     1.3    -7.3     8.4    11.2    48.9   280.2
2001 12 04  0039   52247    2340    0     0.6    -8.1     7.6    11.2    43.0   274.3
2001 12 04  0040   52247    2400    0     1.2    -8.2     7.8    11.4    43.2   278.1
2001 12 04  0041   52247    2460    0     0.9    -8.9     7.1    11.4    38.7   276.1
2001 12 04  0042   52247    2520    0     0.8    -9.5     6.8    11.7    35.6   274.7
2001 12 04  0043   52247    2580    0     0.9    -9.9     6.1    11.7    31.7   275.4
2001 12 04  0044   52247    2640    0     0.7    -9.2     6.9    11.6    36.8   274.4
2001 12 04  0045   52247    2700    0     0.2    -7.4     8.9    11.5    50.3   271.6
2001 12 04  0046   52247    2760    0     0.8    -8.0     8.2    11.5    45.5   275.4
2001 12 04  0047   52247    2820    0     1.0    -7.2     8.9    11.5    51.0   278.1
2001 12 04  0048   52247    2880    0     0.1    -9.0     7.6    11.8    40.2   270.8
2001 12 04  0049   52247    2940    0     0.3    -9.3     7.7    12.0    39.6   271.8
2001 12 04  0050   52247    3000    0    -0.6    -8.9     7.9    11.9    41.4   266.5
2001 12 04  0051   52247    3060    0    -0.8    -9.8     6.5    11.8    33.4   265.6
2001 12 04  0052   52247    3120    0     0.0   -10.5     4.8    11.5    24.5   270.1
2001 12 04  0053   52247    3180    0     0.8   -11.1     2.3    11.4    11.5   274.3
2001 12 04  0054   52247    3240    0     0.5   -11.4     2.3    11.6    11.2   272.5
2001 12 04  0055   52247    3300    0    -0.1   -11.1     5.0    12.2    24.3   269.2
2001 12 04  0056   52247    3360    0    -0.2   -11.3     4.6    12.2    22.0   268.8
2001 12 04  0057   52247    3420    0     0.4   -11.3     4.4    12.1    21.1   272.2
2001 12 04  0058   52247    3480    0     0.9   -11.7     2.9    12.1    13.8   274.4
2001 12 04  0059   52247    3540    0     1.4   -11.7     1.9    12.0     9.3   276.9
2001 12 04  0100   52247    3600    0     0.4   -11.8     1.0    11.9     4.8   271.7
2001 12 04  0101   52247    3660    0     1.8   -11.0    -1.2    11.2    -6.2   279.0
2001 12 04  0102   52247    3720    0     0.4   -11.3     2.4    11.6    12.1   272.3
2001 12 04  0103   52247    3780    0     1.8   -11.2     0.5    11.3     2.6   278.9
2001 12 04  0104   52247    3840    0     3.3   -10.4    -0.6    10.9    -3.2   287.4
2001 12 04  0105   52247    3900    0     2.9    -9.8    -2.1    10.5   -11.6   286.5
2001 12 04  0106   52247    3960    0     2.5   -10.6    -1.0    10.9    -5.4   283.5
2001 12 04  0107   52247    4020    0     0.9   -10.6     3.8    11.3    19.4   275.1
2001 12 04  0108   52247    4080    0     0.9   -10.3     2.8    10.8    15.1   275.0
2001 12 04  0109   52247    4140    0     0.0   -11.6     2.1    11.8    10.1   270.0
2001 12 04  0110   52247    4200    0    -0.4    -7.1     8.1    10.7    48.7   267.0
2001 12 04  0111   52247    4260    0    -0.9    -6.6     9.7    11.7    55.6   262.6
2001 12 04  0112   52247    4320    0    -1.2    -7.7     8.9    11.8    48.5   261.3
2001 12 04  0113   52247    4380    0    -0.5    -8.1     8.7    11.8    47.0   266.5
2001 12 04  0114   52247    4440    0    -1.0    -8.8     7.8    11.8    41.5   263.8
2001 12 04  0115   52247    4500    0    -0.5    -9.5     6.8    11.7    35.8   267.1
2001 12 04  0116   52247    4560    0    -0.8    -9.1     6.8    11.4    36.7   265.0
2001 12 04  0117   52247    4620    0    -2.2    -9.0     7.3    11.8    38.1   256.4
2001 12 04  0118   52247    4680    0    -3.9   -10.5     4.6    12.1    22.4   249.7
2001 12 04  0119   52247    4740    0    -3.0   -11.6     1.3    12.0     6.3   255.6
2001 12 04  0120   52247    4800    0    -2.4    -9.5     5.5    11.2    29.4   255.5
2001 12 04  0121   52247    4860    0     0.1   -10.0     5.3    11.4    28.0   270.8
2001 12 04  0122   52247    4920    0     1.0    -9.4     6.2    11.3    33.0   276.0
2001 12 04  0123   52247    4980    0    -0.2   -10.5     4.9    11.6    25.0   269.0
2001 12 04  0124   52247    5040    0     0.7   -11.3     1.6    11.4     8.2   273.7
