:Data_list: 20011225_ace_sis_5m.txt
:Created: 2001 Dec 26 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2001 12 25  0000    52268       0      0    8.62e-01    0    6.13e-01
2001 12 25  0005    52268     300      0    8.67e-01    0    6.08e-01
2001 12 25  0010    52268     600      0    8.61e-01    0    6.10e-01
2001 12 25  0015    52268     900      0    8.77e-01    0    6.22e-01
2001 12 25  0020    52268    1200      0    8.68e-01    0    6.10e-01
2001 12 25  0025    52268    1500      0    8.89e-01    0    6.19e-01
2001 12 25  0030    52268    1800      0    8.77e-01    0    6.21e-01
2001 12 25  0035    52268    2100      0    8.79e-01    0    6.22e-01
2001 12 25  0040    52268    2400      0    8.57e-01    0    6.05e-01
2001 12 25  0045    52268    2700      9   -1.00e+05    9   -1.00e+05
2001 12 25  0050    52268    3000      9   -1.00e+05    9   -1.00e+05
2001 12 25  0055    52268    3300      0    8.60e-01    0    6.01e-01
2001 12 25  0100    52268    3600      0    8.59e-01    0    6.06e-01
2001 12 25  0105    52268    3900      0    8.43e-01    0    5.94e-01
2001 12 25  0110    52268    4200      0    8.43e-01    0    6.02e-01
2001 12 25  0115    52268    4500      0    8.73e-01    0    6.10e-01
2001 12 25  0120    52268    4800      0    8.34e-01    0    5.86e-01
2001 12 25  0125    52268    5100      0    8.39e-01    0    5.92e-01
2001 12 25  0130    52268    5400      0    8.58e-01    0    6.12e-01
2001 12 25  0135    52268    5700      0    8.64e-01    0    6.15e-01
2001 12 25  0140    52268    6000      0    8.56e-01    0    5.97e-01
2001 12 25  0145    52268    6300      0    8.56e-01    0    6.00e-01
2001 12 25  0150    52268    6600      0    8.74e-01    0    6.11e-01
2001 12 25  0155    52268    6900      0    8.61e-01    0    6.04e-01
2001 12 25  0200    52268    7200      0    8.68e-01    0    6.12e-01
2001 12 25  0205    52268    7500      0    8.70e-01    0    6.09e-01
2001 12 25  0210    52268    7800      0    8.44e-01    0    6.03e-01
2001 12 25  0215    52268    8100      0    8.53e-01    0    5.94e-01
2001 12 25  0220    52268    8400      0    8.41e-01    0    5.92e-01
2001 12 25  0225    52268    8700      0    8.60e-01    0    6.11e-01
2001 12 25  0230    52268    9000      0    8.64e-01    0    6.10e-01
2001 12 25  0235    52268    9300      0    8.49e-01    0    6.02e-01
2001 12 25  0240    52268    9600      0    8.68e-01    0    6.06e-01
2001 12 25  0245    52268    9900      0    8.91e-01    0    6.29e-01
2001 12 25  0250    52268   10200      0    8.79e-01    0    6.10e-01
2001 12 25  0255    52268   10500      0    8.54e-01    0    6.04e-01
2001 12 25  0300    52268   10800      0    8.39e-01    0    5.91e-01
2001 12 25  0305    52268   11100      0    8.57e-01    0    6.01e-01
2001 12 25  0310    52268   11400      0    8.71e-01    0    6.10e-01
2001 12 25  0315    52268   11700      0    8.58e-01    0    6.00e-01
2001 12 25  0320    52268   12000      0    8.46e-01    0    5.91e-01
2001 12 25  0325    52268   12300      0    8.52e-01    0    5.93e-01
2001 12 25  0330    52268   12600      0    8.74e-01    0    6.22e-01
