:Data_list: 20020221_ace_swepam_1m.txt
:Created: 2002 Feb 22 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 02 21  0000   52326       0    0        2.3      447.9     1.05e+05
2002 02 21  0001   52326      60    0        2.5      457.8     1.42e+05
2002 02 21  0002   52326     120    0        2.1      448.8     1.57e+05
2002 02 21  0003   52326     180    0        2.3      449.8     1.69e+05
2002 02 21  0004   52326     240    9    -9999.9    -9999.9    -1.00e+05
2002 02 21  0005   52326     300    0        2.2      447.2     1.61e+05
2002 02 21  0006   52326     360    0        2.5      453.2     1.36e+05
2002 02 21  0007   52326     420    0        2.6      454.4     1.37e+05
2002 02 21  0008   52326     480    0        2.1      447.8     1.15e+05
2002 02 21  0009   52326     540    0        2.2      446.6     1.19e+05
2002 02 21  0010   52326     600    0        2.4      448.1     1.04e+05
2002 02 21  0011   52326     660    0        2.4      448.1     1.04e+05
2002 02 21  0012   52326     720    0        2.2      447.3     1.15e+05
2002 02 21  0013   52326     780    0        2.2      446.1     1.01e+05
2002 02 21  0014   52326     840    0        2.3      447.8     1.43e+05
2002 02 21  0015   52326     900    0        2.0      440.4     1.24e+05
2002 02 21  0016   52326     960    0        2.2      443.7     1.15e+05
2002 02 21  0017   52326    1020    0        2.0      443.8     1.30e+05
2002 02 21  0018   52326    1080    0        2.0      446.0     1.18e+05
2002 02 21  0019   52326    1140    0        2.0      443.7     1.11e+05
2002 02 21  0020   52326    1200    0        2.0      444.5     1.18e+05
2002 02 21  0021   52326    1260    0        2.1      447.1     1.37e+05
2002 02 21  0022   52326    1320    0        2.3      451.3     1.15e+05
2002 02 21  0023   52326    1380    0        2.4      458.1     1.21e+05
2002 02 21  0024   52326    1440    1        2.4      459.1     1.62e+05
2002 02 21  0025   52326    1500    1        2.4      459.9     1.66e+05
2002 02 21  0026   52326    1560    0        2.2      457.5     1.09e+05
2002 02 21  0027   52326    1620    0        2.2      457.5     1.09e+05
2002 02 21  0028   52326    1680    0        2.2      458.8     1.97e+05
2002 02 21  0029   52326    1740    1        2.3      457.1     1.57e+05
2002 02 21  0030   52326    1800    0        2.1      455.2     1.15e+05
2002 02 21  0031   52326    1860    0        2.0      454.6     1.38e+05
2002 02 21  0032   52326    1920    0        1.9      450.6     1.21e+05
2002 02 21  0033   52326    1980    0        2.1      452.0     1.33e+05
2002 02 21  0034   52326    2040    0        2.0      452.2     1.30e+05
2002 02 21  0035   52326    2100    0        2.1      456.1     1.89e+05
2002 02 21  0036   52326    2160    0        2.0      451.0     1.28e+05
2002 02 21  0037   52326    2220    9    -9999.9    -9999.9    -1.00e+05
2002 02 21  0038   52326    2280    0        2.0      452.0     1.07e+05
2002 02 21  0039   52326    2340    0        2.0      447.7     9.36e+04
2002 02 21  0040   52326    2400    1        2.1      446.7     1.07e+05
2002 02 21  0041   52326    2460    0        1.9      448.8     1.20e+05
2002 02 21  0042   52326    2520    0        2.2      450.7     1.49e+05
2002 02 21  0043   52326    2580    0        2.2      450.7     1.49e+05
2002 02 21  0044   52326    2640    0        2.2      445.7     1.27e+05
2002 02 21  0045   52326    2700    0        2.0      444.7     1.05e+05
2002 02 21  0046   52326    2760    0        1.9      443.3     1.11e+05
2002 02 21  0047   52326    2820    0        2.4      447.6     1.06e+05
2002 02 21  0048   52326    2880    0        2.3      448.9     1.13e+05
2002 02 21  0049   52326    2940    0        2.4      451.9     1.30e+05
2002 02 21  0050   52326    3000    0        2.2      446.9     1.15e+05
2002 02 21  0051   52326    3060    0        2.3      446.3     1.34e+05
2002 02 21  0052   52326    3120    0        2.3      445.8     1.15e+05
2002 02 21  0053   52326    3180    0        2.4      447.8     1.42e+05
2002 02 21  0054   52326    3240    0        2.2      445.2     1.26e+05
2002 02 21  0055   52326    3300    0        2.1      446.1     1.34e+05
2002 02 21  0056   52326    3360    0        2.1      446.5     1.26e+05
2002 02 21  0057   52326    3420    0        2.1      445.4     1.11e+05
2002 02 21  0058   52326    3480    0        2.1      445.9     1.15e+05
2002 02 21  0059   52326    3540    0        2.1      445.9     1.15e+05
2002 02 21  0100   52326    3600    0        2.1      446.1     1.33e+05
2002 02 21  0101   52326    3660    0        2.3      444.3     9.13e+04
2002 02 21  0102   52326    3720    0        2.3      444.7     1.15e+05
2002 02 21  0103   52326    3780    0        2.3      447.4     1.27e+05
2002 02 21  0104   52326    3840    0        2.2      444.9     1.03e+05
2002 02 21  0105   52326    3900    0        2.5      446.0     1.16e+05
2002 02 21  0106   52326    3960    0        2.4      450.6     1.25e+05
2002 02 21  0107   52326    4020    0        2.3      446.8     1.11e+05
2002 02 21  0108   52326    4080    0        2.4      451.0     1.84e+05
2002 02 21  0109   52326    4140    0        2.0      450.1     1.74e+05
2002 02 21  0110   52326    4200    9    -9999.9    -9999.9    -1.00e+05
2002 02 21  0111   52326    4260    0        2.0      446.6     1.29e+05
2002 02 21  0112   52326    4320    0        2.1      444.9     1.27e+05
2002 02 21  0113   52326    4380    1        2.0      454.7     2.41e+05
2002 02 21  0114   52326    4440    0        1.9      451.4     1.49e+05
2002 02 21  0115   52326    4500    0        1.9      451.4     1.49e+05
2002 02 21  0116   52326    4560    0        2.2      446.8     1.31e+05
2002 02 21  0117   52326    4620    0        2.1      446.9     1.28e+05
2002 02 21  0118   52326    4680    0        1.8      443.5     1.04e+05
2002 02 21  0119   52326    4740    0        2.1      447.5     1.22e+05
2002 02 21  0120   52326    4800    0        2.2      446.9     1.12e+05
2002 02 21  0121   52326    4860    0        2.2      446.4     1.09e+05
2002 02 21  0122   52326    4920    0        2.2      444.7     1.14e+05
2002 02 21  0123   52326    4980    0        2.1      446.4     1.09e+05
2002 02 21  0124   52326    5040    0        2.2      446.7     1.20e+05
2002 02 21  0125   52326    5100    0        2.5      448.5     1.09e+05
2002 02 21  0126   52326    5160    0        2.5      449.6     1.07e+05
2002 02 21  0127   52326    5220    0        2.4      449.3     1.15e+05
2002 02 21  0128   52326    5280    1        2.6      457.3     2.32e+05
2002 02 21  0129   52326    5340    0        2.4      447.1     1.07e+05
2002 02 21  0130   52326    5400    0        2.1      443.8     1.28e+05
2002 02 21  0131   52326    5460    0        2.1      443.8     1.28e+05
2002 02 21  0132   52326    5520    1        2.3      447.0     1.09e+05
2002 02 21  0133   52326    5580    1        2.3      453.2     2.89e+05
2002 02 21  0134   52326    5640    1        2.3      454.5     2.61e+05
2002 02 21  0135   52326    5700    0        3.0      460.1     1.72e+05
2002 02 21  0136   52326    5760    0        2.2      463.8     1.44e+05
2002 02 21  0137   52326    5820    0        2.4      455.1     1.33e+05
2002 02 21  0138   52326    5880    0        2.5      447.7     1.15e+05
2002 02 21  0139   52326    5940    0        2.0      443.9     1.24e+05
2002 02 21  0140   52326    6000    0        2.2      444.0     1.25e+05
2002 02 21  0141   52326    6060    0        2.0      444.7     1.22e+05
2002 02 21  0142   52326    6120    0        2.3      450.4     1.37e+05
2002 02 21  0143   52326    6180    9    -9999.9    -9999.9    -1.00e+05
2002 02 21  0144   52326    6240    0        2.5      453.2     1.25e+05
2002 02 21  0145   52326    6300    0        2.6      460.0     1.41e+05
2002 02 21  0146   52326    6360    0        2.6      462.2     1.45e+05
2002 02 21  0147   52326    6420    0        2.6      462.2     1.45e+05
2002 02 21  0148   52326    6480    0        2.6      460.7     1.44e+05
2002 02 21  0149   52326    6540    0        2.7      465.9     1.61e+05
2002 02 21  0150   52326    6600    0        2.7      468.9     1.71e+05
2002 02 21  0151   52326    6660    0        2.6      460.8     1.46e+05
2002 02 21  0152   52326    6720    0        2.5      456.1     1.66e+05
2002 02 21  0153   52326    6780    1        2.5      460.1     1.35e+05
2002 02 21  0154   52326    6840    0        2.6      453.0     1.57e+05
2002 02 21  0155   52326    6900    0        2.7      460.3     1.34e+05
2002 02 21  0156   52326    6960    1        2.5      457.5     1.56e+05
2002 02 21  0157   52326    7020    0        2.2      462.7     1.24e+05
2002 02 21  0158   52326    7080    0        2.3      455.3     9.68e+04
2002 02 21  0159   52326    7140    0        2.3      459.8     1.20e+05
2002 02 21  0200   52326    7200    0        2.3      458.7     1.31e+05
2002 02 21  0201   52326    7260    0        2.4      461.3     1.21e+05
2002 02 21  0202   52326    7320    0        2.2      464.4     1.08e+05
2002 02 21  0203   52326    7380    0        2.2      464.4     1.08e+05
2002 02 21  0204   52326    7440    0        2.3      468.9     1.21e+05
2002 02 21  0205   52326    7500    0        2.3      464.8     1.23e+05
2002 02 21  0206   52326    7560    0        2.4      463.1     1.38e+05
2002 02 21  0207   52326    7620    0        2.5      465.3     1.15e+05
2002 02 21  0208   52326    7680    0        2.3      460.7     1.16e+05
2002 02 21  0209   52326    7740    0        2.3      464.0     1.22e+05
2002 02 21  0210   52326    7800    0        2.3      456.9     1.05e+05
2002 02 21  0211   52326    7860    0        2.2      455.8     1.28e+05
2002 02 21  0212   52326    7920    0        2.3      457.1     1.09e+05
2002 02 21  0213   52326    7980    1        2.2      459.7     1.22e+05
2002 02 21  0214   52326    8040    0        2.3      457.4     1.22e+05
2002 02 21  0215   52326    8100    0        2.4      459.3     1.26e+05
2002 02 21  0216   52326    8160    9    -9999.9    -9999.9    -1.00e+05
2002 02 21  0217   52326    8220    0        2.4      460.1     1.33e+05
2002 02 21  0218   52326    8280    0        2.4      457.7     1.22e+05
2002 02 21  0219   52326    8340    0        2.4      457.7     1.22e+05
2002 02 21  0220   52326    8400    0        2.7      457.7     1.19e+05
2002 02 21  0221   52326    8460    0        2.6      459.8     1.37e+05
2002 02 21  0222   52326    8520    0        2.8      461.2     1.43e+05
2002 02 21  0223   52326    8580    0        2.5      473.3     1.66e+05
2002 02 21  0224   52326    8640    0        2.6      463.4     1.33e+05
2002 02 21  0225   52326    8700    0        2.6      461.0     1.21e+05
2002 02 21  0226   52326    8760    0        2.6      463.7     1.51e+05
