:Data_list: 20020228_ace_epam_5m.txt
:Created: 2002 Mar 01 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# Note: 7/26/00 Corrected Differential Flux ranges.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S   47-65    112-187   310-580   761-1220 060-1910   Ratio
#-------------------------------------------------------------------------------------------------------------------
2002 02 28  0000   52333       0  0  1.20e+03  1.54e+01  0  8.03e+04  2.39e+02  7.15e+02  2.74e+00  8.55e-01   0.03
2002 02 28  0005   52333     300  0  1.07e+03  1.68e+01  0  9.95e+04  2.11e+02  6.82e+02  2.81e+00  8.80e-01   0.23
2002 02 28  0010   52333     600  0  1.09e+03  1.66e+01  0  7.41e+04  2.08e+02  5.72e+02  2.40e+00  8.54e-01   0.11
2002 02 28  0015   52333     900  0  1.00e+03  1.58e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  3.06e+00  8.90e-01   0.03
2002 02 28  0020   52333    1200  0  1.03e+03  1.89e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  3.12e+00  8.35e-01   0.14
2002 02 28  0025   52333    1500  0  1.01e+03  1.64e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.51e+00  9.06e-01   0.12
2002 02 28  0030   52333    1800  0  9.28e+02  1.86e+01  0  1.08e+05  2.38e+02  6.95e+02  2.64e+00  8.67e-01   0.05
2002 02 28  0035   52333    2100  0  8.64e+02  1.44e+01  0  1.09e+05  2.41e+02  5.46e+02  2.90e+00  8.55e-01   0.11
2002 02 28  0040   52333    2400  0  8.96e+02  1.87e+01  0  1.22e+05  2.54e+02  7.83e+02  3.13e+00  8.52e-01   0.21
2002 02 28  0045   52333    2700  0  9.29e+02  1.92e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  3.04e+00  9.30e-01   0.09
2002 02 28  0050   52333    3000  0  9.38e+02  2.00e+01  0  1.02e+05  2.73e+02  7.25e+02  2.88e+00  8.60e-01   0.07
2002 02 28  0055   52333    3300  0  1.05e+03  1.64e+01  0  8.62e+04  2.82e+02  7.97e+02  2.70e+00  9.06e-01   0.11
2002 02 28  0100   52333    3600  0  1.18e+03  1.58e+01  0  1.18e+05  2.91e+02  8.45e+02  2.92e+00  8.80e-01   0.24
2002 02 28  0105   52333    3900  0  1.08e+03  2.00e+01  0  9.22e+04  2.76e+02  6.53e+02  3.02e+00  1.15e+00   0.21
2002 02 28  0110   52333    4200  0  1.19e+03  1.49e+01  0  9.86e+04  2.75e+02  7.02e+02  2.74e+00  1.01e+00   0.10
2002 02 28  0115   52333    4500  0  1.24e+03  1.98e+01  0  8.49e+04  3.02e+02  6.84e+02  3.06e+00  8.93e-01   0.16
2002 02 28  0120   52333    4800  0  1.30e+03  2.00e+01  0  7.27e+04  2.10e+02  1.01e+03  2.71e+00  9.16e-01   0.14
2002 02 28  0125   52333    5100  0  1.26e+03  1.91e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.64e+00  8.80e-01   0.36
2002 02 28  0130   52333    5400  0  1.41e+03  1.76e+01  0  7.82e+04  3.43e+02  7.49e+02  2.90e+00  9.10e-01   0.27
2002 02 28  0135   52333    5700  0  1.47e+03  2.19e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.63e+00  9.15e-01   0.29
2002 02 28  0140   52333    6000  0  1.33e+03  1.85e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.80e+00  9.82e-01   0.21
2002 02 28  0145   52333    6300  0  1.21e+03  2.09e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.81e+00  7.81e-01   0.15
2002 02 28  0150   52333    6600  0  1.25e+03  1.70e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.62e+00  9.53e-01   0.07
2002 02 28  0155   52333    6900  0  1.19e+03  2.20e+01  0  8.12e+04  3.05e+02  2.20e+02  2.88e+00  1.01e+00   0.10
2002 02 28  0200   52333    7200  0  1.03e+03  1.94e+01  0  8.07e+04  3.20e+02  2.09e+01  2.98e+00  8.42e-01   0.18
2002 02 28  0205   52333    7500  0  1.13e+03  1.85e+01  0  7.52e+04  2.41e+02  1.42e+02  2.91e+00  7.66e-01   0.12
2002 02 28  0210   52333    7800  0  1.26e+03  1.77e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  3.09e+00  7.51e-01   0.12
2002 02 28  0215   52333    8100  0  1.31e+03  1.52e+01  0  8.86e+04  2.21e+02  7.25e+02  2.68e+00  9.26e-01   0.20
2002 02 28  0220   52333    8400  0  1.35e+03  1.86e+01  0  7.04e+04  2.25e+02  6.27e+02  2.77e+00  1.02e+00   0.16
2002 02 28  0225   52333    8700  0  1.27e+03  1.55e+01  0  7.44e+04  2.30e+02  5.18e+02  3.06e+00  6.86e-01   0.10
2002 02 28  0230   52333    9000  0  1.19e+03  1.71e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.80e+00  8.14e-01   0.28
2002 02 28  0235   52333    9300  0  1.21e+03  1.82e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.77e+00  8.42e-01   0.23
2002 02 28  0240   52333    9600  0  1.23e+03  1.95e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.75e+00  6.95e-01   0.12
2002 02 28  0245   52333    9900  0  1.23e+03  1.65e+01  9 -1.00e+05 -1.00e+05 -1.00e+05  2.60e+00  8.94e-01   0.10
