:Data_list: 20020228_ace_swepam_1m.txt
:Created: 2002 Mar 01 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 02 28  0000   52333       0    0        4.8      334.1     4.20e+04
2002 02 28  0001   52333      60    0        5.6      332.7     4.22e+04
2002 02 28  0002   52333     120    0        3.4      325.4     6.27e+04
2002 02 28  0003   52333     180    0        5.0      321.7     6.41e+04
2002 02 28  0004   52333     240    0        2.9      309.8     2.25e+04
2002 02 28  0005   52333     300    0        4.2      317.7     7.13e+04
2002 02 28  0006   52333     360    0        5.0      329.2     6.03e+04
2002 02 28  0007   52333     420    0        5.3      333.2     4.25e+04
2002 02 28  0008   52333     480    0        4.8      322.4     6.45e+04
2002 02 28  0009   52333     540    0        2.1      322.1     7.96e+04
2002 02 28  0010   52333     600    0        3.4      328.8     5.40e+04
2002 02 28  0011   52333     660    0        3.4      328.8     5.40e+04
2002 02 28  0012   52333     720    9    -9999.9    -9999.9    -1.00e+05
2002 02 28  0013   52333     780    0        1.4      303.3     1.89e+04
2002 02 28  0014   52333     840    0        4.0      323.3     7.76e+04
2002 02 28  0015   52333     900    0        3.2      321.1     8.50e+04
2002 02 28  0016   52333     960    0        2.3      306.6     2.90e+04
2002 02 28  0017   52333    1020    0        3.8      322.3     7.78e+04
2002 02 28  0018   52333    1080    0        3.1      322.5     5.44e+04
2002 02 28  0019   52333    1140    0        4.0      324.0     6.51e+04
2002 02 28  0020   52333    1200    0        3.9      323.4     4.99e+04
2002 02 28  0021   52333    1260    1        3.1      313.2     3.72e+04
2002 02 28  0022   52333    1320    0        1.9      304.2     3.27e+04
2002 02 28  0023   52333    1380    0        2.3      299.6     1.47e+04
2002 02 28  0024   52333    1440    0        1.8      306.9     2.88e+04
2002 02 28  0025   52333    1500    1        1.7      303.7     1.81e+04
2002 02 28  0026   52333    1560    0        2.2      345.4     6.55e+04
2002 02 28  0027   52333    1620    0        2.3      338.3     6.03e+04
2002 02 28  0028   52333    1680    0        2.5      331.2     5.50e+04
