:Data_list: 20020313_ace_mag_1m.txt
:Created: 2002 Mar 14 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2002 03 13  0000   52346       0    0    -6.3     1.0     0.5     6.4     4.3   171.0
2002 03 13  0001   52346      60    0    -6.2     0.0    -1.2     6.3   -11.0   179.6
2002 03 13  0002   52346     120    0    -6.1    -0.2    -2.3     6.6   -20.3   182.1
2002 03 13  0003   52346     180    0    -6.2     0.1    -1.8     6.5   -15.8   178.7
2002 03 13  0004   52346     240    0    -6.2     0.1    -2.0     6.5   -17.7   179.1
2002 03 13  0005   52346     300    0    -5.9    -0.7    -2.3     6.4   -21.5   186.8
2002 03 13  0006   52346     360    0    -6.0    -0.2    -2.2     6.4   -20.4   182.2
2002 03 13  0007   52346     420    0    -5.9    -0.6    -2.3     6.4   -21.1   186.1
2002 03 13  0008   52346     480    0    -6.2     1.3    -1.1     6.4    -9.9   168.0
2002 03 13  0009   52346     540    0    -6.1     1.3    -1.4     6.4   -12.9   168.0
2002 03 13  0010   52346     600    0    -6.3     0.8    -1.1     6.4   -10.3   172.4
2002 03 13  0011   52346     660    0    -6.2     1.2    -0.9     6.4    -8.1   169.2
2002 03 13  0012   52346     720    0    -6.3     1.2    -0.5     6.5    -4.0   169.3
2002 03 13  0013   52346     780    0    -6.4     1.4    -0.1     6.5    -0.7   167.8
2002 03 13  0014   52346     840    0    -6.3     1.5     0.2     6.5     1.4   167.0
