:Data_list: 20020323_ace_sis_5m.txt
:Created: 2002 Mar 24 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2002 03 23  0000    52356       0      0    8.07e+00    0    6.13e-01
2002 03 23  0005    52356     300      0    7.91e+00    0    6.47e-01
2002 03 23  0010    52356     600      0    7.54e+00    0    6.17e-01
2002 03 23  0015    52356     900      0    8.61e+00    0    6.42e-01
2002 03 23  0020    52356    1200      0    8.77e+00    0    6.56e-01
2002 03 23  0025    52356    1500      0    8.13e+00    0    5.14e-01
2002 03 23  0030    52356    1800      0    8.45e+00    0    5.99e-01
2002 03 23  0035    52356    2100      0    8.29e+00    0    6.01e-01
2002 03 23  0040    52356    2400      0    7.85e+00    0    5.46e-01
2002 03 23  0045    52356    2700      0    8.07e+00    0    5.54e-01
2002 03 23  0050    52356    3000      0    8.47e+00    0    6.66e-01
2002 03 23  0055    52356    3300      0    8.93e+00    0    5.34e-01
2002 03 23  0100    52356    3600      0    8.52e+00    0    6.30e-01
2002 03 23  0105    52356    3900      0    8.55e+00    0    5.78e-01
2002 03 23  0110    52356    4200      0    8.43e+00    0    5.86e-01
2002 03 23  0115    52356    4500      0    8.61e+00    0    5.74e-01
2002 03 23  0120    52356    4800      0    8.33e+00    0    5.28e-01
2002 03 23  0125    52356    5100      0    8.16e+00    0    5.37e-01
2002 03 23  0130    52356    5400      0    8.02e+00    0    5.80e-01
2002 03 23  0135    52356    5700      0    8.02e+00    0    5.67e-01
2002 03 23  0140    52356    6000      0    8.40e+00    0    5.44e-01
2002 03 23  0145    52356    6300      0    8.10e+00    0    5.42e-01
2002 03 23  0150    52356    6600      0    7.60e+00    0    6.18e-01
2002 03 23  0155    52356    6900      0    7.74e+00    0    5.09e-01
2002 03 23  0200    52356    7200      0    8.03e+00    0    5.27e-01
2002 03 23  0205    52356    7500      0    7.86e+00    0    5.68e-01
2002 03 23  0210    52356    7800      0    7.89e+00    0    6.50e-01
2002 03 23  0215    52356    8100      0    7.66e+00    0    6.47e-01
2002 03 23  0220    52356    8400      0    7.22e+00    0    6.17e-01
2002 03 23  0225    52356    8700      0    7.05e+00    0    5.52e-01
2002 03 23  0230    52356    9000      0    7.05e+00    0    5.66e-01
2002 03 23  0235    52356    9300      0    7.29e+00    0    5.30e-01
2002 03 23  0240    52356    9600      0    7.34e+00    0    5.21e-01
2002 03 23  0245    52356    9900      0    7.33e+00    0    6.36e-01
2002 03 23  0250    52356   10200      0    6.99e+00    0    5.74e-01
2002 03 23  0255    52356   10500      9   -1.00e+05    9   -1.00e+05
2002 03 23  0300    52356   10800      0    7.07e+00    0    5.40e-01
2002 03 23  0305    52356   11100      0    7.04e+00    0    5.51e-01
2002 03 23  0310    52356   11400      0    6.79e+00    0    6.02e-01
2002 03 23  0315    52356   11700      0    6.77e+00    0    5.68e-01
2002 03 23  0320    52356   12000      0    6.82e+00    0    5.71e-01
2002 03 23  0325    52356   12300      0    6.69e+00    0    4.92e-01
2002 03 23  0330    52356   12600      0    6.68e+00    0    5.27e-01
2002 03 23  0335    52356   12900      0    6.54e+00    0    6.10e-01
2002 03 23  0340    52356   13200      0    6.57e+00    0    6.37e-01
2002 03 23  0345    52356   13500      0    6.70e+00    0    6.67e-01
2002 03 23  0350    52356   13800      0    6.38e+00    0    4.74e-01
2002 03 23  0355    52356   14100      0    6.64e+00    0    5.42e-01
2002 03 23  0400    52356   14400      0    6.43e+00    0    5.71e-01
2002 03 23  0405    52356   14700      0    6.80e+00    0    5.98e-01
2002 03 23  0410    52356   15000      0    6.87e+00    0    4.90e-01
2002 03 23  0415    52356   15300      0    6.63e+00    0    5.28e-01
2002 03 23  0420    52356   15600      0    6.59e+00    0    5.63e-01
