:Data_list: 20020403_ace_sis_5m.txt
:Created: 2002 Apr 04 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2002 04 03  0000    52367       0      0    8.34e-01    0    5.81e-01
2002 04 03  0005    52367     300      0    8.36e-01    0    5.90e-01
2002 04 03  0010    52367     600      0    8.06e-01    0    5.67e-01
2002 04 03  0015    52367     900      0    8.36e-01    0    5.87e-01
2002 04 03  0020    52367    1200      0    8.09e-01    0    5.76e-01
2002 04 03  0025    52367    1500      0    8.63e-01    0    6.12e-01
2002 04 03  0030    52367    1800      0    8.07e-01    0    5.71e-01
2002 04 03  0035    52367    2100      0    8.24e-01    0    5.80e-01
2002 04 03  0040    52367    2400      0    8.19e-01    0    5.79e-01
2002 04 03  0045    52367    2700      0    8.07e-01    0    5.73e-01
2002 04 03  0050    52367    3000      0    8.31e-01    0    5.79e-01
2002 04 03  0055    52367    3300      0    8.29e-01    0    5.88e-01
2002 04 03  0100    52367    3600      0    8.38e-01    0    5.94e-01
2002 04 03  0105    52367    3900      0    8.28e-01    0    5.81e-01
2002 04 03  0110    52367    4200      0    8.27e-01    0    5.84e-01
2002 04 03  0115    52367    4500      0    8.32e-01    0    5.85e-01
2002 04 03  0120    52367    4800      0    8.27e-01    0    5.79e-01
2002 04 03  0125    52367    5100      0    8.40e-01    0    5.93e-01
2002 04 03  0130    52367    5400      0    8.23e-01    0    5.77e-01
2002 04 03  0135    52367    5700      0    8.40e-01    0    5.96e-01
2002 04 03  0140    52367    6000      0    8.36e-01    0    5.90e-01
2002 04 03  0145    52367    6300      0    8.39e-01    0    5.87e-01
2002 04 03  0150    52367    6600      0    8.47e-01    0    5.97e-01
2002 04 03  0155    52367    6900      0    8.29e-01    0    5.84e-01
2002 04 03  0200    52367    7200      0    8.36e-01    0    5.87e-01
2002 04 03  0205    52367    7500      0    8.37e-01    0    5.90e-01
2002 04 03  0210    52367    7800      0    8.21e-01    0    5.85e-01
2002 04 03  0215    52367    8100      0    8.26e-01    0    5.90e-01
2002 04 03  0220    52367    8400      0    8.27e-01    0    5.88e-01
2002 04 03  0225    52367    8700      0    8.34e-01    0    5.82e-01
2002 04 03  0230    52367    9000      0    8.12e-01    0    5.70e-01
2002 04 03  0235    52367    9300      0    8.38e-01    0    5.87e-01
2002 04 03  0240    52367    9600      0    8.18e-01    0    5.80e-01
2002 04 03  0245    52367    9900      0    8.12e-01    0    5.69e-01
2002 04 03  0250    52367   10200      0    8.34e-01    0    5.89e-01
2002 04 03  0255    52367   10500      0    8.44e-01    0    6.03e-01
2002 04 03  0300    52367   10800      0    8.21e-01    0    5.74e-01
2002 04 03  0305    52367   11100      0    8.41e-01    0    5.90e-01
2002 04 03  0310    52367   11400      0    8.23e-01    0    5.78e-01
2002 04 03  0315    52367   11700      0    8.35e-01    0    5.82e-01
2002 04 03  0320    52367   12000      0    8.22e-01    0    5.74e-01
2002 04 03  0325    52367   12300      0    8.17e-01    0    5.67e-01
2002 04 03  0330    52367   12600      0    8.19e-01    0    5.75e-01
2002 04 03  0335    52367   12900      0    8.42e-01    0    5.90e-01
2002 04 03  0340    52367   13200      0    8.03e-01    0    5.59e-01
2002 04 03  0345    52367   13500      0    8.47e-01    0    6.02e-01
2002 04 03  0350    52367   13800      0    8.59e-01    0    6.08e-01
2002 04 03  0355    52367   14100      0    8.27e-01    0    5.76e-01
2002 04 03  0400    52367   14400      0    8.42e-01    0    5.98e-01
2002 04 03  0405    52367   14700      0    8.23e-01    0    5.87e-01
2002 04 03  0410    52367   15000      0    8.36e-01    0    5.93e-01
