:Data_list: 20020530_ace_swepam_1m.txt
:Created: 2002 May 31 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 05 30  0000   52424       0    0        2.0      478.5     6.02e+04
2002 05 30  0001   52424      60    0        1.9      476.6     5.71e+04
2002 05 30  0002   52424     120    0        2.1      473.9     7.26e+04
2002 05 30  0003   52424     180    0        2.1      471.0     7.25e+04
2002 05 30  0004   52424     240    0        2.0      473.1     7.59e+04
2002 05 30  0005   52424     300    0        2.0      471.9     7.50e+04
2002 05 30  0006   52424     360    0        2.0      471.6     7.21e+04
2002 05 30  0007   52424     420    0        1.9      475.8     7.44e+04
2002 05 30  0008   52424     480    0        2.0      472.4     7.30e+04
2002 05 30  0009   52424     540    9    -9999.9    -9999.9    -1.00e+05
2002 05 30  0010   52424     600    0        2.0      472.8     6.44e+04
2002 05 30  0011   52424     660    0        2.0      470.7     7.34e+04
2002 05 30  0012   52424     720    0        2.1      473.0     7.78e+04
2002 05 30  0013   52424     780    0        2.1      473.6     7.37e+04
2002 05 30  0014   52424     840    0        2.1      473.6     7.37e+04
2002 05 30  0015   52424     900    0        2.0      474.9     7.44e+04
2002 05 30  0016   52424     960    0        2.1      474.0     7.65e+04
2002 05 30  0017   52424    1020    0        2.1      473.3     7.67e+04
2002 05 30  0018   52424    1080    0        2.1      472.5     7.61e+04
2002 05 30  0019   52424    1140    0        2.1      473.0     7.83e+04
2002 05 30  0020   52424    1200    0        2.1      471.9     7.64e+04
2002 05 30  0021   52424    1260    0        2.1      472.6     7.40e+04
2002 05 30  0022   52424    1320    0        2.1      470.9     7.61e+04
2002 05 30  0023   52424    1380    0        2.1      470.7     7.85e+04
2002 05 30  0024   52424    1440    0        2.1      465.5     7.83e+04
2002 05 30  0025   52424    1500    0        2.1      469.6     7.15e+04
2002 05 30  0026   52424    1560    0        2.0      468.8     7.53e+04
2002 05 30  0027   52424    1620    0        2.1      465.9     8.13e+04
2002 05 30  0028   52424    1680    0        2.1      466.0     7.83e+04
2002 05 30  0029   52424    1740    0        2.1      465.6     8.02e+04
2002 05 30  0030   52424    1800    0        2.1      465.6     8.02e+04
2002 05 30  0031   52424    1860    0        2.2      463.9     8.50e+04
2002 05 30  0032   52424    1920    0        2.2      464.7     8.37e+04
2002 05 30  0033   52424    1980    0        2.2      467.0     7.67e+04
2002 05 30  0034   52424    2040    0        2.2      468.8     7.97e+04
2002 05 30  0035   52424    2100    0        2.3      469.9     8.05e+04
2002 05 30  0036   52424    2160    0        2.3      470.7     7.90e+04
2002 05 30  0037   52424    2220    0        2.3      469.5     7.63e+04
2002 05 30  0038   52424    2280    0        2.2      471.9     7.71e+04
2002 05 30  0039   52424    2340    0        2.3      469.5     7.82e+04
2002 05 30  0040   52424    2400    0        2.1      471.3     7.40e+04
2002 05 30  0041   52424    2460    0        2.2      464.1     8.00e+04
2002 05 30  0042   52424    2520    9    -9999.9    -9999.9    -1.00e+05
2002 05 30  0043   52424    2580    0        2.1      464.4     8.00e+04
2002 05 30  0044   52424    2640    0        2.2      465.1     7.78e+04
2002 05 30  0045   52424    2700    0        2.2      465.4     7.39e+04
2002 05 30  0046   52424    2760    0        2.2      465.4     7.39e+04
2002 05 30  0047   52424    2820    0        2.2      467.7     7.81e+04
2002 05 30  0048   52424    2880    0        2.1      464.7     7.83e+04
2002 05 30  0049   52424    2940    0        2.1      466.1     7.52e+04
2002 05 30  0050   52424    3000    0        2.2      465.6     8.03e+04
2002 05 30  0051   52424    3060    0        2.2      465.6     8.62e+04
2002 05 30  0052   52424    3120    0        2.1      465.1     6.46e+04
2002 05 30  0053   52424    3180    0        1.9      467.9     6.62e+04
2002 05 30  0054   52424    3240    0        1.9      463.1     6.50e+04
2002 05 30  0055   52424    3300    0        2.0      464.9     7.59e+04
2002 05 30  0056   52424    3360    0        2.2      466.2     7.96e+04
2002 05 30  0057   52424    3420    0        2.3      467.5     8.37e+04
2002 05 30  0058   52424    3480    0        2.3      467.5     7.93e+04
2002 05 30  0059   52424    3540    0        2.2      466.2     8.19e+04
2002 05 30  0100   52424    3600    0        2.2      465.8     7.78e+04
2002 05 30  0101   52424    3660    0        2.1      464.7     8.08e+04
2002 05 30  0102   52424    3720    0        2.1      464.7     8.08e+04
2002 05 30  0103   52424    3780    0        2.2      463.7     7.82e+04
2002 05 30  0104   52424    3840    0        2.1      466.6     7.66e+04
2002 05 30  0105   52424    3900    0        2.1      464.4     7.67e+04
2002 05 30  0106   52424    3960    0        2.1      464.3     7.31e+04
2002 05 30  0107   52424    4020    0        2.2      463.6     7.92e+04
2002 05 30  0108   52424    4080    1        2.3      464.6     8.41e+04
2002 05 30  0109   52424    4140    0        2.1      462.4     8.07e+04
2002 05 30  0110   52424    4200    1        2.2      463.9     8.00e+04
2002 05 30  0111   52424    4260    0        2.3      464.2     8.22e+04
2002 05 30  0112   52424    4320    1        2.1      464.0     9.35e+04
2002 05 30  0113   52424    4380    0        2.1      460.1     8.77e+04
2002 05 30  0114   52424    4440    0        2.3      462.1     9.99e+04
2002 05 30  0115   52424    4500    9    -9999.9    -9999.9    -1.00e+05
2002 05 30  0116   52424    4560    0        2.2      459.1     8.47e+04
2002 05 30  0117   52424    4620    0        2.1      462.7     9.07e+04
2002 05 30  0118   52424    4680    0        2.1      462.7     9.07e+04
2002 05 30  0119   52424    4740    0        2.3      460.5     8.69e+04
2002 05 30  0120   52424    4800    1        2.1      468.2     1.25e+05
2002 05 30  0121   52424    4860    0        2.2      462.9     1.13e+05
2002 05 30  0122   52424    4920    0        2.3      462.9     1.15e+05
