:Data_list: 20020613_ace_swepam_1m.txt
:Created: 2002 Jun 14 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 06 13  0000   52438       0    0        4.2      349.4     4.84e+04
2002 06 13  0001   52438      60    0        3.9      349.4     4.90e+04
2002 06 13  0002   52438     120    0        4.1      347.9     4.90e+04
2002 06 13  0003   52438     180    0        4.2      347.2     5.41e+04
2002 06 13  0004   52438     240    0        3.8      349.1     4.81e+04
2002 06 13  0005   52438     300    0        4.0      346.0     6.23e+04
2002 06 13  0006   52438     360    0        4.3      347.7     5.04e+04
2002 06 13  0007   52438     420    0        4.5      346.7     4.96e+04
2002 06 13  0008   52438     480    0        4.6      345.8     5.42e+04
2002 06 13  0009   52438     540    0        4.5      345.9     5.77e+04
2002 06 13  0010   52438     600    0        4.2      349.5     4.84e+04
2002 06 13  0011   52438     660    0        4.1      349.3     4.53e+04
2002 06 13  0012   52438     720    0        4.3      345.3     6.44e+04
2002 06 13  0013   52438     780    0        3.9      348.6     5.09e+04
2002 06 13  0014   52438     840    0        3.9      348.6     5.09e+04
2002 06 13  0015   52438     900    0        4.3      353.7     4.66e+04
2002 06 13  0016   52438     960    0        5.2      348.7     5.19e+04
2002 06 13  0017   52438    1020    0        4.4      353.6     4.74e+04
2002 06 13  0018   52438    1080    0        4.3      354.4     4.89e+04
2002 06 13  0019   52438    1140    0        4.3      356.0     4.46e+04
2002 06 13  0020   52438    1200    0        3.7      357.4     3.93e+04
2002 06 13  0021   52438    1260    0        3.6      358.0     3.67e+04
2002 06 13  0022   52438    1320    0        3.7      357.1     4.39e+04
2002 06 13  0023   52438    1380    0        4.6      355.0     4.94e+04
2002 06 13  0024   52438    1440    9    -9999.9    -9999.9    -1.00e+05
2002 06 13  0025   52438    1500    0        4.1      353.1     5.46e+04
2002 06 13  0026   52438    1560    0        4.9      348.3     5.45e+04
2002 06 13  0027   52438    1620    0        4.0      352.6     5.04e+04
2002 06 13  0028   52438    1680    0        4.4      352.4     4.85e+04
2002 06 13  0029   52438    1740    0        2.9      364.1     3.97e+04
2002 06 13  0030   52438    1800    0        2.9      364.1     3.97e+04
2002 06 13  0031   52438    1860    0        3.6      368.0     4.54e+04
2002 06 13  0032   52438    1920    0        3.0      360.6     3.96e+04
2002 06 13  0033   52438    1980    0        4.4      352.9     4.43e+04
2002 06 13  0034   52438    2040    0        4.1      352.6     4.94e+04
2002 06 13  0035   52438    2100    0        4.7      354.2     4.09e+04
2002 06 13  0036   52438    2160    0        4.2      351.9     4.50e+04
2002 06 13  0037   52438    2220    0        4.3      351.6     4.84e+04
2002 06 13  0038   52438    2280    0        3.3      357.7     3.78e+04
2002 06 13  0039   52438    2340    0        2.8      351.2     4.87e+04
2002 06 13  0040   52438    2400    0        5.3      352.3     6.93e+04
2002 06 13  0041   52438    2460    0        3.9      353.6     3.47e+04
2002 06 13  0042   52438    2520    0        4.0      352.9     5.03e+04
2002 06 13  0043   52438    2580    0        4.4      353.7     4.47e+04
2002 06 13  0044   52438    2640    0        5.0      351.2     3.99e+04
2002 06 13  0045   52438    2700    0        3.7      344.4     6.33e+04
2002 06 13  0046   52438    2760    0        3.7      344.4     6.33e+04
2002 06 13  0047   52438    2820    0        3.9      343.3     6.76e+04
2002 06 13  0048   52438    2880    0        4.7      343.1     6.00e+04
2002 06 13  0049   52438    2940    0        3.7      350.0     4.92e+04
2002 06 13  0050   52438    3000    0        4.0      354.2     3.99e+04
2002 06 13  0051   52438    3060    0        4.0      351.3     4.86e+04
2002 06 13  0052   52438    3120    0        4.6      352.2     4.57e+04
2002 06 13  0053   52438    3180    0        4.3      347.9     4.92e+04
2002 06 13  0054   52438    3240    0        3.6      349.2     5.43e+04
2002 06 13  0055   52438    3300    0        3.5      348.5     5.59e+04
2002 06 13  0056   52438    3360    0        3.1      349.5     4.94e+04
2002 06 13  0057   52438    3420    9    -9999.9    -9999.9    -1.00e+05
2002 06 13  0058   52438    3480    0        4.2      346.4     4.79e+04
2002 06 13  0059   52438    3540    0        3.7      344.5     5.52e+04
2002 06 13  0100   52438    3600    0        3.9      343.1     5.75e+04
2002 06 13  0101   52438    3660    0        3.8      349.9     4.75e+04
2002 06 13  0102   52438    3720    0        3.8      349.9     4.75e+04
2002 06 13  0103   52438    3780    0        5.7      344.7     4.90e+04
2002 06 13  0104   52438    3840    0        2.6      351.2     3.20e+04
