:Data_list: 20020712_ace_swepam_1m.txt
:Created: 2002 Jul 13 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 07 12  0000   52467       0    0       18.6      393.2     6.21e+04
2002 07 12  0001   52467      60    0       17.7      394.3     6.02e+04
2002 07 12  0002   52467     120    0       18.1      391.8     6.46e+04
2002 07 12  0003   52467     180    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0004   52467     240    0       19.4      399.2     5.73e+04
2002 07 12  0005   52467     300    0       17.4      397.4     5.32e+04
2002 07 12  0006   52467     360    0       18.8      392.9     6.05e+04
2002 07 12  0007   52467     420    0       18.9      395.7     6.03e+04
2002 07 12  0008   52467     480    0       20.5      398.4     6.25e+04
2002 07 12  0009   52467     540    0       19.6      397.4     5.81e+04
2002 07 12  0010   52467     600    0       20.6      395.8     6.28e+04
2002 07 12  0011   52467     660    0       19.9      395.9     6.40e+04
2002 07 12  0012   52467     720    0       21.5      396.4     6.31e+04
2002 07 12  0013   52467     780    0       21.5      396.3     6.10e+04
2002 07 12  0014   52467     840    0       21.0      395.4     5.78e+04
2002 07 12  0015   52467     900    0       21.0      395.4     5.78e+04
2002 07 12  0016   52467     960    0       21.6      395.1     5.81e+04
2002 07 12  0017   52467    1020    0       21.6      399.2     5.79e+04
2002 07 12  0018   52467    1080    0       21.6      395.1     5.95e+04
2002 07 12  0019   52467    1140    0       20.5      397.3     5.97e+04
2002 07 12  0020   52467    1200    0       22.3      390.0     6.10e+04
2002 07 12  0021   52467    1260    0       24.0      393.7     6.67e+04
2002 07 12  0022   52467    1320    0       23.4      393.6     6.67e+04
2002 07 12  0023   52467    1380    0       22.3      391.6     6.60e+04
2002 07 12  0024   52467    1440    0       22.3      392.7     5.88e+04
2002 07 12  0025   52467    1500    0       21.6      393.6     5.93e+04
2002 07 12  0026   52467    1560    0       20.7      392.3     5.86e+04
2002 07 12  0027   52467    1620    0       22.5      396.0     6.36e+04
2002 07 12  0028   52467    1680    0       23.4      396.2     6.05e+04
2002 07 12  0029   52467    1740    0       22.9      396.6     6.32e+04
2002 07 12  0030   52467    1800    0       23.0      397.0     5.80e+04
2002 07 12  0031   52467    1860    0       23.0      397.0     5.80e+04
2002 07 12  0032   52467    1920    0       23.2      397.6     5.81e+04
2002 07 12  0033   52467    1980    0       21.8      395.3     6.02e+04
2002 07 12  0034   52467    2040    0       23.2      396.6     5.99e+04
2002 07 12  0035   52467    2100    0       22.8      398.3     6.21e+04
2002 07 12  0036   52467    2160    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0037   52467    2220    0       22.9      405.6     6.07e+04
2002 07 12  0038   52467    2280    0       21.6      397.1     6.25e+04
2002 07 12  0039   52467    2340    0       23.6      396.8     6.19e+04
2002 07 12  0040   52467    2400    6    -9999.9    -9999.9    -1.00e+05
2002 07 12  0041   52467    2460    0       23.6      398.2     6.22e+04
2002 07 12  0042   52467    2520    6    -9999.9    -9999.9    -1.00e+05
2002 07 12  0043   52467    2580    0       22.8      398.1     6.75e+04
2002 07 12  0044   52467    2640    0       22.8      399.1     6.45e+04
2002 07 12  0045   52467    2700    0       20.9      403.0     6.24e+04
2002 07 12  0046   52467    2760    0       21.4      399.4     6.20e+04
2002 07 12  0047   52467    2820    0       21.4      399.4     6.20e+04
2002 07 12  0048   52467    2880    0       23.3      393.6     6.02e+04
2002 07 12  0049   52467    2940    0       22.9      390.9     5.92e+04
2002 07 12  0050   52467    3000    0       23.7      391.5     5.93e+04
2002 07 12  0051   52467    3060    0       23.9      389.9     6.31e+04
2002 07 12  0052   52467    3120    0       22.6      391.6     6.12e+04
2002 07 12  0053   52467    3180    0       24.3      395.9     6.01e+04
2002 07 12  0054   52467    3240    0       24.6      397.9     6.08e+04
2002 07 12  0055   52467    3300    0       24.9      395.5     6.10e+04
2002 07 12  0056   52467    3360    0       24.5      396.0     5.99e+04
2002 07 12  0057   52467    3420    0       24.5      396.4     5.79e+04
2002 07 12  0058   52467    3480    0       24.5      396.7     5.56e+04
2002 07 12  0059   52467    3540    0       24.2      395.9     5.90e+04
2002 07 12  0100   52467    3600    0       24.3      393.9     5.84e+04
2002 07 12  0101   52467    3660    0       23.2      394.9     5.76e+04
2002 07 12  0102   52467    3720    0       22.5      395.4     5.87e+04
2002 07 12  0103   52467    3780    0       22.5      395.4     5.87e+04
2002 07 12  0104   52467    3840    0       21.9      395.1     5.82e+04
2002 07 12  0105   52467    3900    0       22.4      396.0     5.90e+04
2002 07 12  0106   52467    3960    0       24.4      395.9     5.70e+04
2002 07 12  0107   52467    4020    0       25.0      395.9     5.72e+04
2002 07 12  0108   52467    4080    0       22.8      395.2     5.77e+04
2002 07 12  0109   52467    4140    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0110   52467    4200    0       24.6      396.6     6.52e+04
2002 07 12  0111   52467    4260    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0112   52467    4320    0       24.7      394.9     5.80e+04
2002 07 12  0113   52467    4380    0       25.0      395.9     5.75e+04
2002 07 12  0114   52467    4440    0       24.0      395.7     5.87e+04
2002 07 12  0115   52467    4500    0       25.2      394.9     6.00e+04
2002 07 12  0116   52467    4560    0       23.7      396.9     5.75e+04
2002 07 12  0117   52467    4620    0       24.5      398.3     5.81e+04
2002 07 12  0118   52467    4680    0       23.6      392.5     6.11e+04
2002 07 12  0119   52467    4740    0       23.6      392.5     6.11e+04
2002 07 12  0120   52467    4800    0       24.3      394.1     5.75e+04
2002 07 12  0121   52467    4860    0       22.7      394.3     5.95e+04
2002 07 12  0122   52467    4920    6    -9999.9    -9999.9    -1.00e+05
2002 07 12  0123   52467    4980    0       20.1      394.9     6.02e+04
2002 07 12  0124   52467    5040    0       22.9      393.2     5.70e+04
2002 07 12  0125   52467    5100    0       22.3      397.7     5.87e+04
2002 07 12  0126   52467    5160    0       22.9      391.4     6.13e+04
2002 07 12  0127   52467    5220    0       23.4      404.2     5.90e+04
2002 07 12  0128   52467    5280    0       21.9      406.9     6.11e+04
2002 07 12  0129   52467    5340    0       22.6      401.8     5.83e+04
2002 07 12  0130   52467    5400    0       25.1      417.3     1.20e+05
2002 07 12  0131   52467    5460    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0132   52467    5520    0       22.4      394.0     5.58e+04
2002 07 12  0133   52467    5580    0       22.6      393.1     6.24e+04
2002 07 12  0134   52467    5640    0       23.6      391.8     5.73e+04
2002 07 12  0135   52467    5700    0       23.6      391.8     5.73e+04
2002 07 12  0136   52467    5760    0       23.0      392.5     5.98e+04
2002 07 12  0137   52467    5820    0       24.6      389.8     6.06e+04
2002 07 12  0138   52467    5880    0       24.1      389.8     5.76e+04
2002 07 12  0139   52467    5940    0       22.6      389.1     6.21e+04
2002 07 12  0140   52467    6000    0       25.2      391.7     6.00e+04
2002 07 12  0141   52467    6060    0       23.0      390.3     5.76e+04
2002 07 12  0142   52467    6120    9    -9999.9    -9999.9    -1.00e+05
2002 07 12  0143   52467    6180    0       24.6      391.8     5.54e+04
2002 07 12  0144   52467    6240    0       25.8      391.4     5.16e+04
2002 07 12  0145   52467    6300    0       25.1      390.5     5.52e+04
2002 07 12  0146   52467    6360    0       24.3      392.1     6.15e+04
2002 07 12  0147   52467    6420    0       23.1      392.8     6.35e+04
2002 07 12  0148   52467    6480    0       22.3      391.9     6.41e+04
2002 07 12  0149   52467    6540    0       21.9      391.8     6.00e+04
2002 07 12  0150   52467    6600    0       23.2      390.8     6.35e+04
2002 07 12  0151   52467    6660    0       23.2      390.8     6.35e+04
2002 07 12  0152   52467    6720    0       22.6      394.7     6.11e+04
2002 07 12  0153   52467    6780    0       19.4      392.5     6.32e+04
2002 07 12  0154   52467    6840    0       20.1      392.8     6.08e+04
2002 07 12  0155   52467    6900    0       19.9      391.1     6.23e+04
2002 07 12  0156   52467    6960    0       18.8      394.7     5.84e+04
2002 07 12  0157   52467    7020    0       19.4      389.3     5.96e+04
2002 07 12  0158   52467    7080    0       19.1      390.3     5.76e+04
2002 07 12  0159   52467    7140    0       17.6      388.7     5.28e+04
