:Data_list: 20020926_ace_sis_5m.txt
:Created: 2002 Sep 27 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2002 09 26  0000    52543       0      0    7.98e-01    0    5.64e-01
2002 09 26  0005    52543     300      0    8.00e-01    0    5.59e-01
2002 09 26  0010    52543     600      0    8.17e-01    0    5.80e-01
2002 09 26  0015    52543     900      0    7.70e-01    0    5.41e-01
2002 09 26  0020    52543    1200      0    7.93e-01    0    5.51e-01
2002 09 26  0025    52543    1500      0    8.11e-01    0    5.64e-01
2002 09 26  0030    52543    1800      0    8.07e-01    0    5.65e-01
2002 09 26  0035    52543    2100      0    8.01e-01    0    5.66e-01
2002 09 26  0040    52543    2400      0    8.12e-01    0    5.72e-01
2002 09 26  0045    52543    2700      0    7.92e-01    0    5.59e-01
2002 09 26  0050    52543    3000      0    8.29e-01    0    5.84e-01
2002 09 26  0055    52543    3300      0    8.17e-01    0    5.74e-01
2002 09 26  0100    52543    3600      0    8.23e-01    0    5.84e-01
2002 09 26  0105    52543    3900      0    8.14e-01    0    5.76e-01
2002 09 26  0110    52543    4200      0    8.03e-01    0    5.63e-01
2002 09 26  0115    52543    4500      0    7.83e-01    0    5.53e-01
2002 09 26  0120    52543    4800      0    8.03e-01    0    5.62e-01
2002 09 26  0125    52543    5100      0    8.01e-01    0    5.64e-01
2002 09 26  0130    52543    5400      0    8.08e-01    0    5.72e-01
2002 09 26  0135    52543    5700      0    8.14e-01    0    5.74e-01
2002 09 26  0140    52543    6000      0    8.03e-01    0    5.56e-01
2002 09 26  0145    52543    6300      0    8.13e-01    0    5.72e-01
2002 09 26  0150    52543    6600      0    8.34e-01    0    5.97e-01
2002 09 26  0155    52543    6900      0    8.21e-01    0    5.78e-01
2002 09 26  0200    52543    7200      0    8.15e-01    0    5.68e-01
2002 09 26  0205    52543    7500      0    8.04e-01    0    5.68e-01
2002 09 26  0210    52543    7800      0    8.07e-01    0    5.63e-01
2002 09 26  0215    52543    8100      0    8.31e-01    0    5.80e-01
2002 09 26  0220    52543    8400      0    8.18e-01    0    5.81e-01
2002 09 26  0225    52543    8700      0    7.83e-01    0    5.52e-01
2002 09 26  0230    52543    9000      0    8.00e-01    0    5.62e-01
2002 09 26  0235    52543    9300      0    8.09e-01    0    5.72e-01
2002 09 26  0240    52543    9600      0    8.06e-01    0    5.66e-01
2002 09 26  0245    52543    9900      0    8.22e-01    0    5.80e-01
2002 09 26  0250    52543   10200      0    8.10e-01    0    5.72e-01
2002 09 26  0255    52543   10500      0    8.12e-01    0    5.73e-01
2002 09 26  0300    52543   10800      0    8.02e-01    0    5.63e-01
2002 09 26  0305    52543   11100      0    8.29e-01    0    5.86e-01
2002 09 26  0310    52543   11400      0    8.15e-01    0    5.82e-01
2002 09 26  0315    52543   11700      0    8.01e-01    0    5.66e-01
2002 09 26  0320    52543   12000      0    8.00e-01    0    5.64e-01
2002 09 26  0325    52543   12300      0    7.92e-01    0    5.54e-01
2002 09 26  0330    52543   12600      0    8.06e-01    0    5.67e-01
2002 09 26  0335    52543   12900      0    8.33e-01    0    5.82e-01
2002 09 26  0340    52543   13200      0    8.12e-01    0    5.61e-01
2002 09 26  0345    52543   13500      0    7.96e-01    0    5.64e-01
2002 09 26  0350    52543   13800      0    7.85e-01    0    5.60e-01
2002 09 26  0355    52543   14100      0    7.88e-01    0    5.54e-01
2002 09 26  0400    52543   14400      0    7.73e-01    0    5.41e-01
2002 09 26  0405    52543   14700      0    7.95e-01    0    5.59e-01
2002 09 26  0410    52543   15000      0    8.10e-01    0    5.76e-01
2002 09 26  0415    52543   15300      0    8.13e-01    0    5.74e-01
2002 09 26  0420    52543   15600      0    8.00e-01    0    5.63e-01
2002 09 26  0425    52543   15900      0    7.93e-01    0    5.56e-01
2002 09 26  0430    52543   16200      0    8.03e-01    0    5.70e-01
2002 09 26  0435    52543   16500      0    8.19e-01    0    5.73e-01
2002 09 26  0440    52543   16800      0    7.88e-01    0    5.55e-01
2002 09 26  0445    52543   17100      0    7.93e-01    0    5.62e-01
2002 09 26  0450    52543   17400      0    8.00e-01    0    5.63e-01
2002 09 26  0455    52543   17700      0    7.96e-01    0    5.59e-01
2002 09 26  0500    52543   18000      0    7.86e-01    0    5.54e-01
2002 09 26  0505    52543   18300      0    8.19e-01    0    5.76e-01
2002 09 26  0510    52543   18600      0    8.07e-01    0    5.68e-01
2002 09 26  0515    52543   18900      0    7.98e-01    0    5.68e-01
2002 09 26  0520    52543   19200      0    8.03e-01    0    5.69e-01
2002 09 26  0525    52543   19500      0    8.01e-01    0    5.66e-01
2002 09 26  0530    52543   19800      0    7.97e-01    0    5.63e-01
2002 09 26  0535    52543   20100      0    8.01e-01    0    5.66e-01
2002 09 26  0540    52543   20400      0    7.90e-01    0    5.57e-01
2002 09 26  0545    52543   20700      0    8.26e-01    0    5.80e-01
2002 09 26  0550    52543   21000      0    7.98e-01    0    5.56e-01
2002 09 26  0555    52543   21300      0    8.01e-01    0    5.63e-01
2002 09 26  0600    52543   21600      0    8.14e-01    0    5.70e-01
2002 09 26  0605    52543   21900      0    8.13e-01    0    5.76e-01
2002 09 26  0610    52543   22200      0    8.09e-01    0    5.73e-01
2002 09 26  0615    52543   22500      0    7.91e-01    0    5.60e-01
2002 09 26  0620    52543   22800      0    8.19e-01    0    5.80e-01
2002 09 26  0625    52543   23100      0    8.20e-01    0    5.80e-01
2002 09 26  0630    52543   23400      0    8.16e-01    0    5.78e-01
2002 09 26  0635    52543   23700      0    7.99e-01    0    5.59e-01
2002 09 26  0640    52543   24000      0    8.04e-01    0    5.74e-01
2002 09 26  0645    52543   24300      0    8.04e-01    0    5.71e-01
2002 09 26  0650    52543   24600      0    8.21e-01    0    5.74e-01
2002 09 26  0655    52543   24900      0    8.07e-01    0    5.67e-01
2002 09 26  0700    52543   25200      0    8.01e-01    0    5.64e-01
2002 09 26  0705    52543   25500      0    8.06e-01    0    5.59e-01
2002 09 26  0710    52543   25800      0    8.04e-01    0    5.65e-01
2002 09 26  0715    52543   26100      0    7.97e-01    0    5.64e-01
2002 09 26  0720    52543   26400      0    8.11e-01    0    5.69e-01
2002 09 26  0725    52543   26700      0    8.03e-01    0    5.61e-01
2002 09 26  0730    52543   27000      0    8.06e-01    0    5.69e-01
