:Data_list: 20021108_ace_swepam_1m.txt
:Created: 2002 Nov 09 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 11 08  0000   52586       0    0        6.3      472.4     8.91e+04
2002 11 08  0001   52586      60    0        6.3      471.3     8.70e+04
2002 11 08  0002   52586     120    0        6.3      471.3     8.70e+04
2002 11 08  0003   52586     180    0        6.3      473.4     9.06e+04
2002 11 08  0004   52586     240    0        6.5      471.6     8.84e+04
2002 11 08  0005   52586     300    0        5.5      473.3     9.56e+04
2002 11 08  0006   52586     360    0        6.6      470.8     8.73e+04
2002 11 08  0007   52586     420    0        6.3      472.7     9.35e+04
2002 11 08  0008   52586     480    0        6.3      471.4     9.15e+04
2002 11 08  0009   52586     540    0        6.1      471.2     9.15e+04
2002 11 08  0010   52586     600    0        6.2      469.2     8.91e+04
2002 11 08  0011   52586     660    0        5.8      471.6     9.65e+04
2002 11 08  0012   52586     720    0        6.2      469.4     8.12e+04
2002 11 08  0013   52586     780    0        6.1      472.0     9.08e+04
2002 11 08  0014   52586     840    0        6.4      471.6     8.70e+04
2002 11 08  0015   52586     900    0        6.2      472.7     8.86e+04
2002 11 08  0016   52586     960    0        6.2      471.3     8.72e+04
2002 11 08  0017   52586    1020    0        6.2      472.8     8.62e+04
2002 11 08  0018   52586    1080    0        6.2      472.8     8.62e+04
2002 11 08  0019   52586    1140    0        6.2      471.4     8.54e+04
2002 11 08  0020   52586    1200    0        5.8      472.8     8.85e+04
2002 11 08  0021   52586    1260    0        6.1      472.0     8.81e+04
2002 11 08  0022   52586    1320    0        6.1      472.6     9.21e+04
2002 11 08  0023   52586    1380    0        5.7      471.8     8.87e+04
2002 11 08  0024   52586    1440    0        5.4      474.3     9.17e+04
2002 11 08  0025   52586    1500    0        6.1      471.1     9.25e+04
2002 11 08  0026   52586    1560    0        5.7      471.7     9.45e+04
2002 11 08  0027   52586    1620    0        6.0      469.0     9.25e+04
2002 11 08  0028   52586    1680    0        5.8      472.0     1.06e+05
2002 11 08  0029   52586    1740    0        5.9      469.4     9.25e+04
2002 11 08  0030   52586    1800    9    -9999.9    -9999.9    -1.00e+05
2002 11 08  0031   52586    1860    0        5.2      472.8     9.85e+04
2002 11 08  0032   52586    1920    0        5.6      475.0     9.61e+04
2002 11 08  0033   52586    1980    0        5.8      474.5     9.24e+04
