:Data_list: 20021209_ace_swepam_1m.txt
:Created: 2002 Dec 10 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2002 12 09  0000   52617       0    0        1.4      577.8     1.70e+05
2002 12 09  0001   52617      60    1        1.4      572.6     2.03e+05
2002 12 09  0002   52617     120    0        1.3      583.7     1.85e+05
2002 12 09  0003   52617     180    0        1.3      583.7     1.85e+05
2002 12 09  0004   52617     240    1        1.1      592.7     1.97e+05
2002 12 09  0005   52617     300    1        1.3      591.2     1.87e+05
2002 12 09  0006   52617     360    1    -9999.9    -9999.9    -1.00e+05
2002 12 09  0007   52617     420    1        1.5      582.0     1.08e+05
2002 12 09  0008   52617     480    1        1.7      588.2     1.49e+05
2002 12 09  0009   52617     540    1        1.6      588.7     1.24e+05
2002 12 09  0010   52617     600    1        1.9      605.4     1.61e+05
2002 12 09  0011   52617     660    1        1.8      607.9     2.11e+05
2002 12 09  0012   52617     720    1        1.9      607.7     1.99e+05
2002 12 09  0013   52617     780    1        1.9      602.4     1.55e+05
2002 12 09  0014   52617     840    1        1.8      598.6     1.54e+05
2002 12 09  0015   52617     900    0        1.9      599.4     1.77e+05
2002 12 09  0016   52617     960    1        1.9      602.9     2.03e+05
2002 12 09  0017   52617    1020    0        1.8      597.8     1.56e+05
2002 12 09  0018   52617    1080    0        1.7      595.3     1.49e+05
2002 12 09  0019   52617    1140    0        1.7      595.3     1.49e+05
2002 12 09  0020   52617    1200    0        1.9      596.9     1.57e+05
2002 12 09  0021   52617    1260    1        1.9      598.8     1.32e+05
2002 12 09  0022   52617    1320    0        1.8      598.4     1.38e+05
2002 12 09  0023   52617    1380    0        1.9      597.0     1.48e+05
2002 12 09  0024   52617    1440    0        2.0      600.6     1.56e+05
2002 12 09  0025   52617    1500    1        2.0      599.4     1.43e+05
2002 12 09  0026   52617    1560    0        1.7      599.1     1.49e+05
2002 12 09  0027   52617    1620    1        2.0      602.2     2.03e+05
2002 12 09  0028   52617    1680    0        2.0      598.0     1.49e+05
2002 12 09  0029   52617    1740    0        2.1      605.2     1.78e+05
2002 12 09  0030   52617    1800    0        1.9      599.3     1.64e+05
2002 12 09  0031   52617    1860    1        2.2      598.2     1.56e+05
2002 12 09  0032   52617    1920    0        1.9      595.8     1.53e+05
2002 12 09  0033   52617    1980    0        2.0      598.5     1.53e+05
2002 12 09  0034   52617    2040    0        2.1      599.6     1.48e+05
2002 12 09  0035   52617    2100    0        2.1      599.6     1.48e+05
2002 12 09  0036   52617    2160    0        2.1      599.5     1.40e+05
2002 12 09  0037   52617    2220    0        2.0      599.3     1.36e+05
2002 12 09  0038   52617    2280    1        2.2      599.1     1.36e+05
2002 12 09  0039   52617    2340    1    -9999.9    -9999.9    -1.00e+05
2002 12 09  0040   52617    2400    0        2.0      601.3     1.49e+05
2002 12 09  0041   52617    2460    0        1.9      600.6     1.33e+05
