:Data_list: 20030114_ace_sis_5m.txt
:Created: 2003 Jan 15 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 01 14  0000    52653       0      0    8.19e-01    0    5.85e-01
2003 01 14  0005    52653     300      0    8.46e-01    0    5.98e-01
2003 01 14  0010    52653     600      0    8.78e-01    0    6.27e-01
2003 01 14  0015    52653     900      0    8.67e-01    0    6.08e-01
2003 01 14  0020    52653    1200      0    8.76e-01    0    6.21e-01
2003 01 14  0025    52653    1500      0    8.50e-01    0    6.00e-01
2003 01 14  0030    52653    1800      0    8.82e-01    0    6.26e-01
2003 01 14  0035    52653    2100      0    8.44e-01    0    5.97e-01
2003 01 14  0040    52653    2400      0    8.56e-01    0    6.09e-01
2003 01 14  0045    52653    2700      0    8.50e-01    0    6.03e-01
2003 01 14  0050    52653    3000      0    8.61e-01    0    6.10e-01
2003 01 14  0055    52653    3300      0    8.48e-01    0    5.97e-01
2003 01 14  0100    52653    3600      0    8.50e-01    0    6.03e-01
2003 01 14  0105    52653    3900      0    8.40e-01    0    5.93e-01
2003 01 14  0110    52653    4200      0    8.52e-01    0    5.98e-01
2003 01 14  0115    52653    4500      0    8.66e-01    0    6.09e-01
2003 01 14  0120    52653    4800      0    8.58e-01    0    5.97e-01
2003 01 14  0125    52653    5100      0    8.50e-01    0    5.93e-01
2003 01 14  0130    52653    5400      0    8.41e-01    0    5.92e-01
2003 01 14  0135    52653    5700      0    8.48e-01    0    6.00e-01
2003 01 14  0140    52653    6000      0    8.56e-01    0    5.99e-01
2003 01 14  0145    52653    6300      0    8.55e-01    0    5.98e-01
2003 01 14  0150    52653    6600      0    8.64e-01    0    6.11e-01
2003 01 14  0155    52653    6900      0    8.39e-01    0    5.90e-01
2003 01 14  0200    52653    7200      0    8.49e-01    0    5.98e-01
2003 01 14  0205    52653    7500      0    8.69e-01    0    6.11e-01
2003 01 14  0210    52653    7800      0    8.63e-01    0    6.13e-01
2003 01 14  0215    52653    8100      0    8.58e-01    0    6.04e-01
2003 01 14  0220    52653    8400      0    8.50e-01    0    6.02e-01
2003 01 14  0225    52653    8700      0    8.84e-01    0    6.27e-01
2003 01 14  0230    52653    9000      0    8.56e-01    0    6.01e-01
2003 01 14  0235    52653    9300      0    8.52e-01    0    6.02e-01
2003 01 14  0240    52653    9600      0    8.64e-01    0    6.13e-01
2003 01 14  0245    52653    9900      0    8.62e-01    0    6.11e-01
2003 01 14  0250    52653   10200      0    8.54e-01    0    6.06e-01
2003 01 14  0255    52653   10500      0    8.62e-01    0    6.04e-01
2003 01 14  0300    52653   10800      0    8.64e-01    0    6.04e-01
2003 01 14  0305    52653   11100      0    8.59e-01    0    6.10e-01
2003 01 14  0310    52653   11400      0    8.24e-01    0    5.83e-01
2003 01 14  0315    52653   11700      0    8.56e-01    0    6.02e-01
2003 01 14  0320    52653   12000      0    8.46e-01    0    5.97e-01
2003 01 14  0325    52653   12300      0    8.66e-01    0    6.10e-01
2003 01 14  0330    52653   12600      0    8.75e-01    0    6.12e-01
2003 01 14  0335    52653   12900      0    8.63e-01    0    6.06e-01
2003 01 14  0340    52653   13200      0    8.49e-01    0    6.01e-01
2003 01 14  0345    52653   13500      0    8.55e-01    0    5.98e-01
2003 01 14  0350    52653   13800      0    8.60e-01    0    6.10e-01
2003 01 14  0355    52653   14100      0    8.69e-01    0    6.18e-01
2003 01 14  0400    52653   14400      0    8.77e-01    0    6.26e-01
2003 01 14  0405    52653   14700      0    8.33e-01    0    5.86e-01
2003 01 14  0410    52653   15000      0    8.55e-01    0    5.91e-01
2003 01 14  0415    52653   15300      0    8.57e-01    0    6.08e-01
2003 01 14  0420    52653   15600      0    8.47e-01    0    5.93e-01
2003 01 14  0425    52653   15900      0    8.46e-01    0    5.98e-01
2003 01 14  0430    52653   16200      0    8.53e-01    0    5.97e-01
2003 01 14  0435    52653   16500      0    8.73e-01    0    6.13e-01
2003 01 14  0440    52653   16800      0    8.59e-01    0    6.00e-01
2003 01 14  0445    52653   17100      0    8.80e-01    0    6.16e-01
2003 01 14  0450    52653   17400      0    8.55e-01    0    6.05e-01
2003 01 14  0455    52653   17700      0    8.43e-01    0    5.93e-01
2003 01 14  0500    52653   18000      0    8.59e-01    0    6.06e-01
2003 01 14  0505    52653   18300      0    8.55e-01    0    6.04e-01
