:Data_list: 20030118_ace_mag_1m.txt
:Created: 2003 Jan 19 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 01 18  0000   52657       0    0   -11.1     7.4     3.2    13.7    13.7   146.3
2003 01 18  0001   52657      60    0   -10.4     6.1     4.9    13.1    21.8   149.5
2003 01 18  0002   52657     120    0    -8.3     1.9    10.1    13.1    49.9   167.0
2003 01 18  0003   52657     180    0    -7.9    -0.1    10.5    13.1    53.0   180.5
2003 01 18  0004   52657     240    0    -9.4     2.6     9.2    13.4    43.3   164.3
2003 01 18  0005   52657     300    0    -9.7     4.4     8.2    13.5    37.7   155.8
2003 01 18  0006   52657     360    0   -10.5     6.1     6.0    13.6    26.4   150.0
2003 01 18  0007   52657     420    0   -10.4     7.1     5.0    13.6    21.7   145.9
2003 01 18  0008   52657     480    0    -8.1    10.4     1.1    13.3     4.7   128.1
2003 01 18  0009   52657     540    0    -8.3    10.2     1.4    13.2     6.1   129.0
2003 01 18  0010   52657     600    0    -9.1     9.8     1.1    13.4     4.7   133.1
2003 01 18  0011   52657     660    0    -4.7    10.7    -4.0    12.4   -18.8   113.5
2003 01 18  0012   52657     720    0    -8.7    10.0    -1.1    13.3    -4.7   130.8
2003 01 18  0013   52657     780    0    -7.5    10.5    -3.4    13.3   -14.8   125.5
2003 01 18  0014   52657     840    0    -6.7    10.3    -5.3    13.3   -23.5   123.0
2003 01 18  0015   52657     900    0    -6.4    10.6    -5.3    13.5   -23.2   121.2
2003 01 18  0016   52657     960    0    -5.8    10.6    -5.7    13.4   -25.1   118.5
2003 01 18  0017   52657    1020    0    -5.1    10.7    -6.1    13.4   -27.3   115.5
2003 01 18  0018   52657    1080    0    -4.8    10.9    -6.1    13.4   -27.1   113.7
2003 01 18  0019   52657    1140    0    -4.4    11.3    -5.7    13.4   -25.2   111.3
2003 01 18  0020   52657    1200    0    -4.6    11.3    -5.5    13.4   -24.2   112.3
2003 01 18  0021   52657    1260    0    -4.8    11.1    -5.8    13.4   -25.5   113.5
2003 01 18  0022   52657    1320    0    -4.4    10.6    -6.8    13.4   -30.8   112.7
2003 01 18  0023   52657    1380    0    -5.7    10.3    -6.8    13.6   -30.1   119.1
2003 01 18  0024   52657    1440    0    -5.5    11.0    -5.8    13.6   -25.4   116.6
2003 01 18  0025   52657    1500    0    -7.3    10.1    -1.0    12.5    -4.8   125.6
2003 01 18  0026   52657    1560    0    -7.1    11.2    -1.9    13.3    -8.3   122.3
2003 01 18  0027   52657    1620    0    -6.2    10.2    -5.7    13.2   -25.5   121.2
2003 01 18  0028   52657    1680    0    -8.1     9.4    -0.0    12.4    -0.1   130.9
2003 01 18  0029   52657    1740    0    -7.8    10.4    -3.0    13.3   -13.2   127.0
2003 01 18  0030   52657    1800    0    -5.9    11.1     0.9    12.6     4.2   117.9
2003 01 18  0031   52657    1860    0    -9.4     8.9    -1.5    13.0    -6.8   136.5
2003 01 18  0032   52657    1920    0   -10.6     7.0     1.5    12.8     6.7   146.7
2003 01 18  0033   52657    1980    0    -9.8     1.1     7.2    12.2    36.0   173.5
2003 01 18  0034   52657    2040    0   -12.4     0.6     5.0    13.4    21.8   177.3
2003 01 18  0035   52657    2100    0   -12.8     0.1     4.1    13.4    18.0   179.7
2003 01 18  0036   52657    2160    0   -10.1    -4.2     5.4    12.2    26.3   202.3
2003 01 18  0037   52657    2220    0   -12.2    -1.5     3.7    12.8    16.8   186.8
2003 01 18  0038   52657    2280    0   -11.6    -3.9     4.4    13.0    19.9   198.6
2003 01 18  0039   52657    2340    0   -11.3    -4.4     5.1    13.1    22.7   201.5
2003 01 18  0040   52657    2400    0   -12.2    -4.6     3.9    13.6    16.8   200.6
2003 01 18  0041   52657    2460    0    -9.6    -4.9     7.3    13.0    34.2   207.2
2003 01 18  0042   52657    2520    0   -11.8    -0.5     5.8    13.2    26.3   182.6
2003 01 18  0043   52657    2580    0   -11.4    -0.9     6.7    13.3    30.2   184.6
2003 01 18  0044   52657    2640    0   -11.2    -1.8     7.4    13.5    33.2   189.1
2003 01 18  0045   52657    2700    0   -10.3    -1.1     8.3    13.3    38.6   186.0
2003 01 18  0046   52657    2760    0   -11.3    -1.8     6.8    13.3    30.5   189.2
2003 01 18  0047   52657    2820    0   -11.8    -1.7     6.3    13.5    27.9   188.1
2003 01 18  0048   52657    2880    0   -12.7    -2.9     4.2    13.7    17.9   192.7
2003 01 18  0049   52657    2940    0   -12.1    -2.6     5.9    13.7    25.3   192.1
2003 01 18  0050   52657    3000    0   -12.6    -3.0     3.6    13.5    15.5   193.6
2003 01 18  0051   52657    3060    0   -13.0    -2.2     2.5    13.4    10.7   189.5
2003 01 18  0052   52657    3120    0   -13.1    -0.5     2.5    13.4    10.6   182.1
2003 01 18  0053   52657    3180    0   -13.1     2.5     1.3    13.4     5.4   169.3
2003 01 18  0054   52657    3240    0   -13.4     2.2     1.2    13.6     5.1   170.5
2003 01 18  0055   52657    3300    0   -13.3     1.6    -0.0    13.5    -0.1   173.0
2003 01 18  0056   52657    3360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2003 01 18  0057   52657    3420    0   -12.1     3.9    -1.9    12.9    -8.4   162.2
2003 01 18  0058   52657    3480    0   -12.2     3.9    -1.8    12.9    -7.9   162.3
2003 01 18  0059   52657    3540    0   -10.3     7.8    -1.7    13.0    -7.4   142.9
2003 01 18  0100   52657    3600    0    -9.2     5.8    -7.5    13.2   -34.6   148.1
2003 01 18  0101   52657    3660    0    -9.0     6.2    -7.5    13.2   -34.3   145.3
2003 01 18  0102   52657    3720    0    -9.6     7.4    -5.3    13.3   -23.6   142.4
2003 01 18  0103   52657    3780    0   -10.7     6.9    -4.2    13.4   -18.4   147.0
2003 01 18  0104   52657    3840    0   -11.1     6.7    -3.4    13.4   -14.6   148.9
2003 01 18  0105   52657    3900    0    -9.7     8.1    -1.9    12.8    -8.5   140.1
2003 01 18  0106   52657    3960    0    -9.3     7.4    -4.7    12.8   -21.4   141.4
2003 01 18  0107   52657    4020    0    -9.7     8.2    -3.1    13.1   -13.8   140.0
2003 01 18  0108   52657    4080    0    -8.0     8.9    -6.0    13.3   -26.5   131.7
2003 01 18  0109   52657    4140    0    -9.2     9.6    -3.7    13.7   -15.6   133.8
2003 01 18  0110   52657    4200    0    -9.3     9.9    -3.5    14.0   -14.3   133.4
2003 01 18  0111   52657    4260    0    -9.8     9.0    -3.3    13.8   -14.1   137.4
2003 01 18  0112   52657    4320    0   -10.8     9.1    -1.5    14.2    -6.0   139.9
2003 01 18  0113   52657    4380    0   -11.1     8.2    -3.3    14.2   -13.5   143.7
2003 01 18  0114   52657    4440    0   -10.8     8.9    -1.3    14.0    -5.5   140.6
2003 01 18  0115   52657    4500    0   -11.0     8.9    -1.2    14.2    -4.8   141.0
2003 01 18  0116   52657    4560    0   -11.0     8.0    -3.8    14.1   -15.4   144.0
2003 01 18  0117   52657    4620    0   -11.6     6.0    -5.5    14.2   -22.7   152.7
2003 01 18  0118   52657    4680    0   -10.8     6.3    -4.9    13.4   -21.6   149.6
2003 01 18  0119   52657    4740    0   -10.2     6.9    -6.0    13.7   -25.9   146.0
2003 01 18  0120   52657    4800    0    -9.9     5.0    -8.8    14.2   -38.5   153.5
2003 01 18  0121   52657    4860    0    -9.4     2.2   -10.3    14.1   -47.0   166.8
2003 01 18  0122   52657    4920    0    -9.3    -0.5   -10.5    14.0   -48.2   182.9
2003 01 18  0123   52657    4980    0    -9.4    -2.8   -10.1    14.0   -45.8   196.4
2003 01 18  0124   52657    5040    0    -8.8    -4.0    -9.4    13.5   -44.2   204.2
2003 01 18  0125   52657    5100    0    -8.5     8.3     0.8    11.9     4.0   135.6
2003 01 18  0126   52657    5160    0    -8.4    13.8     4.2    16.7    14.6   121.5
2003 01 18  0127   52657    5220    0    -8.7    14.0     3.1    16.8    10.8   122.0
2003 01 18  0128   52657    5280    0    -8.5    14.2     2.8    16.8     9.7   120.8
2003 01 18  0129   52657    5340    0    -9.2    14.1     2.0    17.0     6.8   122.9
2003 01 18  0130   52657    5400    0   -11.0    13.5    -0.5    17.4    -1.6   129.2
2003 01 18  0131   52657    5460    0    -9.1    14.2     0.9    16.9     2.9   122.7
2003 01 18  0132   52657    5520    0    -9.9    14.1    -0.6    17.3    -2.1   125.1
2003 01 18  0133   52657    5580    0   -11.2    12.7    -3.5    17.3   -11.7   131.5
2003 01 18  0134   52657    5640    0   -15.3    10.0    -0.5    18.3    -1.5   146.7
2003 01 18  0135   52657    5700    0   -16.5     8.0    -2.3    18.5    -7.2   154.2
2003 01 18  0136   52657    5760    0   -13.6    10.9    -2.5    17.6    -8.0   141.3
2003 01 18  0137   52657    5820    0   -10.0    13.5     0.9    16.8     3.1   126.5
2003 01 18  0138   52657    5880    0   -10.3    11.5     1.0    15.5     3.6   131.9
2003 01 18  0139   52657    5940    0   -10.3    10.9     1.5    15.1     5.8   133.5
2003 01 18  0140   52657    6000    0   -11.1    10.7     0.3    15.4     1.0   136.0
2003 01 18  0141   52657    6060    0   -11.9     9.8     0.4    15.4     1.5   140.6
2003 01 18  0142   52657    6120    0   -12.4     9.0     2.4    15.5     8.9   143.9
2003 01 18  0143   52657    6180    0   -11.7     9.5     2.6    15.3    10.0   140.9
2003 01 18  0144   52657    6240    0    -6.7    12.8     2.6    14.7    10.3   117.7
2003 01 18  0145   52657    6300    0   -11.6     9.0     2.6    14.9    10.0   142.2
2003 01 18  0146   52657    6360    0   -13.1     7.6     3.1    15.4    11.6   149.9
2003 01 18  0147   52657    6420    0   -13.9     6.0     3.0    15.4    11.2   156.5
2003 01 18  0148   52657    6480    0   -13.0     6.2     4.3    15.0    16.7   154.5
2003 01 18  0149   52657    6540    0   -13.2     3.8     4.0    14.3    16.3   163.8
2003 01 18  0150   52657    6600    0   -12.7    -1.9     4.5    13.6    19.5   188.4
2003 01 18  0151   52657    6660    0   -13.2     0.8     5.8    14.5    23.7   176.6
2003 01 18  0152   52657    6720    0   -12.4     4.3     6.0    14.5    24.7   161.0
2003 01 18  0153   52657    6780    0   -12.7     5.0     5.4    14.6    21.7   158.6
2003 01 18  0154   52657    6840    0   -11.7     4.4     5.8    13.8    24.7   159.3
2003 01 18  0155   52657    6900    0    -6.6    -8.7     7.6    13.3    34.8   232.9
2003 01 18  0156   52657    6960    0   -10.7    -3.3     7.1    13.3    32.6   197.3
2003 01 18  0157   52657    7020    0    -8.2    -7.3     7.2    13.2    33.3   221.7
2003 01 18  0158   52657    7080    0    -8.0    -7.3     5.9    12.4    28.3   222.3
2003 01 18  0159   52657    7140    0    -9.2    -6.0     7.6    13.3    34.6   213.1
2003 01 18  0200   52657    7200    0    -8.5    -6.7     8.3    13.6    37.5   218.2
2003 01 18  0201   52657    7260    0    -9.1    -6.4     8.3    13.9    36.6   215.4
2003 01 18  0202   52657    7320    0   -10.3    -3.9     9.0    14.2    39.2   200.5
2003 01 18  0203   52657    7380    0   -10.3    -4.1     8.9    14.2    38.8   201.6
2003 01 18  0204   52657    7440    0   -10.2    -3.7     9.2    14.3    40.3   199.8
2003 01 18  0205   52657    7500    0   -11.1    -3.1     8.6    14.4    36.7   195.5
2003 01 18  0206   52657    7560    0   -10.8    -2.3     9.0    14.3    39.1   192.1
2003 01 18  0207   52657    7620    0   -10.4    -1.8     9.5    14.2    41.9   189.6
2003 01 18  0208   52657    7680    0    -9.0    -0.8    10.6    14.0    49.6   184.9
2003 01 18  0209   52657    7740    0    -9.2    -1.0    10.5    14.0    48.6   186.4
2003 01 18  0210   52657    7800    0    -8.8    -0.6    10.7    13.8    50.4   184.0
2003 01 18  0211   52657    7860    0    -7.8    -0.3    11.3    13.7    55.5   182.3
2003 01 18  0212   52657    7920    0    -8.7    -0.7    10.8    13.9    50.9   184.8
2003 01 18  0213   52657    7980    0    -8.2     0.6    11.0    13.8    53.1   175.8
2003 01 18  0214   52657    8040    0    -8.5     1.3    10.8    13.8    51.2   171.5
2003 01 18  0215   52657    8100    0    -8.7     1.2    10.5    13.7    50.3   172.1
2003 01 18  0216   52657    8160    0    -9.5     3.0     9.6    13.8    43.7   162.4
2003 01 18  0217   52657    8220    0   -10.4     2.2     9.1    14.0    40.6   168.2
2003 01 18  0218   52657    8280    0   -11.5     2.0     7.8    14.1    33.7   170.3
2003 01 18  0219   52657    8340    0   -12.7     1.1     6.1    14.2    25.5   175.0
2003 01 18  0220   52657    8400    0   -10.1     3.3     8.5    13.6    38.5   161.7
2003 01 18  0221   52657    8460    0    -8.8     3.9     9.8    13.7    45.5   155.8
2003 01 18  0222   52657    8520    0    -8.8     4.4     9.5    13.7    43.8   153.4
2003 01 18  0223   52657    8580    0   -10.7     4.1     7.8    13.9    34.4   159.2
2003 01 18  0224   52657    8640    0   -11.2     4.2     7.2    14.0    30.9   159.4
2003 01 18  0225   52657    8700    0   -11.1     4.6     7.0    13.9    30.4   157.5
2003 01 18  0226   52657    8760    0   -11.4     4.0     6.7    13.8    29.1   160.8
2003 01 18  0227   52657    8820    0   -11.5     4.5     6.2    13.8    26.8   158.5
2003 01 18  0228   52657    8880    0   -11.0     5.3     6.6    13.9    28.4   154.2
2003 01 18  0229   52657    8940    0   -11.3     6.0     5.9    14.1    24.8   151.9
2003 01 18  0230   52657    9000    0   -11.9     5.4     5.2    14.1    21.4   155.5
2003 01 18  0231   52657    9060    0   -12.6     4.8     4.1    14.1    16.8   159.1
2003 01 18  0232   52657    9120    0   -11.7     5.6     5.1    14.0    21.5   154.3
2003 01 18  0233   52657    9180    0   -10.7     6.8     5.8    14.0    24.6   147.6
2003 01 18  0234   52657    9240    0   -11.1     7.0     4.8    14.0    20.0   147.8
