:Data_list: 20030120_ace_swepam_1m.txt
:Created: 2003 Jan 21 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2003 01 20  0000   52659       0    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0001   52659      60    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0002   52659     120    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0003   52659     180    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0004   52659     240    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0005   52659     300    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0006   52659     360    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0007   52659     420    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0008   52659     480    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0009   52659     540    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0010   52659     600    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0011   52659     660    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0012   52659     720    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0013   52659     780    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0014   52659     840    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0015   52659     900    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0016   52659     960    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0017   52659    1020    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0018   52659    1080    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0019   52659    1140    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0020   52659    1200    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0021   52659    1260    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0022   52659    1320    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0023   52659    1380    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0024   52659    1440    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0025   52659    1500    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0026   52659    1560    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0027   52659    1620    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0028   52659    1680    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0029   52659    1740    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0030   52659    1800    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0031   52659    1860    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0032   52659    1920    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0033   52659    1980    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0034   52659    2040    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0035   52659    2100    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0036   52659    2160    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0037   52659    2220    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0038   52659    2280    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0039   52659    2340    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0040   52659    2400    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0041   52659    2460    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0042   52659    2520    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0043   52659    2580    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0044   52659    2640    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0045   52659    2700    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0046   52659    2760    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0047   52659    2820    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0048   52659    2880    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0049   52659    2940    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0050   52659    3000    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0051   52659    3060    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0052   52659    3120    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0053   52659    3180    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0054   52659    3240    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0055   52659    3300    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0056   52659    3360    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0057   52659    3420    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0058   52659    3480    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0059   52659    3540    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0100   52659    3600    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0101   52659    3660    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0102   52659    3720    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0103   52659    3780    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0104   52659    3840    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0105   52659    3900    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0106   52659    3960    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0107   52659    4020    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0108   52659    4080    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0109   52659    4140    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0110   52659    4200    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0111   52659    4260    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0112   52659    4320    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0113   52659    4380    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0114   52659    4440    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0115   52659    4500    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0116   52659    4560    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0117   52659    4620    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0118   52659    4680    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0119   52659    4740    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0120   52659    4800    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0121   52659    4860    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0122   52659    4920    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0123   52659    4980    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0124   52659    5040    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0125   52659    5100    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0126   52659    5160    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0127   52659    5220    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0128   52659    5280    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0129   52659    5340    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0130   52659    5400    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0131   52659    5460    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0132   52659    5520    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0133   52659    5580    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0134   52659    5640    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0135   52659    5700    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0136   52659    5760    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0137   52659    5820    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0138   52659    5880    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0139   52659    5940    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0140   52659    6000    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0141   52659    6060    9    -9999.9    -9999.9    -1.00e+05
2003 01 20  0142   52659    6120    9    -9999.9    -9999.9    -1.00e+05
