:Data_list: 20030219_ace_sis_5m.txt
:Created: 2003 Feb 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 02 19  0000    52689       0      0    7.96e-01    0    5.68e-01
2003 02 19  0005    52689     300      0    7.88e-01    0    5.52e-01
2003 02 19  0010    52689     600      0    8.05e-01    0    5.74e-01
2003 02 19  0015    52689     900      0    7.82e-01    0    5.52e-01
2003 02 19  0020    52689    1200      0    7.83e-01    0    5.49e-01
2003 02 19  0025    52689    1500      0    7.93e-01    0    5.61e-01
2003 02 19  0030    52689    1800      0    8.14e-01    0    5.78e-01
2003 02 19  0035    52689    2100      0    8.03e-01    0    5.62e-01
2003 02 19  0040    52689    2400      0    8.01e-01    0    5.73e-01
2003 02 19  0045    52689    2700      0    7.83e-01    0    5.54e-01
2003 02 19  0050    52689    3000      0    7.80e-01    0    5.55e-01
2003 02 19  0055    52689    3300      0    7.90e-01    0    5.58e-01
2003 02 19  0100    52689    3600      0    7.82e-01    0    5.51e-01
2003 02 19  0105    52689    3900      0    8.02e-01    0    5.66e-01
2003 02 19  0110    52689    4200      0    7.94e-01    0    5.52e-01
2003 02 19  0115    52689    4500      0    8.09e-01    0    5.69e-01
2003 02 19  0120    52689    4800      0    7.81e-01    0    5.43e-01
2003 02 19  0125    52689    5100      0    8.01e-01    0    5.71e-01
2003 02 19  0130    52689    5400      0    7.92e-01    0    5.54e-01
2003 02 19  0135    52689    5700      0    7.73e-01    0    5.40e-01
2003 02 19  0140    52689    6000      0    7.89e-01    0    5.55e-01
2003 02 19  0145    52689    6300      0    7.82e-01    0    5.51e-01
2003 02 19  0150    52689    6600      0    7.88e-01    0    5.53e-01
2003 02 19  0155    52689    6900      0    7.80e-01    0    5.46e-01
2003 02 19  0200    52689    7200      0    7.82e-01    0    5.49e-01
2003 02 19  0205    52689    7500      0    7.90e-01    0    5.57e-01
2003 02 19  0210    52689    7800      0    7.94e-01    0    5.55e-01
2003 02 19  0215    52689    8100      0    7.96e-01    0    5.60e-01
2003 02 19  0220    52689    8400      0    7.90e-01    0    5.62e-01
2003 02 19  0225    52689    8700      0    7.97e-01    0    5.57e-01
2003 02 19  0230    52689    9000      0    8.09e-01    0    5.69e-01
2003 02 19  0235    52689    9300      0    8.08e-01    0    5.68e-01
2003 02 19  0240    52689    9600      0    8.06e-01    0    5.63e-01
2003 02 19  0245    52689    9900      0    8.00e-01    0    5.53e-01
2003 02 19  0250    52689   10200      0    7.83e-01    0    5.51e-01
2003 02 19  0255    52689   10500      0    7.90e-01    0    5.57e-01
2003 02 19  0300    52689   10800      0    7.79e-01    0    5.41e-01
2003 02 19  0305    52689   11100      0    7.77e-01    0    5.46e-01
2003 02 19  0310    52689   11400      0    7.91e-01    0    5.48e-01
2003 02 19  0315    52689   11700      0    8.03e-01    0    5.65e-01
2003 02 19  0320    52689   12000      0    8.22e-01    0    5.78e-01
2003 02 19  0325    52689   12300      0    8.01e-01    0    5.64e-01
2003 02 19  0330    52689   12600      0    8.26e-01    0    5.74e-01
2003 02 19  0335    52689   12900      0    8.08e-01    0    5.63e-01
2003 02 19  0340    52689   13200      0    7.94e-01    0    5.61e-01
2003 02 19  0345    52689   13500      0    7.96e-01    0    5.54e-01
2003 02 19  0350    52689   13800      0    7.89e-01    0    5.51e-01
2003 02 19  0355    52689   14100      0    7.86e-01    0    5.55e-01
2003 02 19  0400    52689   14400      0    7.93e-01    0    5.60e-01
2003 02 19  0405    52689   14700      0    7.90e-01    0    5.64e-01
2003 02 19  0410    52689   15000      0    7.94e-01    0    5.58e-01
2003 02 19  0415    52689   15300      0    8.07e-01    0    5.66e-01
2003 02 19  0420    52689   15600      0    8.33e-01    0    5.84e-01
2003 02 19  0425    52689   15900      0    8.18e-01    0    5.75e-01
2003 02 19  0430    52689   16200      0    8.00e-01    0    5.64e-01
2003 02 19  0435    52689   16500      0    8.06e-01    0    5.60e-01
2003 02 19  0440    52689   16800      0    8.08e-01    0    5.72e-01
2003 02 19  0445    52689   17100      0    8.09e-01    0    5.67e-01
2003 02 19  0450    52689   17400      0    8.05e-01    0    5.65e-01
2003 02 19  0455    52689   17700      0    8.11e-01    0    5.71e-01
2003 02 19  0500    52689   18000      0    7.99e-01    0    5.68e-01
2003 02 19  0505    52689   18300      0    7.92e-01    0    5.61e-01
