:Data_list: 20030220_ace_mag_1m.txt
:Created: 2003 Feb 21 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 02 20  0000   52690       0    0    -3.3     7.4    -3.0     8.7   -20.4   113.8
2003 02 20  0001   52690      60    0    -4.0     7.1    -3.4     8.8   -22.6   119.4
2003 02 20  0002   52690     120    0    -4.0     6.6    -4.4     8.9   -29.6   121.2
2003 02 20  0003   52690     180    0    -4.2     7.1    -3.2     8.8   -21.5   120.8
2003 02 20  0004   52690     240    0    -4.8     7.0    -3.6     9.2   -23.2   124.3
2003 02 20  0005   52690     300    0    -4.2     7.8    -2.1     9.1   -13.7   118.5
2003 02 20  0006   52690     360    0    -4.1     7.9    -2.1     9.1   -13.6   117.5
2003 02 20  0007   52690     420    0    -4.0     7.9    -1.9     9.0   -11.9   116.6
2003 02 20  0008   52690     480    0    -4.2     7.9    -1.8     9.1   -11.5   117.8
2003 02 20  0009   52690     540    0    -4.1     7.9    -2.3     9.2   -14.4   117.6
2003 02 20  0010   52690     600    0    -3.8     7.9    -2.1     9.1   -13.4   115.8
2003 02 20  0011   52690     660    0    -4.5     7.4    -3.0     9.2   -19.2   121.0
2003 02 20  0012   52690     720    0    -5.3     7.5    -2.1     9.4   -12.6   125.4
2003 02 20  0013   52690     780    0    -4.8     7.9    -1.1     9.3    -7.1   121.1
2003 02 20  0014   52690     840    0    -6.1     7.3    -2.1     9.7   -12.6   129.9
2003 02 20  0015   52690     900    0    -6.3     7.2    -2.2     9.8   -12.8   131.2
