:Data_list: 20030425_ace_swepam_1m.txt
:Created: 2003 Apr 26 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2003 04 25  0000   52754       0    0        3.2      570.0     2.42e+05
2003 04 25  0001   52754      60    1        2.5      574.5     3.95e+05
2003 04 25  0002   52754     120    1        3.8      565.8     3.42e+05
2003 04 25  0003   52754     180    0        2.8      565.4     3.91e+05
2003 04 25  0004   52754     240    1        2.9      567.5     4.20e+05
2003 04 25  0005   52754     300    0        3.7      564.2     3.40e+05
2003 04 25  0006   52754     360    1        3.3      562.8     3.85e+05
2003 04 25  0007   52754     420    1        3.3      562.8     3.85e+05
2003 04 25  0008   52754     480    0        2.8      582.0     3.64e+05
2003 04 25  0009   52754     540    0        2.9      576.0     2.67e+05
2003 04 25  0010   52754     600    0        2.8      588.0     3.10e+05
2003 04 25  0011   52754     660    9    -9999.9    -9999.9    -1.00e+05
2003 04 25  0012   52754     720    1        2.7      583.2     3.16e+05
2003 04 25  0013   52754     780    0        3.1      583.9     3.69e+05
2003 04 25  0014   52754     840    0        3.1      580.4     3.26e+05
2003 04 25  0015   52754     900    0        2.8      579.0     2.74e+05
2003 04 25  0016   52754     960    0        3.2      578.5     3.18e+05
2003 04 25  0017   52754    1020    0        3.3      561.7     3.02e+05
2003 04 25  0018   52754    1080    0        3.2      572.9     3.65e+05
2003 04 25  0019   52754    1140    0        3.7      579.5     3.06e+05
2003 04 25  0020   52754    1200    0        3.6      585.2     2.10e+05
2003 04 25  0021   52754    1260    0        2.6      582.5     2.97e+05
2003 04 25  0022   52754    1320    0        4.0      593.8     2.82e+05
2003 04 25  0023   52754    1380    0        4.0      593.8     2.82e+05
2003 04 25  0024   52754    1440    0        3.3      589.4     2.61e+05
2003 04 25  0025   52754    1500    0        3.8      590.0     2.26e+05
2003 04 25  0026   52754    1560    0        2.7      590.8     2.61e+05
2003 04 25  0027   52754    1620    0        2.7      595.6     2.28e+05
2003 04 25  0028   52754    1680    0        3.8      623.0     3.08e+05
2003 04 25  0029   52754    1740    1        3.6      583.0     2.67e+05
2003 04 25  0030   52754    1800    0        3.1      597.6     2.48e+05
2003 04 25  0031   52754    1860    0        2.4      619.8     2.17e+05
2003 04 25  0032   52754    1920    0        3.5      614.8     2.86e+05
2003 04 25  0033   52754    1980    0        4.0      619.6     2.65e+05
2003 04 25  0034   52754    2040    0        2.3      643.0     2.75e+05
2003 04 25  0035   52754    2100    0        1.6      616.1     2.29e+05
2003 04 25  0036   52754    2160    0        2.6      627.9     2.82e+05
2003 04 25  0037   52754    2220    0        2.5      602.1     2.62e+05
2003 04 25  0038   52754    2280    0        2.8      612.9     2.30e+05
2003 04 25  0039   52754    2340    0        2.8      612.9     2.30e+05
2003 04 25  0040   52754    2400    0        3.5      573.1     2.89e+05
2003 04 25  0041   52754    2460    0        3.5      565.0     3.21e+05
2003 04 25  0042   52754    2520    1        3.6      557.6     3.68e+05
2003 04 25  0043   52754    2580    1        3.4      555.4     3.70e+05
2003 04 25  0044   52754    2640    1    -9999.9    -9999.9    -1.00e+05
2003 04 25  0045   52754    2700    0        3.8      588.3     2.26e+05
2003 04 25  0046   52754    2760    0        3.8      576.6     2.62e+05
2003 04 25  0047   52754    2820    0        3.1      582.8     3.60e+05
2003 04 25  0048   52754    2880    0        2.9      584.6     2.83e+05
2003 04 25  0049   52754    2940    0        2.7      576.1     3.25e+05
2003 04 25  0050   52754    3000    0        4.0      581.0     2.49e+05
2003 04 25  0051   52754    3060    0        3.5      596.5     2.82e+05
2003 04 25  0052   52754    3120    0        3.9      592.8     2.32e+05
2003 04 25  0053   52754    3180    0        4.1      578.0     2.41e+05
2003 04 25  0054   52754    3240    0        4.2      576.6     2.31e+05
2003 04 25  0055   52754    3300    0        4.2      576.6     2.31e+05
2003 04 25  0056   52754    3360    0        4.0      569.0     2.94e+05
2003 04 25  0057   52754    3420    0        4.2      566.5     2.32e+05
2003 04 25  0058   52754    3480    1        3.4      556.6     3.82e+05
2003 04 25  0059   52754    3540    0        2.2      574.2     2.16e+05
2003 04 25  0100   52754    3600    1        0.1      466.3     3.69e+04
2003 04 25  0101   52754    3660    0        3.7      611.8     2.61e+05
