:Data_list: 20030522_ace_sis_5m.txt
:Created: 2003 May 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 05 22  0000    52781       0      0    8.48e-01    0    6.00e-01
2003 05 22  0005    52781     300      0    8.50e-01    0    5.98e-01
2003 05 22  0010    52781     600      0    8.58e-01    0    6.08e-01
2003 05 22  0015    52781     900      0    8.49e-01    0    5.98e-01
2003 05 22  0020    52781    1200      0    8.34e-01    0    5.78e-01
2003 05 22  0025    52781    1500      0    8.51e-01    0    6.03e-01
2003 05 22  0030    52781    1800      0    8.43e-01    0    5.98e-01
2003 05 22  0035    52781    2100      0    8.39e-01    0    5.91e-01
2003 05 22  0040    52781    2400      0    8.48e-01    0    5.90e-01
2003 05 22  0045    52781    2700      0    8.49e-01    0    5.96e-01
2003 05 22  0050    52781    3000      0    8.68e-01    0    6.19e-01
2003 05 22  0055    52781    3300      0    8.69e-01    0    6.08e-01
2003 05 22  0100    52781    3600      0    8.42e-01    0    5.87e-01
2003 05 22  0105    52781    3900      0    8.42e-01    0    5.96e-01
2003 05 22  0110    52781    4200      0    8.56e-01    0    5.97e-01
2003 05 22  0115    52781    4500      0    8.48e-01    0    5.98e-01
2003 05 22  0120    52781    4800      0    8.57e-01    0    6.11e-01
2003 05 22  0125    52781    5100      0    8.44e-01    0    5.88e-01
2003 05 22  0130    52781    5400      0    8.40e-01    0    5.97e-01
2003 05 22  0135    52781    5700      0    8.16e-01    0    5.69e-01
2003 05 22  0140    52781    6000      0    8.65e-01    0    6.09e-01
2003 05 22  0145    52781    6300      0    8.50e-01    0    6.02e-01
2003 05 22  0150    52781    6600      0    8.48e-01    0    6.00e-01
2003 05 22  0155    52781    6900      0    8.23e-01    0    5.84e-01
2003 05 22  0200    52781    7200      0    8.76e-01    0    6.14e-01
2003 05 22  0205    52781    7500      0    8.46e-01    0    5.96e-01
2003 05 22  0210    52781    7800      0    8.42e-01    0    5.84e-01
2003 05 22  0215    52781    8100      0    8.38e-01    0    5.91e-01
2003 05 22  0220    52781    8400      0    8.49e-01    0    5.97e-01
2003 05 22  0225    52781    8700      0    8.47e-01    0    5.98e-01
2003 05 22  0230    52781    9000      0    8.51e-01    0    6.01e-01
2003 05 22  0235    52781    9300      0    8.32e-01    0    5.86e-01
2003 05 22  0240    52781    9600      0    8.36e-01    0    5.87e-01
2003 05 22  0245    52781    9900      0    8.62e-01    0    6.11e-01
2003 05 22  0250    52781   10200      9   -1.00e+05    9   -1.00e+05
2003 05 22  0255    52781   10500      0    8.63e-01    0    6.09e-01
2003 05 22  0300    52781   10800      0    8.45e-01    0    5.98e-01
2003 05 22  0305    52781   11100      0    8.50e-01    0    6.02e-01
2003 05 22  0310    52781   11400      0    8.38e-01    0    5.91e-01
2003 05 22  0315    52781   11700      0    8.56e-01    0    6.07e-01
2003 05 22  0320    52781   12000      0    8.47e-01    0    5.92e-01
2003 05 22  0325    52781   12300      0    8.45e-01    0    5.94e-01
2003 05 22  0330    52781   12600      0    8.60e-01    0    6.11e-01
2003 05 22  0335    52781   12900      0    8.39e-01    0    5.84e-01
2003 05 22  0340    52781   13200      0    8.54e-01    0    6.00e-01
2003 05 22  0345    52781   13500      0    8.14e-01    0    5.63e-01
2003 05 22  0350    52781   13800      0    8.36e-01    0    5.89e-01
2003 05 22  0355    52781   14100      0    8.39e-01    0    5.92e-01
2003 05 22  0400    52781   14400      0    8.34e-01    0    5.89e-01
2003 05 22  0405    52781   14700      0    8.30e-01    0    5.88e-01
2003 05 22  0410    52781   15000      0    8.34e-01    0    5.81e-01
2003 05 22  0415    52781   15300      0    8.62e-01    0    6.12e-01
2003 05 22  0420    52781   15600      0    8.59e-01    0    6.07e-01
2003 05 22  0425    52781   15900      0    8.48e-01    0    5.97e-01
2003 05 22  0430    52781   16200      0    8.41e-01    0    5.92e-01
2003 05 22  0435    52781   16500      0    8.39e-01    0    6.01e-01
