:Data_list: 20030614_ace_sis_5m.txt
:Created: 2003 Jun 15 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 06 14  0000    52804       0      0    7.94e-01    0    5.53e-01
2003 06 14  0005    52804     300      0    8.28e-01    0    5.75e-01
2003 06 14  0010    52804     600      0    8.32e-01    0    5.84e-01
2003 06 14  0015    52804     900      0    8.03e-01    0    5.66e-01
2003 06 14  0020    52804    1200      0    7.92e-01    0    5.53e-01
2003 06 14  0025    52804    1500      0    7.90e-01    0    5.56e-01
2003 06 14  0030    52804    1800      0    7.98e-01    0    5.63e-01
2003 06 14  0035    52804    2100      0    7.79e-01    0    5.54e-01
2003 06 14  0040    52804    2400      0    7.91e-01    0    5.54e-01
2003 06 14  0045    52804    2700      0    7.89e-01    0    5.51e-01
2003 06 14  0050    52804    3000      0    7.94e-01    0    5.57e-01
2003 06 14  0055    52804    3300      0    7.92e-01    0    5.59e-01
2003 06 14  0100    52804    3600      0    7.94e-01    0    5.62e-01
2003 06 14  0105    52804    3900      0    8.02e-01    0    5.59e-01
2003 06 14  0110    52804    4200      0    7.98e-01    0    5.54e-01
2003 06 14  0115    52804    4500      0    7.98e-01    0    5.61e-01
2003 06 14  0120    52804    4800      0    7.79e-01    0    5.46e-01
2003 06 14  0125    52804    5100      0    7.86e-01    0    5.53e-01
2003 06 14  0130    52804    5400      0    8.09e-01    0    5.69e-01
2003 06 14  0135    52804    5700      0    7.92e-01    0    5.49e-01
2003 06 14  0140    52804    6000      0    8.00e-01    0    5.57e-01
2003 06 14  0145    52804    6300      0    8.06e-01    0    5.67e-01
2003 06 14  0150    52804    6600      0    7.81e-01    0    5.38e-01
2003 06 14  0155    52804    6900      0    8.24e-01    0    5.79e-01
2003 06 14  0200    52804    7200      0    8.21e-01    0    5.79e-01
2003 06 14  0205    52804    7500      0    7.88e-01    0    5.54e-01
2003 06 14  0210    52804    7800      0    8.14e-01    0    5.77e-01
2003 06 14  0215    52804    8100      0    8.05e-01    0    5.62e-01
2003 06 14  0220    52804    8400      0    8.06e-01    0    5.69e-01
2003 06 14  0225    52804    8700      0    8.01e-01    0    5.49e-01
2003 06 14  0230    52804    9000      0    7.93e-01    0    5.62e-01
2003 06 14  0235    52804    9300      0    7.87e-01    0    5.58e-01
2003 06 14  0240    52804    9600      0    7.77e-01    0    5.44e-01
2003 06 14  0245    52804    9900      0    8.05e-01    0    5.63e-01
2003 06 14  0250    52804   10200      0    7.98e-01    0    5.61e-01
2003 06 14  0255    52804   10500      0    8.11e-01    0    5.69e-01
2003 06 14  0300    52804   10800      0    7.90e-01    0    5.58e-01
2003 06 14  0305    52804   11100      0    7.79e-01    0    5.43e-01
2003 06 14  0310    52804   11400      0    7.97e-01    0    5.64e-01
2003 06 14  0315    52804   11700      0    8.14e-01    0    5.72e-01
2003 06 14  0320    52804   12000      0    7.86e-01    0    5.58e-01
2003 06 14  0325    52804   12300      0    7.80e-01    0    5.52e-01
2003 06 14  0330    52804   12600      0    7.77e-01    0    5.48e-01
2003 06 14  0335    52804   12900      0    7.92e-01    0    5.59e-01
2003 06 14  0340    52804   13200      0    7.71e-01    0    5.41e-01
2003 06 14  0345    52804   13500      0    8.28e-01    0    5.84e-01
2003 06 14  0350    52804   13800      0    7.96e-01    0    5.61e-01
2003 06 14  0355    52804   14100      0    8.06e-01    0    5.66e-01
2003 06 14  0400    52804   14400      0    7.92e-01    0    5.54e-01
2003 06 14  0405    52804   14700      0    8.19e-01    0    5.80e-01
2003 06 14  0410    52804   15000      0    8.16e-01    0    5.74e-01
2003 06 14  0415    52804   15300      0    7.98e-01    0    5.55e-01
2003 06 14  0420    52804   15600      0    7.82e-01    0    5.52e-01
2003 06 14  0425    52804   15900      0    7.99e-01    0    5.64e-01
2003 06 14  0430    52804   16200      0    7.98e-01    0    5.67e-01
2003 06 14  0435    52804   16500      0    8.01e-01    0    5.57e-01
2003 06 14  0440    52804   16800      0    7.94e-01    0    5.50e-01
2003 06 14  0445    52804   17100      0    7.75e-01    0    5.40e-01
2003 06 14  0450    52804   17400      0    8.20e-01    0    5.87e-01
2003 06 14  0455    52804   17700      0    7.93e-01    0    5.59e-01
2003 06 14  0500    52804   18000      0    8.03e-01    0    5.64e-01
2003 06 14  0505    52804   18300      0    7.97e-01    0    5.54e-01
2003 06 14  0510    52804   18600      0    7.96e-01    0    5.65e-01
2003 06 14  0515    52804   18900      0    7.79e-01    0    5.42e-01
2003 06 14  0520    52804   19200      0    8.12e-01    0    5.71e-01
2003 06 14  0525    52804   19500      0    7.93e-01    0    5.56e-01
2003 06 14  0530    52804   19800      0    7.62e-01    0    5.31e-01
2003 06 14  0535    52804   20100      0    8.04e-01    0    5.67e-01
2003 06 14  0540    52804   20400      0    7.78e-01    0    5.48e-01
2003 06 14  0545    52804   20700      0    8.01e-01    0    5.59e-01
2003 06 14  0550    52804   21000      0    8.02e-01    0    5.62e-01
2003 06 14  0555    52804   21300      0    7.90e-01    0    5.52e-01
2003 06 14  0600    52804   21600      0    8.01e-01    0    5.66e-01
2003 06 14  0605    52804   21900      0    8.16e-01    0    5.77e-01
2003 06 14  0610    52804   22200      0    7.79e-01    0    5.51e-01
2003 06 14  0615    52804   22500      0    7.99e-01    0    5.62e-01
2003 06 14  0620    52804   22800      0    8.06e-01    0    5.67e-01
2003 06 14  0625    52804   23100      0    8.06e-01    0    5.68e-01
2003 06 14  0630    52804   23400      0    8.02e-01    0    5.65e-01
2003 06 14  0635    52804   23700      0    7.91e-01    0    5.60e-01
2003 06 14  0640    52804   24000      0    8.02e-01    0    5.62e-01
2003 06 14  0645    52804   24300      0    7.95e-01    0    5.68e-01
2003 06 14  0650    52804   24600      0    7.97e-01    0    5.52e-01
2003 06 14  0655    52804   24900      0    8.00e-01    0    5.66e-01
2003 06 14  0700    52804   25200      0    8.12e-01    0    5.69e-01
2003 06 14  0705    52804   25500      0    7.98e-01    0    5.60e-01
2003 06 14  0710    52804   25800      0    7.98e-01    0    5.60e-01
2003 06 14  0715    52804   26100      0    7.92e-01    0    5.59e-01
2003 06 14  0720    52804   26400      0    7.94e-01    0    5.61e-01
2003 06 14  0725    52804   26700      0    8.10e-01    0    5.72e-01
2003 06 14  0730    52804   27000      0    7.86e-01    0    5.52e-01
2003 06 14  0735    52804   27300      0    8.00e-01    0    5.68e-01
2003 06 14  0740    52804   27600      0    8.00e-01    0    5.59e-01
2003 06 14  0745    52804   27900      0    8.22e-01    0    5.78e-01
2003 06 14  0750    52804   28200      0    8.07e-01    0    5.65e-01
2003 06 14  0755    52804   28500      0    7.97e-01    0    5.58e-01
2003 06 14  0800    52804   28800      0    8.06e-01    0    5.69e-01
2003 06 14  0805    52804   29100      0    7.95e-01    0    5.56e-01
2003 06 14  0810    52804   29400      0    7.91e-01    0    5.58e-01
2003 06 14  0815    52804   29700      0    7.99e-01    0    5.57e-01
2003 06 14  0820    52804   30000      0    7.89e-01    0    5.57e-01
2003 06 14  0825    52804   30300      0    7.92e-01    0    5.60e-01
2003 06 14  0830    52804   30600      0    7.83e-01    0    5.49e-01
2003 06 14  0835    52804   30900      0    7.93e-01    0    5.60e-01
2003 06 14  0840    52804   31200      0    8.16e-01    0    5.77e-01
2003 06 14  0845    52804   31500      0    8.10e-01    0    5.72e-01
2003 06 14  0850    52804   31800      0    7.93e-01    0    5.53e-01
2003 06 14  0855    52804   32100      0    7.90e-01    0    5.58e-01
2003 06 14  0900    52804   32400      0    7.80e-01    0    5.50e-01
