:Data_list: 20030618_ace_mag_1m.txt
:Created: 2003 Jun 19 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 06 18  0000   52808       0    0    -0.6   -11.6     1.4    11.7     6.8   267.0
2003 06 18  0001   52808      60    0    -0.6   -11.6     1.4    11.7     6.9   267.1
2003 06 18  0002   52808     120    0    -0.6   -11.6     0.9    11.6     4.6   267.0
2003 06 18  0003   52808     180    0    -0.8   -11.6     0.6    11.6     3.0   265.8
2003 06 18  0004   52808     240    0    -1.1   -11.6     0.1    11.7     0.5   264.5
2003 06 18  0005   52808     300    0    -1.5   -11.6     0.3    11.7     1.4   262.5
2003 06 18  0006   52808     360    0    -0.9   -11.6    -0.8    11.7    -3.9   265.6
2003 06 18  0007   52808     420    0    -0.9   -11.6    -1.5    11.7    -7.4   265.7
2003 06 18  0008   52808     480    0    -0.5   -11.6    -1.7    11.7    -8.6   267.7
2003 06 18  0009   52808     540    0    -0.4   -11.5    -1.8    11.7    -8.8   267.9
2003 06 18  0010   52808     600    0    -1.4   -11.3     0.3    11.4     1.6   263.1
2003 06 18  0011   52808     660    0    -1.5   -11.2     1.2    11.3     6.2   262.5
2003 06 18  0012   52808     720    0     0.2   -11.4     0.9    11.4     4.7   270.9
2003 06 18  0013   52808     780    0    -0.0   -11.2     1.8    11.4     8.9   269.9
2003 06 18  0014   52808     840    0     0.1   -10.9     1.7    11.0     9.0   270.8
2003 06 18  0015   52808     900    0     0.5   -10.6     1.5    10.7     7.9   272.7
2003 06 18  0016   52808     960    0    -2.3    -9.3     4.5    10.6    25.1   256.4
2003 06 18  0017   52808    1020    0    -0.4    -9.6    -0.5     9.6    -3.0   267.8
2003 06 18  0018   52808    1080    0    -1.1   -10.5    -0.6    10.6    -3.4   264.0
2003 06 18  0019   52808    1140    0    -0.7   -10.5    -1.8    10.7    -9.7   266.0
2003 06 18  0020   52808    1200    0    -0.9   -10.3    -2.4    10.6   -13.0   264.9
2003 06 18  0021   52808    1260    0    -1.2   -10.6    -0.4    10.6    -2.0   263.7
2003 06 18  0022   52808    1320    0    -1.3   -10.6    -0.7    10.7    -3.6   262.9
2003 06 18  0023   52808    1380    0    -1.8   -10.2     1.9    10.5    10.6   259.7
2003 06 18  0024   52808    1440    0    -2.5    -9.8     2.9    10.5    15.9   255.4
2003 06 18  0025   52808    1500    0    -2.7    -9.5     3.0    10.3    16.7   254.2
2003 06 18  0026   52808    1560    0    -2.2   -10.0     1.5    10.4     8.4   257.4
