:Data_list: 20030630_ace_sis_5m.txt
:Created: 2003 Jul 01 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 06 30  0000    52820       0      0    7.90e-01    0    5.64e-01
2003 06 30  0005    52820     300      0    7.73e-01    0    5.46e-01
2003 06 30  0010    52820     600      0    7.35e-01    0    5.26e-01
2003 06 30  0015    52820     900      0    7.64e-01    0    5.45e-01
2003 06 30  0020    52820    1200      0    7.58e-01    0    5.33e-01
2003 06 30  0025    52820    1500      0    7.84e-01    0    5.54e-01
2003 06 30  0030    52820    1800      0    7.64e-01    0    5.34e-01
2003 06 30  0035    52820    2100      0    7.57e-01    0    5.32e-01
2003 06 30  0040    52820    2400      0    7.73e-01    0    5.44e-01
2003 06 30  0045    52820    2700      0    7.61e-01    0    5.39e-01
2003 06 30  0050    52820    3000      0    7.60e-01    0    5.34e-01
2003 06 30  0055    52820    3300      0    7.68e-01    0    5.43e-01
2003 06 30  0100    52820    3600      0    7.82e-01    0    5.51e-01
2003 06 30  0105    52820    3900      0    7.60e-01    0    5.41e-01
2003 06 30  0110    52820    4200      0    7.46e-01    0    5.27e-01
2003 06 30  0115    52820    4500      0    7.49e-01    0    5.33e-01
2003 06 30  0120    52820    4800      0    7.67e-01    0    5.38e-01
2003 06 30  0125    52820    5100      0    7.66e-01    0    5.41e-01
2003 06 30  0130    52820    5400      0    7.63e-01    0    5.42e-01
2003 06 30  0135    52820    5700      0    7.73e-01    0    5.42e-01
2003 06 30  0140    52820    6000      0    7.52e-01    0    5.32e-01
