:Data_list: 20030725_ace_mag_1m.txt
:Created: 2003 Jul 26 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 07 25  0000   52845       0    0     6.2    -3.8    -1.7     7.5   -12.8   328.8
2003 07 25  0001   52845      60    0     6.2    -3.8    -1.7     7.5   -13.1   328.6
2003 07 25  0002   52845     120    0     6.2    -3.7    -1.6     7.4   -12.6   329.1
2003 07 25  0003   52845     180    0     6.2    -3.6    -1.6     7.3   -12.3   329.9
2003 07 25  0004   52845     240    0     6.3    -3.5    -1.6     7.4   -12.8   330.8
2003 07 25  0005   52845     300    0     6.3    -3.6    -1.7     7.5   -13.5   330.6
2003 07 25  0006   52845     360    0     6.3    -3.7    -1.7     7.5   -13.2   329.4
2003 07 25  0007   52845     420    0     6.3    -3.7    -1.7     7.5   -12.9   329.6
2003 07 25  0008   52845     480    0     6.2    -3.6    -1.8     7.4   -14.0   329.6
2003 07 25  0009   52845     540    0     6.1    -3.6    -1.6     7.2   -13.1   329.8
2003 07 25  0010   52845     600    0     6.3    -3.6    -1.3     7.4   -10.5   330.7
2003 07 25  0011   52845     660    0     6.3    -3.6    -1.4     7.4   -10.6   330.2
2003 07 25  0012   52845     720    0     6.2    -3.6    -1.3     7.3   -10.4   330.0
2003 07 25  0013   52845     780    0     6.2    -3.6    -1.4     7.3   -10.9   330.1
2003 07 25  0014   52845     840    0     6.3    -3.5    -1.4     7.3   -10.8   330.6
2003 07 25  0015   52845     900    0     6.3    -3.6    -1.4     7.4   -10.6   330.5
2003 07 25  0016   52845     960    0     6.3    -3.5    -1.3     7.3    -9.9   330.7
2003 07 25  0017   52845    1020    0     6.3    -3.5    -1.3     7.3   -10.0   330.5
2003 07 25  0018   52845    1080    0     6.4    -3.5    -1.1     7.4    -9.0   331.4
2003 07 25  0019   52845    1140    0     6.6    -3.5    -0.9     7.5    -6.8   332.2
2003 07 25  0020   52845    1200    0     6.6    -3.6    -1.0     7.6    -7.6   331.4
2003 07 25  0021   52845    1260    0     6.6    -3.6    -1.0     7.6    -7.4   331.3
2003 07 25  0022   52845    1320    0     6.7    -3.6    -0.9     7.6    -6.7   331.5
2003 07 25  0023   52845    1380    0     6.6    -3.6    -0.9     7.6    -6.5   331.6
2003 07 25  0024   52845    1440    0     6.6    -3.5    -0.7     7.5    -5.7   332.5
2003 07 25  0025   52845    1500    0     6.6    -3.4    -0.6     7.4    -4.8   332.9
2003 07 25  0026   52845    1560    0     6.5    -3.3    -0.5     7.3    -3.9   333.0
2003 07 25  0027   52845    1620    0     6.5    -3.3    -0.5     7.3    -3.7   332.9
2003 07 25  0028   52845    1680    0     6.5    -3.3    -0.4     7.3    -3.2   333.2
2003 07 25  0029   52845    1740    0     6.5    -3.3    -0.5     7.3    -3.8   333.3
2003 07 25  0030   52845    1800    0     6.3    -3.7    -1.0     7.4    -7.5   329.7
2003 07 25  0031   52845    1860    0     6.2    -3.9    -1.2     7.5    -9.6   327.7
2003 07 25  0032   52845    1920    0     6.0    -4.0    -1.4     7.3   -11.0   326.5
2003 07 25  0033   52845    1980    0     6.1    -4.1    -1.5     7.5   -11.9   325.7
2003 07 25  0034   52845    2040    0     6.1    -3.9    -1.0     7.3    -8.1   327.6
2003 07 25  0035   52845    2100    0     6.2    -3.9    -1.0     7.4    -7.5   328.0
2003 07 25  0036   52845    2160    0     6.3    -3.6    -0.5     7.3    -3.8   330.0
2003 07 25  0037   52845    2220    0     6.0    -3.9    -1.4     7.3   -11.0   327.0
2003 07 25  0038   52845    2280    0     6.0    -4.0    -1.5     7.3   -11.9   326.1
2003 07 25  0039   52845    2340    0     6.0    -4.0    -1.5     7.4   -11.8   326.2
2003 07 25  0040   52845    2400    0     6.0    -4.0    -1.5     7.3   -11.5   326.2
2003 07 25  0041   52845    2460    0     6.1    -4.0    -1.4     7.4   -10.6   326.3
2003 07 25  0042   52845    2520    0     6.0    -3.9    -1.1     7.2    -8.8   326.6
2003 07 25  0043   52845    2580    0     6.0    -4.0    -0.9     7.3    -7.5   326.6
2003 07 25  0044   52845    2640    0     6.1    -4.0    -0.9     7.4    -6.7   327.0
2003 07 25  0045   52845    2700    0     6.3    -4.0    -0.9     7.5    -6.5   327.6
2003 07 25  0046   52845    2760    0     6.4    -3.9    -0.8     7.5    -6.3   328.4
2003 07 25  0047   52845    2820    0     6.4    -3.9    -0.9     7.5    -6.7   328.6
2003 07 25  0048   52845    2880    0     6.5    -3.8    -0.7     7.5    -5.2   329.3
2003 07 25  0049   52845    2940    0     6.6    -3.7    -0.5     7.5    -3.7   330.5
2003 07 25  0050   52845    3000    0     6.6    -3.6    -0.3     7.6    -2.4   331.2
2003 07 25  0051   52845    3060    0     6.6    -3.5    -0.3     7.5    -2.6   331.9
2003 07 25  0052   52845    3120    0     6.6    -3.5    -0.3     7.5    -2.6   331.9
2003 07 25  0053   52845    3180    0     6.6    -3.5    -0.3     7.5    -2.6   332.1
2003 07 25  0054   52845    3240    0     6.6    -3.5    -0.4     7.5    -2.7   332.2
2003 07 25  0055   52845    3300    0     6.6    -3.5    -0.4     7.5    -3.3   331.9
2003 07 25  0056   52845    3360    0     6.6    -3.5    -0.4     7.5    -2.7   332.0
2003 07 25  0057   52845    3420    0     6.6    -3.5    -0.3     7.5    -2.5   332.1
2003 07 25  0058   52845    3480    0     6.6    -3.4    -0.3     7.5    -2.1   332.9
