:Data_list: 20030807_ace_swepam_1m.txt
:Created: 2003 Aug 08 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2003 08 07  0000   52858       0    0        4.2      469.1     1.94e+05
2003 08 07  0001   52858      60    1        4.1      466.3     2.07e+05
2003 08 07  0002   52858     120    1        4.1      476.3     2.28e+05
2003 08 07  0003   52858     180    1        4.3      468.4     1.96e+05
2003 08 07  0004   52858     240    1        4.1      468.2     2.11e+05
2003 08 07  0005   52858     300    0        4.2      472.2     1.96e+05
2003 08 07  0006   52858     360    1        4.4      468.9     2.04e+05
2003 08 07  0007   52858     420    1        4.4      472.8     2.05e+05
2003 08 07  0008   52858     480    1    -9999.9    -9999.9    -1.00e+05
2003 08 07  0009   52858     540    1        4.2      482.6     2.26e+05
2003 08 07  0010   52858     600    1        4.2      482.6     2.26e+05
2003 08 07  0011   52858     660    1        4.2      476.3     2.07e+05
2003 08 07  0012   52858     720    0        3.9      479.6     2.26e+05
2003 08 07  0013   52858     780    0        3.9      468.4     1.93e+05
2003 08 07  0014   52858     840    1        4.2      470.1     2.02e+05
2003 08 07  0015   52858     900    1        3.9      462.3     2.14e+05
2003 08 07  0016   52858     960    0        3.7      462.5     2.13e+05
2003 08 07  0017   52858    1020    1        4.0      463.6     2.08e+05
2003 08 07  0018   52858    1080    1        3.9      468.2     2.02e+05
2003 08 07  0019   52858    1140    1        4.2      478.0     2.00e+05
2003 08 07  0020   52858    1200    1        4.0      474.6     2.13e+05
2003 08 07  0021   52858    1260    1        4.1      479.4     2.06e+05
2003 08 07  0022   52858    1320    1        2.9      484.5     2.29e+05
2003 08 07  0023   52858    1380    1        3.9      471.1     2.02e+05
2003 08 07  0024   52858    1440    1        4.4      469.8     2.11e+05
2003 08 07  0025   52858    1500    1        4.3      468.1     1.92e+05
2003 08 07  0026   52858    1560    1        4.3      466.4     1.74e+05
2003 08 07  0027   52858    1620    1        3.9      467.9     2.11e+05
2003 08 07  0028   52858    1680    1        4.0      473.2     1.85e+05
2003 08 07  0029   52858    1740    1        4.1      475.9     2.00e+05
2003 08 07  0030   52858    1800    1        4.0      471.9     1.87e+05
2003 08 07  0031   52858    1860    1        4.0      472.9     1.85e+05
2003 08 07  0032   52858    1920    1        4.0      472.3     1.99e+05
2003 08 07  0033   52858    1980    1        4.0      472.8     2.01e+05
2003 08 07  0034   52858    2040    1        4.3      476.5     1.91e+05
2003 08 07  0035   52858    2100    1        4.0      475.9     1.86e+05
2003 08 07  0036   52858    2160    0        4.2      479.4     1.84e+05
2003 08 07  0037   52858    2220    1        3.3      483.7     2.26e+05
2003 08 07  0038   52858    2280    1        3.5      480.4     2.00e+05
2003 08 07  0039   52858    2340    0        3.8      480.2     1.95e+05
2003 08 07  0040   52858    2400    1        3.7      483.2     1.93e+05
2003 08 07  0041   52858    2460    1        3.7      483.2     1.93e+05
2003 08 07  0042   52858    2520    1    -9999.9    -9999.9    -1.00e+05
2003 08 07  0043   52858    2580    0        4.0      491.4     1.83e+05
2003 08 07  0044   52858    2640    0        2.9      490.5     2.29e+05
2003 08 07  0045   52858    2700    0        2.9      493.8     2.25e+05
2003 08 07  0046   52858    2760    1        3.2      484.4     2.19e+05
2003 08 07  0047   52858    2820    1        3.3      492.7     2.18e+05
2003 08 07  0048   52858    2880    0        2.5      481.5     2.32e+05
2003 08 07  0049   52858    2940    0        3.5      483.6     1.92e+05
2003 08 07  0050   52858    3000    0        3.4      483.8     2.08e+05
2003 08 07  0051   52858    3060    1        3.9      476.9     1.81e+05
2003 08 07  0052   52858    3120    1        4.1      472.7     1.66e+05
2003 08 07  0053   52858    3180    0        3.8      473.2     1.96e+05
2003 08 07  0054   52858    3240    0        3.6      486.2     2.19e+05
2003 08 07  0055   52858    3300    1        4.5      481.2     1.79e+05
2003 08 07  0056   52858    3360    1        4.0      469.6     1.67e+05
2003 08 07  0057   52858    3420    0        4.1      485.5     1.80e+05
2003 08 07  0058   52858    3480    0        4.1      501.4     1.93e+05
2003 08 07  0059   52858    3540    1        3.7      487.9     2.14e+05
2003 08 07  0100   52858    3600    0        3.5      495.7     1.88e+05
