:Data_list: 20030912_ace_mag_1m.txt
:Created: 2003 Sep 13 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 09 12  0000   52894       0    0     6.4     1.8    -0.9     6.7    -7.6    15.3
2003 09 12  0001   52894      60    0     6.6     1.3    -0.1     6.7    -1.2    11.2
2003 09 12  0002   52894     120    0     6.6     1.7    -0.6     6.9    -4.8    14.1
2003 09 12  0003   52894     180    0     6.5     1.5     0.1     6.7     0.6    12.8
2003 09 12  0004   52894     240    0     6.4     1.5     0.1     6.6     1.3    13.1
2003 09 12  0005   52894     300    0     6.3     1.5    -0.1     6.5    -1.2    13.2
2003 09 12  0006   52894     360    0     6.4     1.4     0.4     6.6     3.8    12.3
2003 09 12  0007   52894     420    0     6.4     1.5     0.6     6.6     5.5    13.1
2003 09 12  0008   52894     480    0     6.4     1.3     0.8     6.6     7.2    11.7
2003 09 12  0009   52894     540    0     6.4     1.1     1.2     6.6    10.1    10.1
2003 09 12  0010   52894     600    0     6.3     1.3     1.6     6.6    14.1    11.6
2003 09 12  0011   52894     660    0     6.2     1.2     2.2     6.7    18.9    11.0
2003 09 12  0012   52894     720    0     6.0     1.0     2.4     6.6    21.3     9.0
2003 09 12  0013   52894     780    0     6.6     0.9     0.4     6.6     3.7     7.4
2003 09 12  0014   52894     840    0     6.5     0.8    -0.2     6.6    -1.7     7.1
2003 09 12  0015   52894     900    0     6.5     0.8     0.3     6.5     2.5     7.0
2003 09 12  0016   52894     960    0     6.4     0.4     0.8     6.4     7.0     3.9
2003 09 12  0017   52894    1020    0     6.1     0.5     1.0     6.2     9.3     4.4
2003 09 12  0018   52894    1080    0     6.2     1.0     0.5     6.3     4.2     9.4
2003 09 12  0019   52894    1140    0     6.4     1.6     0.4     6.6     3.9    14.4
2003 09 12  0020   52894    1200    0     6.4     0.7     1.6     6.6    14.0     5.9
2003 09 12  0021   52894    1260    0     6.1     0.0     2.4     6.6    21.6     0.2
2003 09 12  0022   52894    1320    0     6.3     0.0     2.2     6.6    19.0     0.0
2003 09 12  0023   52894    1380    0     6.3    -0.2     2.0     6.6    17.5   357.8
2003 09 12  0024   52894    1440    0     6.1    -0.3     2.1     6.5    18.9   357.2
2003 09 12  0025   52894    1500    0     5.6    -0.6     3.1     6.4    29.1   353.9
2003 09 12  0026   52894    1560    0     5.5    -0.5     3.5     6.6    32.1   354.8
2003 09 12  0027   52894    1620    0     5.7    -0.2     3.5     6.7    31.5   357.5
2003 09 12  0028   52894    1680    0     4.7    -1.5     4.1     6.4    39.3   342.4
2003 09 12  0029   52894    1740    0     3.7    -2.4     5.2     6.8    49.2   327.4
2003 09 12  0030   52894    1800    0     3.2    -3.9     4.3     6.6    40.2   309.2
2003 09 12  0031   52894    1860    0     3.6    -3.5     4.6     6.8    42.6   315.4
2003 09 12  0032   52894    1920    0     3.4    -3.6     4.7     6.9    43.6   313.7
