:Data_list: 20031012_ace_sis_5m.txt
:Created: 2003 Oct 13 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2003 10 12  0000    52924       0      0    8.39e-01    0    5.92e-01
2003 10 12  0005    52924     300      0    8.60e-01    0    6.13e-01
2003 10 12  0010    52924     600      0    8.56e-01    0    6.01e-01
2003 10 12  0015    52924     900      0    8.67e-01    0    6.07e-01
2003 10 12  0020    52924    1200      0    8.67e-01    0    6.13e-01
2003 10 12  0025    52924    1500      0    8.57e-01    0    6.11e-01
2003 10 12  0030    52924    1800      0    8.40e-01    0    5.84e-01
2003 10 12  0035    52924    2100      0    8.82e-01    0    6.20e-01
2003 10 12  0040    52924    2400      0    8.61e-01    0    6.03e-01
2003 10 12  0045    52924    2700      0    8.67e-01    0    6.10e-01
2003 10 12  0050    52924    3000      0    8.62e-01    0    6.04e-01
2003 10 12  0055    52924    3300      0    8.82e-01    0    6.30e-01
2003 10 12  0100    52924    3600      0    8.80e-01    0    6.21e-01
2003 10 12  0105    52924    3900      0    8.49e-01    0    6.05e-01
2003 10 12  0110    52924    4200      0    8.68e-01    0    6.06e-01
2003 10 12  0115    52924    4500      0    8.54e-01    0    6.03e-01
2003 10 12  0120    52924    4800      0    8.69e-01    0    6.14e-01
2003 10 12  0125    52924    5100      0    8.53e-01    0    6.02e-01
2003 10 12  0130    52924    5400      0    8.65e-01    0    6.14e-01
2003 10 12  0135    52924    5700      0    8.59e-01    0    6.14e-01
2003 10 12  0140    52924    6000      0    8.40e-01    0    5.87e-01
2003 10 12  0145    52924    6300      0    8.56e-01    0    6.15e-01
2003 10 12  0150    52924    6600      0    8.49e-01    0    5.96e-01
2003 10 12  0155    52924    6900      0    8.72e-01    0    6.04e-01
2003 10 12  0200    52924    7200      0    8.63e-01    0    6.10e-01
2003 10 12  0205    52924    7500      9   -1.00e+05    9   -1.00e+05
2003 10 12  0210    52924    7800      0    8.48e-01    0    5.90e-01
2003 10 12  0215    52924    8100      0    8.59e-01    0    6.02e-01
2003 10 12  0220    52924    8400      0    8.73e-01    0    6.16e-01
2003 10 12  0225    52924    8700      0    8.59e-01    0    6.11e-01
2003 10 12  0230    52924    9000      0    8.60e-01    0    6.11e-01
2003 10 12  0235    52924    9300      0    8.72e-01    0    6.11e-01
2003 10 12  0240    52924    9600      0    8.67e-01    0    6.08e-01
2003 10 12  0245    52924    9900      0    8.49e-01    0    5.91e-01
2003 10 12  0250    52924   10200      0    8.69e-01    0    6.15e-01
2003 10 12  0255    52924   10500      0    8.49e-01    0    5.96e-01
2003 10 12  0300    52924   10800      0    8.62e-01    0    6.03e-01
2003 10 12  0305    52924   11100      0    8.53e-01    0    5.99e-01
2003 10 12  0310    52924   11400      0    8.48e-01    0    5.99e-01
2003 10 12  0315    52924   11700      0    8.76e-01    0    6.07e-01
2003 10 12  0320    52924   12000      0    8.47e-01    0    5.94e-01
2003 10 12  0325    52924   12300      0    8.66e-01    0    6.09e-01
2003 10 12  0330    52924   12600      0    8.72e-01    0    6.17e-01
2003 10 12  0335    52924   12900      0    8.52e-01    0    5.92e-01
2003 10 12  0340    52924   13200      0    8.61e-01    0    6.08e-01
2003 10 12  0345    52924   13500      0    8.28e-01    0    5.81e-01
2003 10 12  0350    52924   13800      0    8.78e-01    0    6.20e-01
2003 10 12  0355    52924   14100      0    8.49e-01    0    6.06e-01
2003 10 12  0400    52924   14400      0    8.65e-01    0    6.21e-01
2003 10 12  0405    52924   14700      0    8.51e-01    0    5.98e-01
2003 10 12  0410    52924   15000      0    8.50e-01    0    5.92e-01
2003 10 12  0415    52924   15300      0    8.61e-01    0    6.11e-01
2003 10 12  0420    52924   15600      0    8.46e-01    0    5.92e-01
2003 10 12  0425    52924   15900      0    8.56e-01    0    5.97e-01
2003 10 12  0430    52924   16200      0    8.72e-01    0    6.16e-01
2003 10 12  0435    52924   16500      0    8.84e-01    0    6.22e-01
2003 10 12  0440    52924   16800      0    8.82e-01    0    6.24e-01
2003 10 12  0445    52924   17100      0    8.61e-01    0    6.10e-01
2003 10 12  0450    52924   17400      0    8.80e-01    0    6.17e-01
2003 10 12  0455    52924   17700      0    8.57e-01    0    6.10e-01
2003 10 12  0500    52924   18000      0    8.46e-01    0    5.92e-01
2003 10 12  0505    52924   18300      0    8.52e-01    0    5.99e-01
2003 10 12  0510    52924   18600      0    8.68e-01    0    6.11e-01
2003 10 12  0515    52924   18900      0    8.57e-01    0    6.03e-01
2003 10 12  0520    52924   19200      0    8.55e-01    0    6.03e-01
2003 10 12  0525    52924   19500      0    8.36e-01    0    5.90e-01
2003 10 12  0530    52924   19800      0    8.65e-01    0    6.12e-01
2003 10 12  0535    52924   20100      0    8.59e-01    0    6.09e-01
2003 10 12  0540    52924   20400      0    8.76e-01    0    6.19e-01
2003 10 12  0545    52924   20700      0    8.64e-01    0    6.19e-01
2003 10 12  0550    52924   21000      0    8.69e-01    0    6.17e-01
2003 10 12  0555    52924   21300      0    8.76e-01    0    6.18e-01
2003 10 12  0600    52924   21600      0    8.57e-01    0    6.02e-01
2003 10 12  0605    52924   21900      0    8.72e-01    0    6.19e-01
