:Data_list: 20031107_ace_epam_5m.txt
:Created: 2003 Nov 08 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# Note: 2002 Mar 18: First Proton channel changed from 47-65 to 65-112keV.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S   65-112   112-187   310-580   761-1220 060-1910   Ratio
#-------------------------------------------------------------------------------------------------------------------
2003 11 07  0000   52950       0  0  3.22e+04  1.75e+03  0  2.68e+06  6.70e+05  2.10e+05  6.60e+02  7.37e+02   0.09
2003 11 07  0005   52950     300  0  3.15e+04  1.76e+03  0  3.57e+06  6.92e+05  8.39e+04  6.63e+02  2.52e+02   0.09
2003 11 07  0010   52950     600  0  2.96e+04  1.66e+03  0  3.21e+06  6.70e+05  1.47e+05  6.14e+02  5.06e+02   0.09
2003 11 07  0015   52950     900  0  3.28e+04  1.87e+03  0  3.50e+06  5.87e+05  1.03e+05  7.15e+02  3.40e+02   0.12
2003 11 07  0020   52950    1200  0  3.04e+04  1.74e+03  0  3.87e+06  5.34e+05  4.07e+04  6.48e+02  2.88e+02   0.12
2003 11 07  0025   52950    1500  0  3.26e+04  1.88e+03  0  4.07e+06  5.18e+05  1.28e+04  6.77e+02  2.23e+02   0.12
2003 11 07  0030   52950    1800  0  3.13e+04  1.78e+03  0  3.45e+06  7.18e+05  1.02e+05  6.47e+02  2.44e+02   0.12
2003 11 07  0035   52950    2100  0  3.09e+04  1.73e+03  0  3.27e+06  8.06e+05  1.35e+05  6.51e+02  2.33e+02   0.13
2003 11 07  0040   52950    2400  0  2.91e+04  1.62e+03  0  3.63e+06  6.86e+05  6.86e+04  6.09e+02  1.96e+02   0.13
2003 11 07  0045   52950    2700  0  3.02e+04  1.72e+03  0  3.50e+06  6.81e+05  9.31e+04  6.41e+02  2.51e+02   0.14
2003 11 07  0050   52950    3000  0  2.85e+04  1.62e+03  0  2.97e+06  8.01e+05  1.65e+05  6.05e+02  3.10e+02   0.08
2003 11 07  0055   52950    3300  0  3.16e+04  1.75e+03  0  2.83e+06  6.36e+05  1.85e+05  6.41e+02  7.24e+02   0.11
