:Data_list: 20031123_ace_mag_1m.txt
:Created: 2003 Nov 24 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2003 11 23  0000   52966       0    0     9.1    -3.1     3.1    10.1    17.8   341.2
2003 11 23  0001   52966      60    0     9.0    -4.1     2.4    10.2    13.8   335.5
2003 11 23  0002   52966     120    0     9.0    -3.9     2.6    10.1    14.6   336.3
2003 11 23  0003   52966     180    0     8.8    -3.8     3.0    10.1    17.2   337.0
2003 11 23  0004   52966     240    0     8.9    -3.5     3.2    10.1    18.3   338.5
2003 11 23  0005   52966     300    0     8.8    -3.5     3.4    10.1    19.6   338.3
2003 11 23  0006   52966     360    0     9.2    -2.5     3.1    10.1    18.2   345.0
2003 11 23  0007   52966     420    0     9.2    -2.9     2.9    10.1    16.6   342.3
2003 11 23  0008   52966     480    0     9.1    -2.8     3.4    10.1    19.7   343.1
2003 11 23  0009   52966     540    0     9.0    -3.0     3.5    10.1    20.0   341.8
2003 11 23  0010   52966     600    0     9.0    -3.3     3.3    10.1    19.2   340.0
2003 11 23  0011   52966     660    0     9.1    -3.2     2.9    10.1    16.9   340.7
2003 11 23  0012   52966     720    0     9.1    -2.8     3.5    10.1    20.3   342.6
2003 11 23  0013   52966     780    0     9.3    -3.6     2.3    10.2    12.9   338.9
2003 11 23  0014   52966     840    0     9.4    -3.3     2.3    10.2    12.8   340.8
2003 11 23  0015   52966     900    0     9.4    -3.1     2.6    10.2    14.9   341.9
2003 11 23  0016   52966     960    0     9.2    -3.6     2.7    10.2    15.2   338.8
2003 11 23  0017   52966    1020    0     9.3    -3.0     2.9    10.2    16.7   342.2
2003 11 23  0018   52966    1080    0     9.2    -2.8     3.1    10.1    17.7   343.3
2003 11 23  0019   52966    1140    0     9.1    -2.8     3.3    10.1    19.2   343.1
2003 11 23  0020   52966    1200    0     9.4    -2.6     3.0    10.2    17.1   344.3
2003 11 23  0021   52966    1260    0     9.3    -2.2     3.4    10.1    19.7   346.8
2003 11 23  0022   52966    1320    0     9.1    -2.3     3.8    10.1    22.1   345.9
2003 11 23  0023   52966    1380    0     9.1    -2.1     4.0    10.1    23.4   346.9
2003 11 23  0024   52966    1440    0     9.3    -1.9     3.5    10.2    20.3   348.4
2003 11 23  0025   52966    1500    0     9.3    -2.0     3.6    10.2    20.9   348.1
2003 11 23  0026   52966    1560    0     9.2    -1.9     3.9    10.2    22.8   348.4
2003 11 23  0027   52966    1620    0     9.0    -1.7     4.2    10.1    24.5   349.2
2003 11 23  0028   52966    1680    0     9.0    -1.6     4.4    10.2    25.9   349.9
2003 11 23  0029   52966    1740    0     9.0    -1.5     4.5    10.2    26.5   350.2
2003 11 23  0030   52966    1800    0     9.0    -1.6     4.1    10.1    24.2   350.0
2003 11 23  0031   52966    1860    0     9.0    -1.6     4.2    10.0    24.6   349.6
2003 11 23  0032   52966    1920    0     8.9    -1.6     4.3    10.0    25.5   350.0
2003 11 23  0033   52966    1980    0     9.0    -1.6     4.1    10.0    24.2   350.0
2003 11 23  0034   52966    2040    0     8.9    -1.5     4.3    10.0    25.2   350.4
2003 11 23  0035   52966    2100    0     8.9    -1.4     4.5    10.1    26.6   351.2
2003 11 23  0036   52966    2160    0     8.9    -1.2     4.6    10.1    27.4   352.3
2003 11 23  0037   52966    2220    0     8.9    -0.9     4.8    10.2    28.1   354.1
2003 11 23  0038   52966    2280    0     8.8    -0.5     5.0    10.1    29.4   356.6
2003 11 23  0039   52966    2340    0     8.6    -0.6     5.3    10.1    31.7   356.1
2003 11 23  0040   52966    2400    0     8.5    -0.6     5.4    10.1    32.2   355.8
