:Data_list: 20040502_ace_epam_5m.txt
:Created: 2004 May 03 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# 2004 Feb 04: see http://www.sec.noaa.gov/ftpdir/lists/ace/README for EPAM channel change notice.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Ratio
#-------------------------------------------------------------------------------------------------------------------
2004 05 02  0000   53127       0  0  2.91e+02  1.52e+01  0  5.33e+02  1.01e+01  1.02e+00  3.05e-01  8.69e-02   0.93
2004 05 02  0005   53127     300  0  2.51e+02  1.33e+01  0  5.68e+02  1.29e+01  1.15e+00  4.57e-01  1.16e-01   0.39
2004 05 02  0010   53127     600  0  3.27e+02  1.56e+01  0  5.42e+02  9.84e+00  1.29e+00  4.76e-01  5.80e-02   0.37
2004 05 02  0015   53127     900  0  2.86e+02  1.72e+01  0  5.76e+02  1.33e+01  1.41e+00  4.76e-01  1.16e-01   0.27
2004 05 02  0020   53127    1200  0  2.74e+02  1.58e+01  0  5.87e+02  1.48e+01  1.05e+00  2.49e-01  8.43e-02   0.95
2004 05 02  0025   53127    1500  0  3.45e+02  1.60e+01  0  5.18e+02  1.18e+01  1.38e+00  3.53e-01  1.37e-01   0.63
2004 05 02  0030   53127    1800  9 -1.00e+05  1.02e+02  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 05 02  0035   53127    2100  0  4.03e+02  1.52e+01  0  5.43e+02  1.26e+01  1.50e+00  2.29e-01  7.72e-02   0.00
2004 05 02  0040   53127    2400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 05 02  0045   53127    2700  0  3.28e+02  1.78e+01  0  5.60e+02  1.19e+01  9.26e-01  4.37e-01  8.15e-02   0.69
2004 05 02  0050   53127    3000  0  3.49e+02  1.68e+01  0  5.78e+02  1.25e+01  1.50e+00  2.29e-01  1.06e-01   0.87
2004 05 02  0055   53127    3300  0  2.65e+02  1.43e+01  0  5.52e+02  1.07e+01  1.48e+00  3.53e-01  6.32e-02   0.37
2004 05 02  0100   53127    3600  0  2.89e+02  1.58e+01  0  4.98e+02  1.23e+01  1.35e+00  4.99e-01  4.83e-02   1.35
2004 05 02  0105   53127    3900  0  3.95e+02  2.11e+01  0  6.06e+02  1.14e+01  1.26e+00  2.48e-01  7.38e-02   0.13
2004 05 02  0110   53127    4200  0  2.94e+02  1.37e+01  0  5.96e+02  1.10e+01  1.61e+00  3.95e-01  8.43e-02   0.37
2004 05 02  0115   53127    4500  0  3.17e+02  1.50e+01  0  5.59e+02  1.14e+01  1.33e+00  4.05e-01  8.92e-02   0.72
2004 05 02  0120   53127    4800  0  3.26e+02  1.68e+01  0  5.51e+02  1.15e+01  1.54e+00  4.78e-01  8.43e-02   0.10
2004 05 02  0125   53127    5100  0  3.15e+02  1.37e+01  0  5.65e+02  1.25e+01  1.18e+00  2.70e-01  1.26e-01   0.33
2004 05 02  0130   53127    5400  0  2.76e+02  1.72e+01  0  5.18e+02  1.11e+01  1.49e+00  4.07e-01  6.38e-02   0.37
2004 05 02  0135   53127    5700  0  3.26e+02  1.62e+01  0  5.37e+02  1.12e+01  1.11e+00  2.70e-01  9.27e-02   0.85
2004 05 02  0140   53127    6000  0  3.14e+02  1.47e+01  0  5.87e+02  1.06e+01  1.28e+00  4.99e-01  1.05e-01   0.29
2004 05 02  0145   53127    6300  0  3.08e+02  1.64e+01  0  5.75e+02  1.12e+01  1.28e+00  3.69e-01  5.35e-02   0.42
2004 05 02  0150   53127    6600  0  2.58e+02  1.47e+01  0  4.86e+02  1.29e+01  1.64e+00  3.53e-01  8.43e-02   0.59
2004 05 02  0155   53127    6900  0  3.22e+02  1.80e+01  0  5.58e+02  1.05e+01  1.28e+00  4.05e-01  6.24e-02   0.83
2004 05 02  0200   53127    7200  0  2.84e+02  1.55e+01  0  5.89e+02  1.16e+01  1.44e+00  3.53e-01  8.11e-02   0.81
2004 05 02  0205   53127    7500  0  2.96e+02  1.45e+01  0  5.47e+02  1.08e+01  1.77e+00  2.70e-01  8.11e-02   0.85
2004 05 02  0210   53127    7800  0  3.34e+02  1.52e+01  0  5.96e+02  1.20e+01  1.50e+00  4.05e-01  1.07e-01   0.66
2004 05 02  0215   53127    8100  0  3.19e+02  1.31e+01  0  5.82e+02  1.12e+01  1.11e+00  5.20e-01  8.43e-02   0.27
2004 05 02  0220   53127    8400  0  2.22e+02  1.31e+01  0  5.54e+02  1.25e+01  1.21e+00  2.08e-01  8.43e-02   0.91
2004 05 02  0225   53127    8700  0  2.28e+02  1.52e+01  0  5.07e+02  1.31e+01  9.43e-01  4.75e-01  8.91e-02   0.42
2004 05 02  0230   53127    9000  0  2.89e+02  1.47e+01  0  5.80e+02  1.05e+01  9.83e-01  3.33e-01  8.43e-02   0.33
