:Data_list: 20040704_ace_swepam_1m.txt
:Created: 2004 Jul 05 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2004 07 04  0000   53190       0    0        2.7      412.1     7.28e+04
2004 07 04  0001   53190      60    0        2.7      426.0     6.69e+04
2004 07 04  0002   53190     120    0        2.0      425.3     7.50e+04
2004 07 04  0003   53190     180    0        2.9      419.1     6.50e+04
2004 07 04  0004   53190     240    9    -9999.9    -9999.9    -1.00e+05
2004 07 04  0005   53190     300    0        1.8      426.8     5.97e+04
2004 07 04  0006   53190     360    0        1.8      428.5     5.74e+04
2004 07 04  0007   53190     420    0        1.8      427.2     6.68e+04
2004 07 04  0008   53190     480    0        2.0      426.3     5.84e+04
2004 07 04  0009   53190     540    0        1.9      426.7     6.49e+04
2004 07 04  0010   53190     600    0        2.2      427.4     5.79e+04
2004 07 04  0011   53190     660    0        2.2      427.4     5.79e+04
2004 07 04  0012   53190     720    0        2.0      428.4     6.21e+04
2004 07 04  0013   53190     780    0        1.9      424.1     5.98e+04
2004 07 04  0014   53190     840    0        2.0      424.0     5.80e+04
2004 07 04  0015   53190     900    0        2.0      422.4     5.60e+04
2004 07 04  0016   53190     960    0        2.1      423.2     5.69e+04
2004 07 04  0017   53190    1020    0        2.7      419.0     5.48e+04
2004 07 04  0018   53190    1080    0        3.2      419.4     5.16e+04
2004 07 04  0019   53190    1140    0        2.1      417.5     5.73e+04
2004 07 04  0020   53190    1200    0        2.1      426.5     7.29e+04
2004 07 04  0021   53190    1260    0        2.2      426.0     7.33e+04
2004 07 04  0022   53190    1320    0        1.9      425.3     8.48e+04
2004 07 04  0023   53190    1380    0        1.6      428.5     7.42e+04
2004 07 04  0024   53190    1440    0        1.7      430.1     6.96e+04
2004 07 04  0025   53190    1500    0        1.7      425.0     7.44e+04
2004 07 04  0026   53190    1560    0        1.7      425.3     7.22e+04
2004 07 04  0027   53190    1620    0        1.7      425.3     7.22e+04
2004 07 04  0028   53190    1680    0        1.4      425.3     6.81e+04
2004 07 04  0029   53190    1740    0        1.8      427.1     7.02e+04
2004 07 04  0030   53190    1800    0        1.8      429.2     6.20e+04
2004 07 04  0031   53190    1860    0        2.4      428.7     6.25e+04
2004 07 04  0032   53190    1920    0        1.5      424.3     7.96e+04
2004 07 04  0033   53190    1980    0        1.8      431.6     6.29e+04
2004 07 04  0034   53190    2040    0        1.7      427.8     6.54e+04
2004 07 04  0035   53190    2100    0        1.9      426.4     6.54e+04
2004 07 04  0036   53190    2160    0        1.6      427.9     6.24e+04
2004 07 04  0037   53190    2220    9    -9999.9    -9999.9    -1.00e+05
2004 07 04  0038   53190    2280    0        1.8      425.4     6.21e+04
2004 07 04  0039   53190    2340    0        2.1      425.8     5.82e+04
2004 07 04  0040   53190    2400    0        2.7      422.1     4.86e+04
2004 07 04  0041   53190    2460    0        3.2      417.9     5.29e+04
2004 07 04  0042   53190    2520    0        3.1      421.0     5.87e+04
2004 07 04  0043   53190    2580    0        3.1      421.0     5.87e+04
2004 07 04  0044   53190    2640    0        3.6      415.8     4.50e+04
2004 07 04  0045   53190    2700    0        2.9      417.7     5.11e+04
2004 07 04  0046   53190    2760    0        3.3      416.2     4.50e+04
2004 07 04  0047   53190    2820    0        3.2      416.5     5.29e+04
2004 07 04  0048   53190    2880    0        3.3      418.4     4.83e+04
2004 07 04  0049   53190    2940    0        3.2      420.5     5.66e+04
2004 07 04  0050   53190    3000    0        3.1      421.9     4.77e+04
2004 07 04  0051   53190    3060    0        2.9      421.1     4.58e+04
2004 07 04  0052   53190    3120    0        2.5      426.0     5.60e+04
2004 07 04  0053   53190    3180    0        3.0      421.5     4.76e+04
2004 07 04  0054   53190    3240    0        3.2      418.6     4.66e+04
2004 07 04  0055   53190    3300    0        2.6      425.1     4.56e+04
2004 07 04  0056   53190    3360    0        3.1      420.9     4.87e+04
2004 07 04  0057   53190    3420    0        2.1      424.1     5.71e+04
2004 07 04  0058   53190    3480    0        2.2      420.6     5.82e+04
2004 07 04  0059   53190    3540    0        2.2      420.6     5.82e+04
2004 07 04  0100   53190    3600    0        2.0      420.5     6.17e+04
2004 07 04  0101   53190    3660    0        2.0      424.6     5.50e+04
2004 07 04  0102   53190    3720    0        1.9      415.7     5.70e+04
2004 07 04  0103   53190    3780    0        2.3      419.7     5.49e+04
2004 07 04  0104   53190    3840    0        2.2      418.6     6.78e+04
2004 07 04  0105   53190    3900    0        2.1      419.8     6.23e+04
2004 07 04  0106   53190    3960    0        2.7      423.8     4.66e+04
2004 07 04  0107   53190    4020    0        2.3      424.4     5.47e+04
2004 07 04  0108   53190    4080    0        2.4      423.9     5.35e+04
2004 07 04  0109   53190    4140    0        2.2      421.2     5.33e+04
2004 07 04  0110   53190    4200    9    -9999.9    -9999.9    -1.00e+05
2004 07 04  0111   53190    4260    0        2.5      420.2     4.99e+04
2004 07 04  0112   53190    4320    0        3.0      415.6     5.48e+04
2004 07 04  0113   53190    4380    0        2.9      416.6     4.66e+04
2004 07 04  0114   53190    4440    0        2.0      419.4     5.63e+04
2004 07 04  0115   53190    4500    0        2.0      419.4     5.63e+04
2004 07 04  0116   53190    4560    0        1.8      420.8     5.29e+04
2004 07 04  0117   53190    4620    0        1.8      421.9     5.40e+04
2004 07 04  0118   53190    4680    0        2.2      421.8     6.06e+04
2004 07 04  0119   53190    4740    0        2.9      417.2     4.85e+04
2004 07 04  0120   53190    4800    0        2.4      420.1     5.14e+04
2004 07 04  0121   53190    4860    0        2.7      419.7     5.41e+04
2004 07 04  0122   53190    4920    0        3.1      426.9     5.45e+04
