:Data_list: 20040709_ace_epam_5m.txt
:Created: 2004 Jul 10 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# 2004 Feb 04: see http://www.sec.noaa.gov/ftpdir/lists/ace/README for EPAM channel change notice.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Ratio
#-------------------------------------------------------------------------------------------------------------------
2004 07 09  0000   53195       0  0  4.75e+02  2.36e+01  0  4.23e+02  1.39e+01  1.59e+00  5.72e-01  1.55e-01   0.74
2004 07 09  0005   53195     300  0  4.36e+02  2.32e+01  0  4.72e+02  1.17e+01  1.71e+00  4.95e-01  1.64e-01   0.14
2004 07 09  0010   53195     600  0  4.15e+02  2.40e+01  0  4.72e+02  1.32e+01  1.93e+00  4.37e-01  1.79e-01   0.46
2004 07 09  0015   53195     900  0  3.74e+02  2.32e+01  0  4.39e+02  1.28e+01  2.07e+00  3.43e-01  1.83e-01   0.37
2004 07 09  0020   53195    1200  0  4.18e+02  2.39e+01  0  4.88e+02  1.30e+01  2.01e+00  6.10e-01  1.64e-01   0.19
2004 07 09  0025   53195    1500  0  4.05e+02  2.42e+01  0  4.68e+02  1.37e+01  1.57e+00  6.65e-01  6.95e-02   0.33
2004 07 09  0030   53195    1800  0  4.12e+02  2.21e+01  0  4.59e+02  1.32e+01  1.69e+00  5.45e-01  1.34e-01   0.21
2004 07 09  0035   53195    2100  0  4.22e+02  2.42e+01  0  4.45e+02  1.28e+01  1.61e+00  6.44e-01  1.47e-01   0.36
2004 07 09  0040   53195    2400  0  3.50e+02  2.24e+01  0  4.64e+02  1.10e+01  1.61e+00  4.16e-01  1.90e-01   0.63
2004 07 09  0045   53195    2700  0  3.90e+02  2.50e+01  0  4.71e+02  1.39e+01  1.61e+00  3.87e-01  1.78e-01   0.69
2004 07 09  0050   53195    3000  0  3.70e+02  2.38e+01  0  4.43e+02  1.35e+01  1.70e+00  4.99e-01  1.58e-01   0.19
2004 07 09  0055   53195    3300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 07 09  0100   53195    3600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 07 09  0105   53195    3900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 07 09  0110   53195    4200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 07 09  0115   53195    4500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2004 07 09  0120   53195    4800  0  3.51e+02  2.38e+01  0  4.58e+02  1.16e+01  1.83e+00  7.58e-01  2.36e-02   0.70
2004 07 09  0125   53195    5100  0  4.44e+02  2.11e+01  0  4.42e+02  1.39e+01  1.50e+00  2.99e-01  1.25e-01   1.21
2004 07 09  0130   53195    5400  0  4.33e+02  2.28e+01  0  4.50e+02  1.50e+01  1.51e+00  4.16e-01  2.53e-01   0.15
2004 07 09  0135   53195    5700  0  4.15e+02  2.07e+01  0  4.45e+02  1.57e+01  1.80e+00  4.16e-01  2.11e-01   0.87
2004 07 09  0140   53195    6000  0  3.86e+02  2.63e+01  0  4.63e+02  1.31e+01  2.02e+00  5.45e-01  1.78e-01   0.51
2004 07 09  0145   53195    6300  0  4.24e+02  2.40e+01  0  4.47e+02  1.57e+01  1.93e+00  7.69e-01  1.90e-01   0.22
2004 07 09  0150   53195    6600  0  4.03e+02  2.16e+01  0  4.84e+02  1.29e+01  1.56e+00  4.76e-01  1.93e-01   0.43
2004 07 09  0155   53195    6900  0  4.02e+02  2.73e+01  0  4.37e+02  1.45e+01  1.71e+00  5.34e-01  1.93e-01   0.09
2004 07 09  0200   53195    7200  0  4.17e+02  2.28e+01  0  4.48e+02  1.29e+01  1.87e+00  3.33e-01  1.79e-01   0.76
