:Data_list: 20041128_ace_swepam_1m.txt
:Created: 2004 Nov 29 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2004 11 28  0000   53337       0    0        0.9      410.1     3.64e+04
2004 11 28  0001   53337      60    0        0.9      410.1     3.64e+04
2004 11 28  0002   53337     120    0        1.2      414.6     3.54e+04
2004 11 28  0003   53337     180    0        1.1      410.4     3.67e+04
2004 11 28  0004   53337     240    0        0.9      408.5     4.18e+04
2004 11 28  0005   53337     300    0        1.1      411.2     4.19e+04
2004 11 28  0006   53337     360    0        1.0      417.2     3.73e+04
2004 11 28  0007   53337     420    0        1.0      412.1     4.16e+04
2004 11 28  0008   53337     480    0        1.2      423.1     3.52e+04
2004 11 28  0009   53337     540    0        0.6      403.7     5.21e+04
2004 11 28  0010   53337     600    0        0.9      405.5     5.29e+04
2004 11 28  0011   53337     660    0        0.7      389.8     4.33e+04
2004 11 28  0012   53337     720    0        0.9      405.5     4.38e+04
2004 11 28  0013   53337     780    0        0.8      406.5     4.27e+04
2004 11 28  0014   53337     840    0        0.7      406.1     4.32e+04
2004 11 28  0015   53337     900    0        0.7      396.8     4.62e+04
2004 11 28  0016   53337     960    0        0.7      407.9     4.11e+04
2004 11 28  0017   53337    1020    0        0.7      407.9     4.11e+04
2004 11 28  0018   53337    1080    0        1.0      407.1     4.02e+04
2004 11 28  0019   53337    1140    0        0.9      402.8     4.32e+04
2004 11 28  0020   53337    1200    0        1.0      409.3     4.00e+04
2004 11 28  0021   53337    1260    0        0.8      404.2     4.88e+04
2004 11 28  0022   53337    1320    0        0.9      405.1     4.25e+04
2004 11 28  0023   53337    1380    0        1.0      407.7     4.27e+04
2004 11 28  0024   53337    1440    0        0.7      398.1     4.45e+04
2004 11 28  0025   53337    1500    0        0.6      390.2     4.83e+04
2004 11 28  0026   53337    1560    0        0.7      406.6     3.98e+04
2004 11 28  0027   53337    1620    0        0.8      407.1     4.03e+04
2004 11 28  0028   53337    1680    9    -9999.9    -9999.9    -1.00e+05
2004 11 28  0029   53337    1740    0        1.0      409.2     4.35e+04
2004 11 28  0030   53337    1800    0        0.6      394.6     4.19e+04
2004 11 28  0031   53337    1860    0        0.6      398.2     4.22e+04
2004 11 28  0032   53337    1920    0        0.8      401.1     5.41e+04
2004 11 28  0033   53337    1980    0        0.8      401.1     5.41e+04
2004 11 28  0034   53337    2040    0        0.5      393.8     3.57e+04
2004 11 28  0035   53337    2100    0        0.8      401.7     4.77e+04
2004 11 28  0036   53337    2160    0        0.5      398.6     3.51e+04
2004 11 28  0037   53337    2220    0        0.7      399.7     3.92e+04
2004 11 28  0038   53337    2280    0        0.8      398.9     3.87e+04
2004 11 28  0039   53337    2340    0        0.9      403.4     4.14e+04
2004 11 28  0040   53337    2400    0        1.0      401.4     4.47e+04
2004 11 28  0041   53337    2460    0        1.0      405.7     3.69e+04
2004 11 28  0042   53337    2520    1        0.6      398.9     3.57e+04
2004 11 28  0043   53337    2580    0        0.9      404.6     3.49e+04
2004 11 28  0044   53337    2640    0        1.1      405.8     3.93e+04
2004 11 28  0045   53337    2700    0        1.2      407.4     4.21e+04
2004 11 28  0046   53337    2760    0        1.0      411.1     3.61e+04
2004 11 28  0047   53337    2820    0        1.0      401.4     3.90e+04
2004 11 28  0048   53337    2880    0        0.6      394.6     3.09e+04
2004 11 28  0049   53337    2940    0        0.6      394.6     3.09e+04
2004 11 28  0050   53337    3000    0        0.9      402.7     3.87e+04
2004 11 28  0051   53337    3060    0        1.0      403.8     4.67e+04
2004 11 28  0052   53337    3120    0        0.6      401.4     5.41e+04
2004 11 28  0053   53337    3180    0        0.6      395.3     2.99e+04
2004 11 28  0054   53337    3240    0        0.7      399.9     4.27e+04
2004 11 28  0055   53337    3300    0        0.6      393.1     3.08e+04
2004 11 28  0056   53337    3360    0        0.8      397.2     3.89e+04
2004 11 28  0057   53337    3420    0        0.9      403.0     3.54e+04
2004 11 28  0058   53337    3480    0        0.8      400.8     3.66e+04
2004 11 28  0059   53337    3540    0        0.8      398.2     3.52e+04
2004 11 28  0100   53337    3600    0        1.0      403.2     3.89e+04
2004 11 28  0101   53337    3660    9    -9999.9    -9999.9    -1.00e+05
