:Data_list: 20041224_ace_sis_5m.txt
:Created: 2004 Dec 25 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2004 12 24  0000    53363       0      0    1.26e+00    0    8.94e-01
2004 12 24  0005    53363     300      0    1.23e+00    0    8.62e-01
2004 12 24  0010    53363     600      0    1.27e+00    0    9.03e-01
2004 12 24  0015    53363     900      0    1.26e+00    0    8.81e-01
2004 12 24  0020    53363    1200      0    1.25e+00    0    8.82e-01
2004 12 24  0025    53363    1500      0    1.25e+00    0    8.79e-01
2004 12 24  0030    53363    1800      0    1.26e+00    0    8.77e-01
2004 12 24  0035    53363    2100      0    1.27e+00    0    8.93e-01
2004 12 24  0040    53363    2400      0    1.27e+00    0    8.83e-01
2004 12 24  0045    53363    2700      0    1.27e+00    0    8.93e-01
2004 12 24  0050    53363    3000      0    1.26e+00    0    8.83e-01
2004 12 24  0055    53363    3300      0    1.21e+00    0    8.57e-01
2004 12 24  0100    53363    3600      0    1.24e+00    0    8.73e-01
2004 12 24  0105    53363    3900      0    1.24e+00    0    8.77e-01
2004 12 24  0110    53363    4200      0    1.26e+00    0    8.89e-01
2004 12 24  0115    53363    4500      0    1.26e+00    0    8.97e-01
2004 12 24  0120    53363    4800      0    1.28e+00    0    9.08e-01
2004 12 24  0125    53363    5100      0    1.27e+00    0    8.96e-01
2004 12 24  0130    53363    5400      0    1.23e+00    0    8.56e-01
2004 12 24  0135    53363    5700      0    1.27e+00    0    8.88e-01
2004 12 24  0140    53363    6000      0    1.24e+00    0    8.77e-01
2004 12 24  0145    53363    6300      0    1.22e+00    0    8.56e-01
2004 12 24  0150    53363    6600      0    1.25e+00    0    8.77e-01
2004 12 24  0155    53363    6900      0    1.25e+00    0    8.88e-01
2004 12 24  0200    53363    7200      0    1.25e+00    0    8.92e-01
2004 12 24  0205    53363    7500      0    1.27e+00    0    8.92e-01
2004 12 24  0210    53363    7800      0    1.27e+00    0    8.89e-01
2004 12 24  0215    53363    8100      0    1.27e+00    0    8.92e-01
2004 12 24  0220    53363    8400      0    1.27e+00    0    8.76e-01
2004 12 24  0225    53363    8700      0    1.26e+00    0    8.94e-01
2004 12 24  0230    53363    9000      0    1.26e+00    0    8.86e-01
2004 12 24  0235    53363    9300      0    1.27e+00    0    8.96e-01
2004 12 24  0240    53363    9600      0    1.25e+00    0    8.80e-01
2004 12 24  0245    53363    9900      0    1.25e+00    0    8.81e-01
2004 12 24  0250    53363   10200      0    1.25e+00    0    8.78e-01
2004 12 24  0255    53363   10500      0    1.26e+00    0    8.88e-01
2004 12 24  0300    53363   10800      0    1.26e+00    0    8.86e-01
2004 12 24  0305    53363   11100      0    1.24e+00    0    8.69e-01
2004 12 24  0310    53363   11400      0    1.27e+00    0    8.98e-01
2004 12 24  0315    53363   11700      0    1.26e+00    0    8.97e-01
2004 12 24  0320    53363   12000      0    1.28e+00    0    9.12e-01
