:Data_list: 20050104_ace_swepam_1m.txt
:Created: 2005 Jan 05 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2005 01 04  0000   53374       0    0        2.1      701.4     3.41e+05
2005 01 04  0001   53374      60    0        1.2      707.9     2.37e+05
2005 01 04  0002   53374     120    0        1.9      665.1     3.54e+05
2005 01 04  0003   53374     180    0        2.0      671.5     3.71e+05
2005 01 04  0004   53374     240    0        2.0      671.5     3.71e+05
2005 01 04  0005   53374     300    0        2.0      668.1     4.22e+05
2005 01 04  0006   53374     360    0        2.2      663.6     3.58e+05
2005 01 04  0007   53374     420    0        2.2      661.4     3.28e+05
2005 01 04  0008   53374     480    0        2.2      674.8     3.28e+05
2005 01 04  0009   53374     540    0        2.4      676.8     2.94e+05
2005 01 04  0010   53374     600    0        1.9      675.5     3.20e+05
2005 01 04  0011   53374     660    0        1.9      679.7     3.62e+05
2005 01 04  0012   53374     720    0        1.8      701.5     3.48e+05
2005 01 04  0013   53374     780    0        2.5      696.7     3.16e+05
2005 01 04  0014   53374     840    0        1.8      701.5     3.15e+05
2005 01 04  0015   53374     900    0        1.7      700.6     2.77e+05
2005 01 04  0016   53374     960    0        1.5      691.4     3.33e+05
2005 01 04  0017   53374    1020    0        1.9      687.1     3.23e+05
2005 01 04  0018   53374    1080    0        1.8      692.9     3.18e+05
2005 01 04  0019   53374    1140    0        1.8      681.0     3.24e+05
2005 01 04  0020   53374    1200    0        1.8      681.0     3.24e+05
2005 01 04  0021   53374    1260    0        1.9      682.2     3.37e+05
2005 01 04  0022   53374    1320    0        1.8      675.0     3.43e+05
2005 01 04  0023   53374    1380    0        1.8      679.0     3.49e+05
2005 01 04  0024   53374    1440    0        2.1      669.2     3.32e+05
2005 01 04  0025   53374    1500    0        2.0      682.7     3.50e+05
2005 01 04  0026   53374    1560    0        1.8      693.9     3.40e+05
2005 01 04  0027   53374    1620    0        2.5      684.9     3.06e+05
2005 01 04  0028   53374    1680    1        2.6      662.8     2.95e+05
2005 01 04  0029   53374    1740    0        1.9      671.1     3.60e+05
2005 01 04  0030   53374    1800    0        2.0      669.6     3.55e+05
2005 01 04  0031   53374    1860    9    -9999.9    -9999.9    -1.00e+05
2005 01 04  0032   53374    1920    1        2.2      655.4     3.57e+05
2005 01 04  0033   53374    1980    1        2.2      656.1     3.34e+05
2005 01 04  0034   53374    2040    0        2.3      654.0     3.06e+05
2005 01 04  0035   53374    2100    0        2.1      662.3     3.41e+05
2005 01 04  0036   53374    2160    0        2.1      662.3     3.41e+05
2005 01 04  0037   53374    2220    0        2.2      656.8     3.27e+05
2005 01 04  0038   53374    2280    0        2.3      654.2     3.05e+05
2005 01 04  0039   53374    2340    0        2.3      656.3     3.27e+05
2005 01 04  0040   53374    2400    0        2.7      656.1     2.90e+05
2005 01 04  0041   53374    2460    0        2.8      653.6     3.12e+05
2005 01 04  0042   53374    2520    0        2.7      654.4     2.90e+05
2005 01 04  0043   53374    2580    0        2.6      653.7     2.88e+05
2005 01 04  0044   53374    2640    0        2.5      655.6     2.83e+05
2005 01 04  0045   53374    2700    0        2.9      653.6     2.74e+05
2005 01 04  0046   53374    2760    0        2.6      657.5     2.78e+05
2005 01 04  0047   53374    2820    0        2.6      658.9     2.99e+05
2005 01 04  0048   53374    2880    0        2.5      654.7     2.77e+05
2005 01 04  0049   53374    2940    0        2.3      655.2     2.26e+05
2005 01 04  0050   53374    3000    0        2.5      656.4     2.82e+05
2005 01 04  0051   53374    3060    0        2.7      656.4     2.97e+05
2005 01 04  0052   53374    3120    0        2.7      656.4     2.97e+05
2005 01 04  0053   53374    3180    0        2.7      654.4     2.78e+05
2005 01 04  0054   53374    3240    0        2.5      658.6     3.11e+05
2005 01 04  0055   53374    3300    0        2.6      652.3     2.77e+05
2005 01 04  0056   53374    3360    0        2.7      651.6     3.18e+05
2005 01 04  0057   53374    3420    0        2.6      655.8     2.92e+05
2005 01 04  0058   53374    3480    0        2.6      654.2     2.89e+05
2005 01 04  0059   53374    3540    0        2.7      655.2     2.72e+05
2005 01 04  0100   53374    3600    0        2.4      660.5     2.97e+05
2005 01 04  0101   53374    3660    0        2.6      659.6     2.73e+05
2005 01 04  0102   53374    3720    0        2.6      657.7     2.79e+05
2005 01 04  0103   53374    3780    0        2.2      658.0     2.61e+05
2005 01 04  0104   53374    3840    9    -9999.9    -9999.9    -1.00e+05
2005 01 04  0105   53374    3900    0        3.1      649.9     3.04e+05
2005 01 04  0106   53374    3960    1        2.7      653.6     2.87e+05
2005 01 04  0107   53374    4020    0        2.1      660.4     2.64e+05
2005 01 04  0108   53374    4080    0        2.1      660.4     2.64e+05
2005 01 04  0109   53374    4140    0        2.4      663.1     3.09e+05
2005 01 04  0110   53374    4200    0        2.8      656.1     2.83e+05
2005 01 04  0111   53374    4260    0        2.5      655.4     2.79e+05
2005 01 04  0112   53374    4320    0        2.7      651.5     2.67e+05
2005 01 04  0113   53374    4380    0        2.7      653.2     2.45e+05
2005 01 04  0114   53374    4440    1        2.6      654.7     2.77e+05
2005 01 04  0115   53374    4500    0        2.7      651.5     2.71e+05
2005 01 04  0116   53374    4560    0        2.8      652.7     2.68e+05
2005 01 04  0117   53374    4620    0        2.5      654.2     2.55e+05
2005 01 04  0118   53374    4680    0        2.8      653.6     2.73e+05
2005 01 04  0119   53374    4740    0        2.7      653.0     2.85e+05
2005 01 04  0120   53374    4800    0        2.3      656.8     2.72e+05
2005 01 04  0121   53374    4860    0        2.7      656.5     2.88e+05
2005 01 04  0122   53374    4920    0        2.7      660.5     3.04e+05
2005 01 04  0123   53374    4980    0        2.8      659.0     3.01e+05
2005 01 04  0124   53374    5040    0        2.8      659.0     3.01e+05
2005 01 04  0125   53374    5100    0        2.9      662.1     3.35e+05
2005 01 04  0126   53374    5160    0        2.3      660.4     2.39e+05
2005 01 04  0127   53374    5220    0        2.9      654.7     2.85e+05
2005 01 04  0128   53374    5280    1        2.6      659.6     2.83e+05
2005 01 04  0129   53374    5340    0        2.6      660.6     2.77e+05
2005 01 04  0130   53374    5400    0        2.8      657.6     2.78e+05
2005 01 04  0131   53374    5460    0        2.4      653.0     2.80e+05
2005 01 04  0132   53374    5520    0        2.6      650.9     2.84e+05
2005 01 04  0133   53374    5580    1        2.5      656.6     3.02e+05
2005 01 04  0134   53374    5640    0        2.6      657.1     2.77e+05
2005 01 04  0135   53374    5700    0        2.5      659.3     2.49e+05
2005 01 04  0136   53374    5760    0        2.4      659.9     2.65e+05
2005 01 04  0137   53374    5820    9    -9999.9    -9999.9    -1.00e+05
