:Data_list: 20050105_ace_mag_1m.txt
:Created: 2005 Jan 06 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2005 01 05  0000   53375       0    0    -2.5     3.4    -3.5     5.5   -39.4   126.5
2005 01 05  0001   53375      60    0    -3.6     3.1    -2.6     5.4   -29.1   139.2
2005 01 05  0002   53375     120    0    -3.7     3.8    -0.2     5.3    -2.4   133.8
2005 01 05  0003   53375     180    0    -3.8     3.7     1.3     5.5    13.8   135.6
2005 01 05  0004   53375     240    0    -3.1     4.5     1.1     5.6    11.5   124.6
2005 01 05  0005   53375     300    0    -3.7     4.1    -0.7     5.6    -7.3   132.3
2005 01 05  0006   53375     360    0    -3.2     4.3    -1.7     5.6   -17.6   126.1
2005 01 05  0007   53375     420    0    -3.3     4.4    -1.4     5.7   -14.1   126.9
2005 01 05  0008   53375     480    0    -2.7     4.5    -2.3     5.7   -23.6   120.9
2005 01 05  0009   53375     540    0    -1.4     4.9    -2.3     5.6   -24.3   106.5
2005 01 05  0010   53375     600    0    -3.2     3.3     0.7     4.7     8.8   134.9
2005 01 05  0011   53375     660    0    -4.5     3.3    -0.0     5.6    -0.0   143.4
2005 01 05  0012   53375     720    0    -4.4     3.6     0.2     5.7     1.9   140.9
2005 01 05  0013   53375     780    0    -3.7     4.4    -0.4     5.8    -3.6   129.6
2005 01 05  0014   53375     840    0    -3.6     4.4    -0.7     5.7    -7.0   129.0
2005 01 05  0015   53375     900    0    -3.8     4.2    -0.4     5.7    -4.5   132.4
2005 01 05  0016   53375     960    0    -4.3     3.6     0.1     5.6     0.7   140.0
2005 01 05  0017   53375    1020    0    -4.6     3.1    -0.2     5.6    -2.5   146.0
2005 01 05  0018   53375    1080    0    -3.9     3.0    -2.7     5.6   -28.6   141.8
2005 01 05  0019   53375    1140    0    -3.2     3.0    -1.9     4.8   -23.6   136.9
2005 01 05  0020   53375    1200    0    -4.6     2.7     1.5     5.5    16.2   149.6
2005 01 05  0021   53375    1260    0    -4.4     3.4     0.9     5.6     9.4   142.6
2005 01 05  0022   53375    1320    0    -4.7     3.3    -0.1     5.7    -1.3   144.7
2005 01 05  0023   53375    1380    0    -4.8     3.2    -0.6     5.8    -5.6   146.3
2005 01 05  0024   53375    1440    0    -4.9     3.0    -0.7     5.8    -6.7   148.3
2005 01 05  0025   53375    1500    0    -5.3     2.1     0.5     5.8     4.7   158.3
2005 01 05  0026   53375    1560    0    -5.4     1.5     0.6     5.6     6.3   164.2
2005 01 05  0027   53375    1620    0    -5.1     0.2     2.5     5.6    25.9   177.5
2005 01 05  0028   53375    1680    0    -4.4     2.9    -0.9     5.3    -9.4   146.2
2005 01 05  0029   53375    1740    0    -4.7     0.8     0.9     4.9    10.7   170.6
2005 01 05  0030   53375    1800    0    -4.8     1.3     2.1     5.5    23.2   164.7
2005 01 05  0031   53375    1860    0    -3.5     3.5     1.9     5.3    20.8   135.2
2005 01 05  0032   53375    1920    0    -2.6     3.6     0.5     4.5     6.5   125.9
2005 01 05  0033   53375    1980    0    -2.3     4.3    -2.7     5.5   -29.0   117.8
2005 01 05  0034   53375    2040    0    -2.0     4.5    -2.6     5.6   -28.0   114.2
2005 01 05  0035   53375    2100    0    -2.7     4.7    -1.7     5.7   -17.2   119.3
2005 01 05  0036   53375    2160    0    -2.8     4.7    -1.0     5.6   -10.2   120.7
2005 01 05  0037   53375    2220    0    -2.7     4.8    -1.1     5.6   -11.0   118.8
2005 01 05  0038   53375    2280    0    -1.7     5.1    -1.6     5.6   -16.2   108.7
2005 01 05  0039   53375    2340    0    -0.9     4.9    -2.3     5.5   -24.8   100.0
2005 01 05  0040   53375    2400    0    -4.9     0.5     2.2     5.4    23.4   174.0
2005 01 05  0041   53375    2460    0    -4.9     2.1     1.2     5.4    12.4   156.7
2005 01 05  0042   53375    2520    0    -5.4    -0.3     0.4     5.4     3.8   182.8
2005 01 05  0043   53375    2580    0    -4.6     2.4     0.9     5.2     9.4   152.9
2005 01 05  0044   53375    2640    0    -3.4     4.3     0.6     5.5     6.3   128.7
2005 01 05  0045   53375    2700    0    -3.1     4.6     0.4     5.6     3.6   124.0
2005 01 05  0046   53375    2760    0    -2.1     5.0    -0.3     5.4    -3.0   112.9
2005 01 05  0047   53375    2820    0    -2.3     4.8     0.4     5.3     4.4   115.5
2005 01 05  0048   53375    2880    0    -3.0     4.5     0.3     5.4     2.7   123.1
2005 01 05  0049   53375    2940    0    -2.7     4.8    -0.3     5.5    -2.8   119.0
2005 01 05  0050   53375    3000    0    -2.9     4.8    -0.0     5.6    -0.3   121.7
2005 01 05  0051   53375    3060    0    -2.7     4.8    -0.2     5.6    -2.0   119.6
2005 01 05  0052   53375    3120    0    -3.3     4.4     0.6     5.5     5.9   126.6
2005 01 05  0053   53375    3180    0    -3.3     4.4     0.3     5.5     2.8   126.7
2005 01 05  0054   53375    3240    0    -2.9     4.6    -0.2     5.5    -2.1   122.8
2005 01 05  0055   53375    3300    0    -3.2     4.4    -0.0     5.4    -0.5   126.0
2005 01 05  0056   53375    3360    0    -2.8     4.6     0.2     5.4     1.8   121.4
2005 01 05  0057   53375    3420    0    -2.8     4.6    -0.3     5.4    -3.1   121.3
2005 01 05  0058   53375    3480    0    -3.1     4.5    -0.8     5.5    -8.5   124.7
2005 01 05  0059   53375    3540    0    -3.7     4.0     0.1     5.5     0.6   132.3
2005 01 05  0100   53375    3600    0    -3.2     4.4    -0.5     5.4    -4.9   126.3
2005 01 05  0101   53375    3660    0    -3.2     4.4     0.3     5.5     3.1   125.8
2005 01 05  0102   53375    3720    0    -3.0     4.5     0.4     5.4     4.7   123.2
2005 01 05  0103   53375    3780    0    -3.2     4.3     1.2     5.5    13.1   126.6
2005 01 05  0104   53375    3840    0    -3.3     4.2     0.6     5.4     6.9   128.7
2005 01 05  0105   53375    3900    0    -3.3     4.0    -1.1     5.3   -12.0   128.9
2005 01 05  0106   53375    3960    0    -3.6     4.2    -0.1     5.5    -0.9   130.1
2005 01 05  0107   53375    4020    0    -3.5     4.1     0.9     5.4     9.5   130.8
2005 01 05  0108   53375    4080    0    -3.5     4.2     0.5     5.5     5.2   129.6
2005 01 05  0109   53375    4140    0    -2.8     4.7     0.2     5.5     1.7   121.3
2005 01 05  0110   53375    4200    0    -2.7     4.7     0.5     5.4     5.4   120.3
2005 01 05  0111   53375    4260    0    -2.1     5.1     0.4     5.5     4.6   112.7
2005 01 05  0112   53375    4320    0    -2.3     4.9     0.5     5.5     5.1   115.2
2005 01 05  0113   53375    4380    0    -1.6     5.1    -0.0     5.4    -0.1   107.3
2005 01 05  0114   53375    4440    0    -1.5     5.2    -1.1     5.5   -11.6   105.8
2005 01 05  0115   53375    4500    0    -1.0     5.2    -1.3     5.4   -13.8   101.4
2005 01 05  0116   53375    4560    0    -1.8     4.9    -1.0     5.3   -11.4   109.9
2005 01 05  0117   53375    4620    0    -1.8     5.1    -0.1     5.4    -1.1   109.5
2005 01 05  0118   53375    4680    0    -2.1     5.0    -0.7     5.5    -7.6   112.6
2005 01 05  0119   53375    4740    0    -2.9     4.6    -0.8     5.5    -8.2   122.0
2005 01 05  0120   53375    4800    0    -3.1     4.5    -1.1     5.6   -11.7   125.1
2005 01 05  0121   53375    4860    0    -2.9     4.5    -1.1     5.5   -11.4   123.0
2005 01 05  0122   53375    4920    0    -1.6     5.1    -0.9     5.4    -9.2   107.2
2005 01 05  0123   53375    4980    0    -1.3     5.1    -1.5     5.4   -16.4   104.5
2005 01 05  0124   53375    5040    0    -1.7     4.8    -1.6     5.3   -17.4   109.2
2005 01 05  0125   53375    5100    0    -4.4     3.3     0.1     5.5     0.7   142.8
2005 01 05  0126   53375    5160    0    -3.3     4.4     0.0     5.5     0.3   127.1
2005 01 05  0127   53375    5220    0    -3.7     4.2     0.5     5.6     5.1   131.4
2005 01 05  0128   53375    5280    0    -3.3     4.5    -0.0     5.6    -0.1   126.0
2005 01 05  0129   53375    5340    0    -4.0     3.6     0.4     5.4     4.3   138.1
2005 01 05  0130   53375    5400    0    -4.6     3.1     0.5     5.5     5.2   145.8
2005 01 05  0131   53375    5460    0    -5.2     1.5     1.0     5.5    10.3   164.0
2005 01 05  0132   53375    5520    0    -4.5     3.0     1.3     5.6    13.6   146.8
2005 01 05  0133   53375    5580    0    -4.5     3.3    -0.7     5.6    -6.9   143.8
2005 01 05  0134   53375    5640    0    -3.8     3.5    -0.9     5.3    -9.9   137.3
2005 01 05  0135   53375    5700    0    -3.9     3.9     0.6     5.5     6.4   134.6
2005 01 05  0136   53375    5760    0    -4.1     3.6    -1.0     5.6   -10.6   138.6
2005 01 05  0137   53375    5820    0    -3.7     4.2    -0.6     5.6    -6.5   131.3
2005 01 05  0138   53375    5880    0    -3.5     4.1    -1.4     5.6   -14.6   130.3
2005 01 05  0139   53375    5940    0    -3.5     4.2    -1.2     5.6   -12.3   129.8
2005 01 05  0140   53375    6000    0    -1.4     4.7    -2.1     5.3   -23.0   106.5
2005 01 05  0141   53375    6060    0    -0.2     4.6    -2.6     5.3   -29.8    92.7
2005 01 05  0142   53375    6120    0    -0.6     4.4    -2.9     5.3   -32.9    97.4
2005 01 05  0143   53375    6180    0    -0.8     4.5    -2.7     5.3   -30.8    99.7
2005 01 05  0144   53375    6240    0    -0.9     4.7    -2.2     5.3   -24.9   100.8
2005 01 05  0145   53375    6300    0    -1.6     4.7    -2.1     5.4   -23.2   109.1
2005 01 05  0146   53375    6360    0    -0.6     5.0    -1.8     5.3   -19.4    96.6
2005 01 05  0147   53375    6420    0    -0.9     5.0    -1.7     5.4   -18.5   100.6
2005 01 05  0148   53375    6480    0    -1.1     4.9    -1.9     5.4   -21.1   102.8
2005 01 05  0149   53375    6540    0    -0.4     4.9    -2.1     5.3   -23.6    94.2
2005 01 05  0150   53375    6600    0    -0.6     4.9    -2.2     5.4   -24.2    96.8
2005 01 05  0151   53375    6660    0    -0.2     4.8    -2.3     5.4   -25.1    92.2
2005 01 05  0152   53375    6720    0     0.3     4.8    -2.3     5.3   -25.4    85.9
2005 01 05  0153   53375    6780    0     0.8     4.7    -2.3     5.3   -25.4    80.4
2005 01 05  0154   53375    6840    0     1.4     4.7    -2.0     5.2   -21.9    73.4
2005 01 05  0155   53375    6900    0     0.3     5.0    -1.7     5.3   -19.1    87.0
2005 01 05  0156   53375    6960    0    -0.9     5.2    -0.9     5.4    -9.5    99.2
