:Data_list: 20050613_ace_sis_5m.txt
:Created: 2005 Jun 14 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2005 06 13  0000    53534       0      0    1.19e+00    0    8.19e-01
2005 06 13  0005    53534     300      0    1.19e+00    0    8.30e-01
2005 06 13  0010    53534     600      0    1.18e+00    0    8.14e-01
2005 06 13  0015    53534     900      0    1.22e+00    0    8.47e-01
2005 06 13  0020    53534    1200      0    1.19e+00    0    8.28e-01
2005 06 13  0025    53534    1500      0    1.19e+00    0    8.19e-01
2005 06 13  0030    53534    1800      0    1.20e+00    0    8.25e-01
2005 06 13  0035    53534    2100      0    1.18e+00    0    8.13e-01
2005 06 13  0040    53534    2400      0    1.17e+00    0    8.14e-01
2005 06 13  0045    53534    2700      0    1.22e+00    0    8.48e-01
2005 06 13  0050    53534    3000      0    1.21e+00    0    8.41e-01
2005 06 13  0055    53534    3300      0    1.18e+00    0    8.12e-01
2005 06 13  0100    53534    3600      0    1.20e+00    0    8.34e-01
2005 06 13  0105    53534    3900      0    1.22e+00    0    8.51e-01
2005 06 13  0110    53534    4200      0    1.19e+00    0    8.20e-01
2005 06 13  0115    53534    4500      0    1.19e+00    0    8.22e-01
2005 06 13  0120    53534    4800      0    1.16e+00    0    8.08e-01
2005 06 13  0125    53534    5100      0    1.23e+00    0    8.57e-01
2005 06 13  0130    53534    5400      0    1.20e+00    0    8.32e-01
2005 06 13  0135    53534    5700      0    1.19e+00    0    8.31e-01
2005 06 13  0140    53534    6000      0    1.21e+00    0    8.40e-01
2005 06 13  0145    53534    6300      0    1.20e+00    0    8.32e-01
2005 06 13  0150    53534    6600      0    1.18e+00    0    8.19e-01
2005 06 13  0155    53534    6900      0    1.17e+00    0    8.10e-01
2005 06 13  0200    53534    7200      0    1.16e+00    0    8.00e-01
2005 06 13  0205    53534    7500      0    1.17e+00    0    8.16e-01
2005 06 13  0210    53534    7800      0    1.19e+00    0    8.27e-01
2005 06 13  0215    53534    8100      0    1.19e+00    0    8.22e-01
2005 06 13  0220    53534    8400      0    1.20e+00    0    8.29e-01
2005 06 13  0225    53534    8700      0    1.15e+00    0    8.02e-01
2005 06 13  0230    53534    9000      0    1.16e+00    0    8.13e-01
2005 06 13  0235    53534    9300      0    1.19e+00    0    8.29e-01
2005 06 13  0240    53534    9600      0    1.18e+00    0    8.13e-01
2005 06 13  0245    53534    9900      0    1.18e+00    0    8.12e-01
2005 06 13  0250    53534   10200      0    1.17e+00    0    8.16e-01
2005 06 13  0255    53534   10500      0    1.19e+00    0    8.24e-01
2005 06 13  0300    53534   10800      0    1.20e+00    0    8.30e-01
2005 06 13  0305    53534   11100      0    1.18e+00    0    8.21e-01
2005 06 13  0310    53534   11400      0    1.18e+00    0    8.21e-01
2005 06 13  0315    53534   11700      0    1.15e+00    0    8.01e-01
2005 06 13  0320    53534   12000      0    1.18e+00    0    8.30e-01
2005 06 13  0325    53534   12300      0    1.18e+00    0    8.23e-01
2005 06 13  0330    53534   12600      0    1.22e+00    0    8.51e-01
2005 06 13  0335    53534   12900      0    1.23e+00    0    8.61e-01
2005 06 13  0340    53534   13200      0    1.20e+00    0    8.33e-01
2005 06 13  0345    53534   13500      0    1.23e+00    0    8.52e-01
2005 06 13  0350    53534   13800      0    1.20e+00    0    8.36e-01
2005 06 13  0355    53534   14100      0    1.22e+00    0    8.47e-01
2005 06 13  0400    53534   14400      0    1.21e+00    0    8.52e-01
2005 06 13  0405    53534   14700      0    1.19e+00    0    8.31e-01
2005 06 13  0410    53534   15000      0    1.21e+00    0    8.38e-01
2005 06 13  0415    53534   15300      0    1.22e+00    0    8.56e-01
2005 06 13  0420    53534   15600      0    1.23e+00    0    8.50e-01
2005 06 13  0425    53534   15900      0    1.22e+00    0    8.54e-01
2005 06 13  0430    53534   16200      0    1.22e+00    0    8.48e-01
2005 06 13  0435    53534   16500      0    1.23e+00    0    8.57e-01
2005 06 13  0440    53534   16800      0    1.21e+00    0    8.50e-01
2005 06 13  0445    53534   17100      0    1.21e+00    0    8.40e-01
2005 06 13  0450    53534   17400      0    1.20e+00    0    8.30e-01
2005 06 13  0455    53534   17700      0    1.19e+00    0    8.27e-01
2005 06 13  0500    53534   18000      0    1.19e+00    0    8.33e-01
2005 06 13  0505    53534   18300      0    1.20e+00    0    8.30e-01
2005 06 13  0510    53534   18600      0    1.18e+00    0    8.19e-01
2005 06 13  0515    53534   18900      0    1.20e+00    0    8.40e-01
2005 06 13  0520    53534   19200      0    1.19e+00    0    8.29e-01
2005 06 13  0525    53534   19500      0    1.21e+00    0    8.46e-01
2005 06 13  0530    53534   19800      0    1.19e+00    0    8.32e-01
2005 06 13  0535    53534   20100      0    1.20e+00    0    8.38e-01
2005 06 13  0540    53534   20400      0    1.18e+00    0    8.15e-01
2005 06 13  0545    53534   20700      0    1.21e+00    0    8.38e-01
2005 06 13  0550    53534   21000      0    1.20e+00    0    8.30e-01
2005 06 13  0555    53534   21300      0    1.17e+00    0    8.16e-01
2005 06 13  0600    53534   21600      0    1.21e+00    0    8.37e-01
2005 06 13  0605    53534   21900      0    1.20e+00    0    8.43e-01
2005 06 13  0610    53534   22200      0    1.22e+00    0    8.50e-01
2005 06 13  0615    53534   22500      0    1.21e+00    0    8.58e-01
2005 06 13  0620    53534   22800      0    1.22e+00    0    8.51e-01
2005 06 13  0625    53534   23100      0    1.23e+00    0    8.48e-01
2005 06 13  0630    53534   23400      0    1.20e+00    0    8.24e-01
2005 06 13  0635    53534   23700      0    1.20e+00    0    8.51e-01
2005 06 13  0640    53534   24000      0    1.22e+00    0    8.47e-01
2005 06 13  0645    53534   24300      0    1.18e+00    0    8.19e-01
2005 06 13  0650    53534   24600      0    1.21e+00    0    8.38e-01
2005 06 13  0655    53534   24900      0    1.21e+00    0    8.39e-01
2005 06 13  0700    53534   25200      0    1.20e+00    0    8.42e-01
2005 06 13  0705    53534   25500      0    1.24e+00    0    8.61e-01
2005 06 13  0710    53534   25800      0    1.21e+00    0    8.43e-01
2005 06 13  0715    53534   26100      0    1.21e+00    0    8.52e-01
2005 06 13  0720    53534   26400      0    1.22e+00    0    8.50e-01
2005 06 13  0725    53534   26700      0    1.21e+00    0    8.48e-01
2005 06 13  0730    53534   27000      0    1.22e+00    0    8.43e-01
2005 06 13  0735    53534   27300      0    1.21e+00    0    8.49e-01
2005 06 13  0740    53534   27600      0    1.22e+00    0    8.39e-01
2005 06 13  0745    53534   27900      0    1.19e+00    0    8.26e-01
2005 06 13  0750    53534   28200      0    1.23e+00    0    8.63e-01
2005 06 13  0755    53534   28500      0    1.23e+00    0    8.62e-01
2005 06 13  0800    53534   28800      0    1.20e+00    0    8.40e-01
2005 06 13  0805    53534   29100      0    1.21e+00    0    8.48e-01
