:Data_list: 20050630_ace_mag_1m.txt
:Created: 2005 Jul 01 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2005 06 30  0000   53551       0    0    -3.1     5.0     0.4     5.9     4.3   121.6
2005 06 30  0001   53551      60    0    -2.0     5.0    -1.1     5.5   -11.8   111.7
2005 06 30  0002   53551     120    0    -1.7     5.3    -0.7     5.7    -7.5   107.5
2005 06 30  0003   53551     180    0    -1.2     5.3    -1.5     5.7   -15.7   102.9
2005 06 30  0004   53551     240    0    -0.9     5.3    -1.6     5.6   -16.8    99.5
2005 06 30  0005   53551     300    0    -1.1     5.2    -1.8     5.6   -18.6   102.2
2005 06 30  0006   53551     360    0    -0.9     5.1    -1.9     5.5   -20.4   100.3
2005 06 30  0007   53551     420    0     0.6     4.9    -2.2     5.4   -23.6    83.1
2005 06 30  0008   53551     480    0     0.3     4.9    -2.2     5.4   -24.5    86.0
2005 06 30  0009   53551     540    0     0.2     4.8    -2.4     5.4   -26.9    87.2
2005 06 30  0010   53551     600    0     0.5     4.5    -2.7     5.3   -30.9    84.1
2005 06 30  0011   53551     660    0    -0.1     4.7    -2.7     5.4   -29.7    91.4
2005 06 30  0012   53551     720    0     0.1     4.5    -3.0     5.4   -33.7    88.6
2005 06 30  0013   53551     780    0    -0.0     4.6    -2.4     5.2   -27.2    90.1
2005 06 30  0014   53551     840    0    -1.5     4.9    -2.1     5.5   -22.0   106.6
2005 06 30  0015   53551     900    0    -1.7     4.8    -2.4     5.6   -25.8   109.3
2005 06 30  0016   53551     960    0    -1.2     4.6    -2.8     5.5   -30.4   104.5
2005 06 30  0017   53551    1020    0    -2.4     4.8    -0.2     5.4    -2.0   116.0
2005 06 30  0018   53551    1080    0    -2.7     4.6     0.7     5.3     7.0   120.2
2005 06 30  0019   53551    1140    0    -3.1     4.4     1.3     5.5    13.5   125.2
2005 06 30  0020   53551    1200    0    -3.2     4.1     1.9     5.6    19.5   128.1
2005 06 30  0021   53551    1260    0    -3.2     3.9     2.6     5.6    27.5   129.3
2005 06 30  0022   53551    1320    0    -3.4     4.0     2.0     5.6    20.6   130.2
2005 06 30  0023   53551    1380    0    -4.1     3.3     2.2     5.7    23.1   140.9
2005 06 30  0024   53551    1440    0    -3.9     3.4     2.2     5.6    22.5   139.2
2005 06 30  0025   53551    1500    0    -3.7     3.6     2.3     5.6    24.1   136.1
2005 06 30  0026   53551    1560    0    -3.3     4.5     1.0     5.7    10.0   125.8
2005 06 30  0027   53551    1620    0    -3.1     4.6     0.7     5.6     7.5   123.7
2005 06 30  0028   53551    1680    0    -2.5     4.5     0.8     5.2     9.0   119.5
2005 06 30  0029   53551    1740    0    -1.5     5.7    -0.8     6.0    -8.1   105.2
2005 06 30  0030   53551    1800    0    -1.6     5.7    -0.9     6.0    -8.4   105.9
2005 06 30  0031   53551    1860    0    -1.6     5.7    -0.9     5.9    -9.1   105.5
2005 06 30  0032   53551    1920    0    -0.9     5.0    -2.5     5.7   -26.0   100.2
2005 06 30  0033   53551    1980    0    -0.3     4.6    -3.6     5.9   -37.9    93.5
2005 06 30  0034   53551    2040    0    -0.6     5.0    -3.1     6.0   -31.7    96.4
2005 06 30  0035   53551    2100    0    -0.9     5.0    -3.1     6.0   -31.8   100.2
2005 06 30  0036   53551    2160    0    -1.3     5.1    -2.6     5.9   -25.8   104.2
2005 06 30  0037   53551    2220    0    -1.1     5.0    -2.9     5.9   -29.7   102.6
2005 06 30  0038   53551    2280    0    -1.2     5.0    -2.9     5.8   -29.6   103.2
2005 06 30  0039   53551    2340    0    -0.6     4.9    -3.1     5.8   -32.4    97.0
2005 06 30  0040   53551    2400    0    -0.9     4.9    -3.0     5.8   -31.1   101.0
2005 06 30  0041   53551    2460    0    -0.8     4.8    -3.2     5.8   -33.1    99.6
2005 06 30  0042   53551    2520    0    -0.8     4.5    -3.5     5.8   -37.3    99.8
2005 06 30  0043   53551    2580    0    -0.8     4.8    -3.2     5.8   -33.1    99.6
2005 06 30  0044   53551    2640    0    -1.0     4.9    -2.9     5.8   -29.9   101.9
2005 06 30  0045   53551    2700    0    -0.8     4.6    -3.2     5.7   -34.4   100.3
2005 06 30  0046   53551    2760    0    -0.8     4.2    -3.7     5.7   -41.1   100.6
2005 06 30  0047   53551    2820    0    -1.3     4.4    -2.6     5.3   -28.9   106.5
2005 06 30  0048   53551    2880    0    -2.0     4.9    -0.6     5.3    -6.1   112.3
2005 06 30  0049   53551    2940    0    -2.6     4.8    -0.5     5.5    -5.6   117.9
2005 06 30  0050   53551    3000    0    -3.0     4.6    -0.8     5.5    -8.3   122.7
2005 06 30  0051   53551    3060    0    -1.9     4.9    -1.9     5.6   -20.4   111.2
2005 06 30  0052   53551    3120    0    -2.0     4.8    -2.1     5.6   -21.7   112.8
2005 06 30  0053   53551    3180    0    -1.8     4.8    -2.6     5.7   -26.7   110.8
2005 06 30  0054   53551    3240    0    -1.2     4.5    -3.0     5.5   -32.8   104.9
2005 06 30  0055   53551    3300    0    -1.3     4.6    -2.8     5.5   -30.5   105.3
2005 06 30  0056   53551    3360    0    -1.6     4.7    -2.6     5.6   -27.2   108.4
2005 06 30  0057   53551    3420    0    -2.0     4.8    -2.3     5.7   -24.1   112.2
2005 06 30  0058   53551    3480    0    -1.4     4.7    -2.6     5.6   -28.3   106.1
2005 06 30  0059   53551    3540    0    -1.0     4.6    -2.9     5.5   -31.6   102.2
2005 06 30  0100   53551    3600    0    -1.3     5.0    -2.0     5.6   -21.4   104.9
2005 06 30  0101   53551    3660    0    -2.1     5.0    -1.7     5.6   -17.1   112.5
2005 06 30  0102   53551    3720    0    -1.3     5.1    -1.8     5.5   -18.5   104.3
2005 06 30  0103   53551    3780    0     0.1     5.0    -1.8     5.3   -19.3    88.5
2005 06 30  0104   53551    3840    0     1.3     4.9    -1.4     5.3   -15.9    74.9
2005 06 30  0105   53551    3900    0    -0.3     5.3    -1.3     5.4   -13.7    93.2
2005 06 30  0106   53551    3960    0    -1.7     5.2    -1.4     5.7   -13.9   108.3
2005 06 30  0107   53551    4020    0    -2.2     5.2    -1.5     5.9   -15.3   112.5
2005 06 30  0108   53551    4080    0    -1.6     5.8     0.8     6.1     7.4   105.0
2005 06 30  0109   53551    4140    0    -1.3     5.7     0.0     5.8     0.3   102.5
2005 06 30  0110   53551    4200    0    -2.3     5.7    -1.2     6.3   -10.9   111.5
2005 06 30  0111   53551    4260    0    -2.6     5.8    -1.5     6.5   -13.3   114.3
2005 06 30  0112   53551    4320    0    -2.8     5.5    -1.8     6.4   -16.0   117.2
2005 06 30  0113   53551    4380    0    -2.9     5.4    -1.5     6.3   -14.1   117.9
2005 06 30  0114   53551    4440    0    -2.9     5.3    -1.8     6.3   -16.2   118.7
2005 06 30  0115   53551    4500    0    -2.6     5.1    -1.9     6.1   -18.2   117.3
2005 06 30  0116   53551    4560    0    -2.1     4.9    -1.7     5.6   -17.8   113.1
2005 06 30  0117   53551    4620    0    -2.1     4.9    -1.4     5.5   -15.1   113.7
2005 06 30  0118   53551    4680    0    -2.3     4.9    -1.3     5.6   -13.7   115.0
2005 06 30  0119   53551    4740    0    -1.2     5.1    -1.7     5.5   -17.9   102.8
2005 06 30  0120   53551    4800    0    -0.8     5.4    -1.7     5.7   -17.2    98.2
2005 06 30  0121   53551    4860    0    -0.7     5.3    -1.7     5.6   -18.1    97.4
2005 06 30  0122   53551    4920    0    -0.8     4.8    -2.2     5.3   -24.6    99.2
2005 06 30  0123   53551    4980    0    -2.2     4.8    -0.9     5.3    -9.8   114.6
2005 06 30  0124   53551    5040    0    -1.2     4.9    -2.0     5.4   -21.7   103.4
2005 06 30  0125   53551    5100    0    -0.6     3.7    -2.8     4.7   -37.2    98.8
2005 06 30  0126   53551    5160    0    -0.1     3.7    -3.1     4.8   -39.6    91.4
2005 06 30  0127   53551    5220    0    -0.8     4.2    -0.8     4.4   -10.3   100.4
2005 06 30  0128   53551    5280    0    -1.3     4.3    -0.5     4.6    -6.6   106.3
2005 06 30  0129   53551    5340    0    -0.3     4.3    -2.2     4.8   -27.7    93.9
2005 06 30  0130   53551    5400    0    -0.5     3.9    -3.0     5.0   -37.0    96.7
2005 06 30  0131   53551    5460    0    -0.3     3.6    -3.4     5.0   -43.6    95.2
2005 06 30  0132   53551    5520    0    -0.3     2.9    -3.5     4.6   -50.3    96.7
2005 06 30  0133   53551    5580    0    -0.9     3.2    -2.3     4.1   -34.5   106.3
2005 06 30  0134   53551    5640    0    -3.6     3.1     1.2     4.9    13.8   138.6
2005 06 30  0135   53551    5700    0    -5.0     2.5     1.7     5.8    17.0   153.1
2005 06 30  0136   53551    5760    0    -5.3     2.4     2.2     6.2    20.8   155.8
2005 06 30  0137   53551    5820    0    -5.6     2.2     1.8     6.3    16.7   158.2
2005 06 30  0138   53551    5880    0    -5.5     2.4     2.0     6.3    18.1   156.3
2005 06 30  0139   53551    5940    0    -5.4     1.9     3.0     6.5    28.0   160.5
2005 06 30  0140   53551    6000    0    -5.3     1.6     2.7     6.2    26.3   162.7
2005 06 30  0141   53551    6060    0    -5.5     1.0     2.5     6.1    24.4   169.5
2005 06 30  0142   53551    6120    0    -5.0     1.4     2.4     5.8    25.0   164.1
2005 06 30  0143   53551    6180    0    -3.3     2.9     2.7     5.2    31.0   138.8
2005 06 30  0144   53551    6240    0    -3.7     2.2     3.1     5.3    36.2   148.9
2005 06 30  0145   53551    6300    0    -4.3     1.5     3.0     5.4    33.3   160.9
2005 06 30  0146   53551    6360    0    -4.3     1.1     2.9     5.3    33.6   165.2
2005 06 30  0147   53551    6420    0    -4.3     0.7     3.5     5.6    38.8   170.4
2005 06 30  0148   53551    6480    0    -3.9    -0.0     4.0     5.5    45.7   180.3
2005 06 30  0149   53551    6540    0    -4.1     0.5     3.8     5.6    42.6   173.3
2005 06 30  0150   53551    6600    0    -4.1     0.2     4.0     5.7    44.1   177.7
2005 06 30  0151   53551    6660    0    -3.6    -0.5     4.3     5.6    50.0   187.8
2005 06 30  0152   53551    6720    0    -3.8    -1.1     3.7     5.4    43.2   195.5
2005 06 30  0153   53551    6780    0    -3.1    -1.5     4.1     5.3    49.7   205.2
2005 06 30  0154   53551    6840    0    -3.2    -0.9     4.1     5.3    50.5   196.2
2005 06 30  0155   53551    6900    0    -3.4     2.1     4.1     5.7    46.3   148.5
2005 06 30  0156   53551    6960    0    -3.8     1.5     4.1     5.8    45.0   158.3
2005 06 30  0157   53551    7020    0    -3.7     1.1     3.8     5.4    44.8   163.4
2005 06 30  0158   53551    7080    0    -2.4     2.3     2.4     4.1    35.0   135.9
2005 06 30  0159   53551    7140    0    -1.0     4.4     0.9     4.6    11.9   102.2
2005 06 30  0200   53551    7200    0    -1.0     4.2     1.1     4.5    14.8   103.3
2005 06 30  0201   53551    7260    0    -1.2     4.2     1.2     4.6    15.8   106.3
2005 06 30  0202   53551    7320    0    -1.9     4.2     1.8     5.0    21.8   113.8
2005 06 30  0203   53551    7380    0    -2.2     3.3     2.3     4.6    29.7   122.9
2005 06 30  0204   53551    7440    0    -2.4     3.2     2.6     4.8    33.3   127.3
2005 06 30  0205   53551    7500    0    -1.5    -0.3     2.2     2.7    54.5   192.6
2005 06 30  0206   53551    7560    0    -0.2    -4.7     1.3     4.8    16.1   267.7
2005 06 30  0207   53551    7620    0    -0.8    -4.0     1.9     4.5    24.7   258.4
