:Data_list: 20050818_ace_mag_1m.txt
:Created: 2005 Aug 19 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2005 08 18  0000   53600       0    0     3.5    -1.0    -0.6     3.7    -9.7   344.0
2005 08 18  0001   53600      60    0     3.7    -0.8    -0.8     3.8   -11.5   347.9
2005 08 18  0002   53600     120    0     3.8     0.3    -0.3     3.8    -5.2     4.3
2005 08 18  0003   53600     180    0     3.5     0.5     0.7     3.6    11.0     8.7
2005 08 18  0004   53600     240    0     3.0     1.5     0.8     3.5    13.0    26.5
2005 08 18  0005   53600     300    0     3.0     1.4     1.7     3.7    27.5    25.7
2005 08 18  0006   53600     360    0     2.7     0.9     2.0     3.5    34.4    19.2
2005 08 18  0007   53600     420    0     3.5     0.5     0.5     3.6     8.0     7.6
2005 08 18  0008   53600     480    0     3.7     0.1     0.6     3.8     9.8     1.2
2005 08 18  0009   53600     540    0     3.6     0.2     1.1     3.8    17.6     3.9
2005 08 18  0010   53600     600    0     3.6     0.5     1.5     3.9    22.1     8.4
2005 08 18  0011   53600     660    0     3.4     0.5     1.3     3.7    21.1     8.4
2005 08 18  0012   53600     720    0     3.3    -0.1     2.2     3.9    34.2   358.2
2005 08 18  0013   53600     780    0     3.2    -1.2     2.2     4.1    32.8   340.1
2005 08 18  0014   53600     840    0     2.4    -1.2     3.1     4.1    49.3   332.7
2005 08 18  0015   53600     900    0     2.1    -1.2     2.7     3.6    47.5   331.4
2005 08 18  0016   53600     960    0     1.8    -0.2     3.7     4.1    63.8   353.6
2005 08 18  0017   53600    1020    0     2.0    -1.0     4.0     4.6    61.2   333.1
2005 08 18  0018   53600    1080    0     2.0    -0.5     3.9     4.4    62.3   347.0
2005 08 18  0019   53600    1140    0     2.1    -0.8     3.5     4.1    57.8   338.8
2005 08 18  0020   53600    1200    0     2.2    -0.6     3.3     4.0    55.7   344.3
2005 08 18  0021   53600    1260    0     0.9    -3.9     1.7     4.3    22.7   282.7
2005 08 18  0022   53600    1320    0     0.9    -4.2     0.0     4.3     0.6   281.6
2005 08 18  0023   53600    1380    0     0.6    -3.9     2.0     4.4    27.3   279.4
2005 08 18  0024   53600    1440    0     0.6    -2.7     3.6     4.5    52.1   282.8
2005 08 18  0025   53600    1500    0     1.1    -2.5     3.3     4.3    50.3   292.7
2005 08 18  0026   53600    1560    0     1.6    -2.8     2.6     4.2    38.9   299.7
2005 08 18  0027   53600    1620    0     1.4    -3.4     2.2     4.3    30.8   292.8
2005 08 18  0028   53600    1680    0     1.7    -3.4     2.1     4.3    28.7   296.6
2005 08 18  0029   53600    1740    0     1.6    -3.5     2.0     4.3    27.3   294.0
2005 08 18  0030   53600    1800    0     1.5    -3.0     2.4     4.2    35.6   297.0
2005 08 18  0031   53600    1860    0     1.5    -3.0     2.5     4.2    36.1   296.4
2005 08 18  0032   53600    1920    0     1.5    -3.0     2.4     4.1    35.7   296.4
2005 08 18  0033   53600    1980    0     0.6    -4.2     0.1     4.2     0.7   278.8
2005 08 18  0034   53600    2040    0     1.3    -3.8    -0.9     4.1   -12.1   288.3
2005 08 18  0035   53600    2100    0     1.7    -2.5    -2.4     3.9   -38.7   303.1
2005 08 18  0036   53600    2160    0     1.6    -2.5     1.0     3.2    18.1   303.0
2005 08 18  0037   53600    2220    0     1.9    -3.0     1.6     3.9    24.4   302.8
2005 08 18  0038   53600    2280    0     2.4    -2.1     1.2     3.4    21.4   318.0
2005 08 18  0039   53600    2340    0     2.2     0.5     1.0     2.5    23.3    13.2
2005 08 18  0040   53600    2400    0     3.2     1.2     1.0     3.6    15.6    20.3
2005 08 18  0041   53600    2460    0     3.7    -0.4     0.6     3.7     8.8   354.4
2005 08 18  0042   53600    2520    0     3.7    -0.6    -0.2     3.7    -3.0   351.4
2005 08 18  0043   53600    2580    0     3.6    -0.7    -0.8     3.7   -12.8   348.4
2005 08 18  0044   53600    2640    0     3.2     0.3    -1.2     3.5   -20.8     5.3
2005 08 18  0045   53600    2700    0     3.3     0.8    -0.7     3.4   -11.4    13.3
2005 08 18  0046   53600    2760    0     3.3     1.0    -0.7     3.5   -12.3    17.5
2005 08 18  0047   53600    2820    0     3.4     0.9    -0.6     3.6    -9.6    14.0
2005 08 18  0048   53600    2880    0     3.6     0.6    -0.2     3.6    -3.2     8.8
2005 08 18  0049   53600    2940    0     3.2     0.7    -0.2     3.3    -3.5    12.8
2005 08 18  0050   53600    3000    0     3.5    -0.3     0.3     3.5     4.5   355.1
2005 08 18  0051   53600    3060    0     3.2    -0.6     1.6     3.6    25.7   348.7
2005 08 18  0052   53600    3120    0     3.3    -1.0     0.9     3.5    13.9   342.8
2005 08 18  0053   53600    3180    0     2.6    -1.0     1.3     3.0    24.5   339.7
2005 08 18  0054   53600    3240    0     1.7     0.3     1.0     2.0    30.3    10.0
2005 08 18  0055   53600    3300    0     2.2     2.3     1.0     3.3    17.3    47.1
2005 08 18  0056   53600    3360    0     2.7    -0.0     1.8     3.3    34.0   359.3
2005 08 18  0057   53600    3420    0     1.7    -2.9     1.6     3.7    25.5   301.3
2005 08 18  0058   53600    3480    0     2.3    -1.2     1.9     3.2    36.6   332.8
2005 08 18  0059   53600    3540    0     3.0     0.0     1.8     3.5    31.5     0.9
2005 08 18  0100   53600    3600    0     1.8    -2.2     2.4     3.7    39.6   309.8
2005 08 18  0101   53600    3660    0     2.0    -1.9     2.1     3.5    37.2   316.8
2005 08 18  0102   53600    3720    0     2.0    -1.0     1.7     2.8    36.8   334.1
2005 08 18  0103   53600    3780    0     2.2     2.5    -0.4     3.4    -6.5    49.2
2005 08 18  0104   53600    3840    0     2.7     2.0     0.1     3.4     0.9    35.8
2005 08 18  0105   53600    3900    0     2.6     2.0     0.9     3.4    16.0    37.8
2005 08 18  0106   53600    3960    0     2.7     2.0     1.4     3.6    22.1    36.6
2005 08 18  0107   53600    4020    0     2.3     1.5     1.6     3.2    29.3    33.2
2005 08 18  0108   53600    4080    0     2.9     0.3    -1.5     3.3   -26.7     5.5
2005 08 18  0109   53600    4140    0     3.3     0.6    -1.4     3.6   -22.7    10.3
2005 08 18  0110   53600    4200    0     3.3     1.8    -0.0     3.8    -0.5    28.6
2005 08 18  0111   53600    4260    0     2.7     1.9     1.2     3.5    19.2    34.9
2005 08 18  0112   53600    4320    0     2.0     1.4     1.3     2.7    27.6    34.1
2005 08 18  0113   53600    4380    0     0.7     1.6     0.7     1.9    21.4    66.2
2005 08 18  0114   53600    4440    0     1.8     0.2     1.9     2.6    45.8     6.4
2005 08 18  0115   53600    4500    0     2.2    -0.4     1.0     2.4    23.7   349.9
2005 08 18  0116   53600    4560    0     2.0    -0.4     1.5     2.5    36.3   348.8
2005 08 18  0117   53600    4620    0    -0.1    -2.9     2.5     3.9    40.2   268.9
2005 08 18  0118   53600    4680    0     0.6    -2.2     3.0     3.7    53.4   285.2
2005 08 18  0119   53600    4740    0     1.3    -1.9     3.1     3.8    53.5   304.4
2005 08 18  0120   53600    4800    0     0.8    -2.2     3.3     4.1    54.0   290.2
2005 08 18  0121   53600    4860    0     1.1    -2.2     3.4     4.2    53.9   296.9
2005 08 18  0122   53600    4920    0     1.0    -2.5     3.5     4.4    52.2   291.0
2005 08 18  0123   53600    4980    0    -0.1    -3.2     3.4     4.7    46.0   267.4
2005 08 18  0124   53600    5040    0     1.7    -0.8     2.3     3.0    51.3   333.7
2005 08 18  0125   53600    5100    0     3.1    -0.3     2.5     4.0    38.2   354.7
2005 08 18  0126   53600    5160    0     3.5    -1.5     1.5     4.1    21.3   337.3
2005 08 18  0127   53600    5220    0     2.4    -1.8     3.0     4.3    45.0   322.9
2005 08 18  0128   53600    5280    0     2.3    -1.7     3.6     4.6    52.3   323.4
2005 08 18  0129   53600    5340    0     2.5    -2.3     2.8     4.4    39.6   317.4
2005 08 18  0130   53600    5400    0     2.7    -3.5     0.5     4.4     6.3   307.1
2005 08 18  0131   53600    5460    0     2.1    -3.7     0.5     4.3     7.2   299.8
2005 08 18  0132   53600    5520    0     2.5    -3.4     0.9     4.3    12.1   306.3
