:Data_list: 20050904_ace_mag_1m.txt
:Created: 2005 Sep 05 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2005 09 04  0000   53617       0    0    -5.5     0.5    -1.3     5.6   -13.8   174.3
2005 09 04  0001   53617      60    0    -5.4     0.6    -1.2     5.5   -12.3   173.9
2005 09 04  0002   53617     120    0    -5.1     1.1    -0.7     5.3    -7.3   167.7
2005 09 04  0003   53617     180    0    -5.5    -0.0    -0.9     5.6    -9.5   180.4
2005 09 04  0004   53617     240    0    -5.5     0.0    -0.7     5.5    -7.4   179.9
2005 09 04  0005   53617     300    0    -5.4     0.3    -0.3     5.5    -3.6   176.5
2005 09 04  0006   53617     360    0    -5.6     0.4     0.2     5.7     2.1   175.7
2005 09 04  0007   53617     420    0    -5.6     0.4     0.4     5.7     4.3   176.2
2005 09 04  0008   53617     480    0    -5.5     0.3     0.5     5.6     5.7   177.0
2005 09 04  0009   53617     540    0    -5.2     0.9     0.1     5.3     0.6   170.0
2005 09 04  0010   53617     600    0    -5.1     1.0    -0.2     5.2    -2.1   168.6
2005 09 04  0011   53617     660    0    -5.2     1.4     0.2     5.3     2.6   165.2
2005 09 04  0012   53617     720    0    -5.1     1.6    -0.2     5.3    -2.1   162.4
2005 09 04  0013   53617     780    0    -5.1     1.6     0.0     5.3     0.5   162.6
2005 09 04  0014   53617     840    0    -5.1     1.1     0.9     5.3     9.8   167.5
2005 09 04  0015   53617     900    0    -4.8     2.3    -0.4     5.3    -4.5   154.4
2005 09 04  0016   53617     960    0    -5.1     1.8     0.0     5.4     0.4   160.3
2005 09 04  0017   53617    1020    0    -5.2     1.3     0.5     5.4     5.5   165.9
2005 09 04  0018   53617    1080    0    -5.0     1.8     0.5     5.3     5.2   160.3
2005 09 04  0019   53617    1140    0    -5.2     1.5     0.3     5.5     3.2   163.6
2005 09 04  0020   53617    1200    0    -5.4     1.6    -0.0     5.6    -0.1   163.3
2005 09 04  0021   53617    1260    0    -5.4     1.9     0.0     5.7     0.2   160.6
2005 09 04  0022   53617    1320    0    -5.5     2.0    -0.2     5.8    -1.6   160.1
2005 09 04  0023   53617    1380    0    -5.5     1.8    -0.3     5.8    -3.0   161.5
2005 09 04  0024   53617    1440    0    -5.5     1.6    -0.6     5.8    -5.6   164.1
2005 09 04  0025   53617    1500    0    -5.4     1.7    -0.8     5.7    -8.0   162.5
2005 09 04  0026   53617    1560    0    -5.2     1.6    -1.1     5.6   -11.7   162.7
2005 09 04  0027   53617    1620    0    -5.4     1.5    -1.2     5.7   -12.6   164.0
2005 09 04  0028   53617    1680    0    -5.4     1.6    -1.1     5.8   -11.3   163.1
2005 09 04  0029   53617    1740    0    -5.3     2.0    -1.1     5.8   -11.2   159.8
2005 09 04  0030   53617    1800    0    -5.2     1.6    -1.0     5.5   -10.7   162.4
2005 09 04  0031   53617    1860    0    -4.9     2.8    -0.4     5.7    -4.4   150.5
2005 09 04  0032   53617    1920    0    -5.4     1.3    -1.4     5.7   -14.0   167.0
2005 09 04  0033   53617    1980    0    -5.5    -1.2    -1.7     5.9   -16.9   192.1
2005 09 04  0034   53617    2040    0    -4.7    -2.5    -2.3     5.8   -24.0   207.8
2005 09 04  0035   53617    2100    0    -4.0    -4.1    -1.4     5.9   -13.8   226.0
2005 09 04  0036   53617    2160    0    -4.2    -4.1    -1.3     6.0   -12.6   224.0
2005 09 04  0037   53617    2220    0    -3.9    -4.6    -0.6     6.0    -5.6   230.1
2005 09 04  0038   53617    2280    0    -4.1    -4.4    -0.8     6.0    -7.2   227.0
2005 09 04  0039   53617    2340    0    -2.9    -5.0    -1.4     5.9   -13.5   240.0
2005 09 04  0040   53617    2400    0    -3.5    -4.6    -1.8     6.0   -17.8   233.0
2005 09 04  0041   53617    2460    0    -3.2    -4.9    -1.4     6.0   -12.9   236.6
2005 09 04  0042   53617    2520    0    -2.9    -4.5    -2.0     5.7   -20.3   237.9
2005 09 04  0043   53617    2580    0    -1.9    -4.8    -2.2     5.6   -23.0   249.0
2005 09 04  0044   53617    2640    0    -2.8    -4.6    -1.6     5.6   -16.5   238.9
2005 09 04  0045   53617    2700    0    -2.1    -4.8    -2.1     5.6   -22.2   246.2
2005 09 04  0046   53617    2760    0    -2.2    -4.9    -2.0     5.7   -20.2   246.3
2005 09 04  0047   53617    2820    0    -0.9    -5.3    -1.8     5.7   -18.5   259.9
2005 09 04  0048   53617    2880    0    -1.4    -5.3    -2.0     5.9   -19.9   255.3
2005 09 04  0049   53617    2940    0    -1.7    -5.5    -1.3     5.9   -12.8   252.7
2005 09 04  0050   53617    3000    0    -0.9    -5.7    -1.2     5.9   -11.8   261.3
2005 09 04  0051   53617    3060    0    -1.1    -5.1    -2.1     5.6   -22.2   258.0
2005 09 04  0052   53617    3120    0    -0.9    -5.2    -1.8     5.5   -18.6   259.7
2005 09 04  0053   53617    3180    0    -2.1    -4.8    -1.4     5.5   -15.2   246.4
2005 09 04  0054   53617    3240    0    -3.9    -4.5    -1.1     6.1   -10.4   228.6
2005 09 04  0055   53617    3300    0    -2.9    -4.3    -2.6     5.8   -26.6   235.9
2005 09 04  0056   53617    3360    0    -2.6    -4.5    -1.5     5.4   -16.6   239.5
2005 09 04  0057   53617    3420    0    -1.9    -5.0    -2.1     5.8   -21.7   249.7
2005 09 04  0058   53617    3480    0    -0.9    -4.9    -2.7     5.7   -28.0   259.7
2005 09 04  0059   53617    3540    0    -1.6    -5.1    -2.2     5.8   -22.0   253.1
2005 09 04  0100   53617    3600    0    -3.3    -5.0    -0.7     6.0    -6.8   236.6
2005 09 04  0101   53617    3660    0    -3.2    -5.1    -0.3     6.1    -2.6   237.6
2005 09 04  0102   53617    3720    0    -3.4    -5.0     0.3     6.1     2.5   235.4
2005 09 04  0103   53617    3780    0    -3.1    -4.4     2.4     5.9    23.8   234.2
2005 09 04  0104   53617    3840    0    -3.2    -4.6     2.0     5.9    19.6   234.8
2005 09 04  0105   53617    3900    0    -3.6    -3.7     3.0     6.0    29.8   225.2
2005 09 04  0106   53617    3960    0    -3.0    -3.4     3.7     5.9    38.6   228.8
2005 09 04  0107   53617    4020    0    -2.3    -2.9     3.9     5.4    46.6   231.0
2005 09 04  0108   53617    4080    0    -2.1    -3.0     4.4     5.8    50.1   235.0
2005 09 04  0109   53617    4140    0    -3.0    -4.1     3.0     5.9    30.1   234.2
2005 09 04  0110   53617    4200    0    -3.3    -4.3     0.7     5.4     7.2   232.4
2005 09 04  0111   53617    4260    0    -3.0    -5.1    -1.9     6.2   -17.4   239.7
2005 09 04  0112   53617    4320    0    -4.4    -4.5    -0.4     6.3    -4.0   225.4
2005 09 04  0113   53617    4380    0    -3.8    -4.9    -0.3     6.2    -3.1   232.4
2005 09 04  0114   53617    4440    0    -4.6    -3.2    -3.0     6.3   -28.6   214.8
2005 09 04  0115   53617    4500    0    -4.6    -1.9    -4.5     6.7   -41.8   202.3
2005 09 04  0116   53617    4560    0    -4.6    -1.1    -5.0     6.9   -46.4   193.9
2005 09 04  0117   53617    4620    0    -4.4    -1.8    -5.1     7.0   -46.7   202.0
2005 09 04  0118   53617    4680    0    -4.8    -2.0    -4.5     6.9   -40.5   202.9
2005 09 04  0119   53617    4740    0    -4.6    -2.0    -4.9     7.0   -44.3   204.2
2005 09 04  0120   53617    4800    0    -4.4    -3.1    -4.4     7.0   -39.4   214.7
2005 09 04  0121   53617    4860    0    -4.5    -3.7    -4.0     7.1   -34.3   219.9
2005 09 04  0122   53617    4920    0    -4.7    -3.6    -3.6     7.0   -30.9   217.5
2005 09 04  0123   53617    4980    0    -4.9    -3.5    -3.4     6.9   -29.9   215.3
2005 09 04  0124   53617    5040    0    -4.4    -3.6    -3.5     6.7   -31.4   219.4
2005 09 04  0125   53617    5100    0    -3.8    -4.7    -2.7     6.6   -23.8   230.7
2005 09 04  0126   53617    5160    0    -5.3    -1.2    -3.5     6.5   -32.8   192.8
2005 09 04  0127   53617    5220    0    -5.7    -1.2    -3.2     6.7   -28.3   192.0
2005 09 04  0128   53617    5280    0    -5.6    -1.2    -3.4     6.6   -30.5   192.1
2005 09 04  0129   53617    5340    0    -5.1    -2.2    -3.6     6.6   -33.1   203.1
2005 09 04  0130   53617    5400    0    -5.1    -2.0    -3.6     6.6   -33.5   201.6
2005 09 04  0131   53617    5460    0    -5.0    -1.8    -3.7     6.5   -35.3   200.0
2005 09 04  0132   53617    5520    0    -5.0    -1.8    -3.7     6.5   -35.0   199.4
2005 09 04  0133   53617    5580    0    -4.8    -3.3    -3.0     6.5   -27.2   215.0
2005 09 04  0134   53617    5640    0    -4.9    -3.1    -3.0     6.6   -27.6   212.2
2005 09 04  0135   53617    5700    0    -5.4    -1.9    -3.2     6.5   -28.9   198.8
2005 09 04  0136   53617    5760    0    -5.3    -2.1    -3.0     6.5   -27.6   201.7
2005 09 04  0137   53617    5820    0    -5.1    -2.5    -3.1     6.5   -28.5   206.5
2005 09 04  0138   53617    5880    0    -4.4    -2.4    -4.0     6.4   -38.4   208.5
2005 09 04  0139   53617    5940    0    -4.5    -2.7    -3.8     6.5   -35.9   211.2
2005 09 04  0140   53617    6000    0    -4.7    -3.2    -3.2     6.5   -29.6   214.3
2005 09 04  0141   53617    6060    0    -4.4    -3.6    -3.1     6.5   -29.2   219.2
2005 09 04  0142   53617    6120    0    -4.2    -4.0    -3.0     6.5   -27.4   223.5
2005 09 04  0143   53617    6180    0    -4.9    -1.6    -4.0     6.5   -37.5   198.1
2005 09 04  0144   53617    6240    0    -4.6    -3.2    -3.6     6.6   -32.8   214.5
2005 09 04  0145   53617    6300    0    -4.2    -3.4    -3.6     6.5   -33.5   219.2
2005 09 04  0146   53617    6360    0    -4.1    -3.7    -3.6     6.6   -33.6   222.2
2005 09 04  0147   53617    6420    0    -4.1    -3.9    -3.4     6.6   -31.2   223.7
2005 09 04  0148   53617    6480    0    -4.3    -3.1    -4.0     6.6   -37.3   215.9
2005 09 04  0149   53617    6540    0    -4.8    -2.7    -3.9     6.7   -35.2   209.2
2005 09 04  0150   53617    6600    0    -4.6    -3.2    -3.8     6.7   -34.0   214.4
2005 09 04  0151   53617    6660    0    -4.9    -2.6    -3.7     6.7   -33.9   207.9
2005 09 04  0152   53617    6720    0    -4.8    -3.1    -3.4     6.6   -30.6   212.7
2005 09 04  0153   53617    6780    0    -5.2    -1.1    -4.1     6.7   -37.6   192.4
2005 09 04  0154   53617    6840    0    -5.3    -0.7    -3.9     6.6   -36.6   187.5
2005 09 04  0155   53617    6900    0    -5.0    -0.4    -4.2     6.5   -40.2   184.4
2005 09 04  0156   53617    6960    0    -5.5     0.0    -3.9     6.8   -35.2   179.5
2005 09 04  0157   53617    7020    0    -5.6    -0.3    -3.8     6.8   -34.3   183.3
2005 09 04  0158   53617    7080    0    -5.7     0.0    -3.7     6.8   -33.0   179.6
2005 09 04  0159   53617    7140    0    -5.7    -0.5    -3.7     6.9   -32.9   184.6
2005 09 04  0200   53617    7200    0    -5.9    -0.4    -3.6     6.9   -31.2   184.3
2005 09 04  0201   53617    7260    0    -5.7    -0.4    -3.9     7.0   -34.4   184.0
2005 09 04  0202   53617    7320    0    -5.2    -1.5    -4.3     6.9   -38.2   195.9
2005 09 04  0203   53617    7380    0    -5.4    -0.9    -4.2     7.0   -37.6   189.5
2005 09 04  0204   53617    7440    0    -5.3    -0.7    -4.5     7.0   -40.0   187.9
2005 09 04  0205   53617    7500    0    -5.3    -0.2    -4.5     7.0   -40.3   182.3
2005 09 04  0206   53617    7560    0    -5.3    -1.1    -4.4     7.0   -39.4   192.0
2005 09 04  0207   53617    7620    0    -5.1    -1.1    -4.8     7.0   -42.6   192.6
2005 09 04  0208   53617    7680    0    -5.2    -0.7    -4.6     7.0   -41.6   187.6
2005 09 04  0209   53617    7740    0    -5.0    -0.7    -4.7     6.9   -42.8   188.5
2005 09 04  0210   53617    7800    0    -5.1    -1.1    -4.5     6.9   -41.0   191.8
2005 09 04  0211   53617    7860    0    -4.8    -1.2    -4.9     7.0   -44.9   193.8
2005 09 04  0212   53617    7920    0    -5.3    -1.2    -4.5     7.0   -39.8   192.8
2005 09 04  0213   53617    7980    0    -5.5    -1.1    -4.0     6.9   -35.3   191.6
2005 09 04  0214   53617    8040    0    -5.4    -0.8    -4.2     6.9   -37.4   188.5
2005 09 04  0215   53617    8100    0    -5.1    -0.9    -4.6     7.0   -41.3   189.6
2005 09 04  0216   53617    8160    0    -5.2    -1.6    -4.3     6.9   -38.7   197.0
2005 09 04  0217   53617    8220    0    -5.1    -1.5    -4.4     6.9   -39.4   196.3
2005 09 04  0218   53617    8280    0    -5.7     0.6    -3.2     6.6   -28.7   174.3
2005 09 04  0219   53617    8340    0    -5.9     1.0    -3.1     6.7   -27.2   170.5
2005 09 04  0220   53617    8400    0    -5.8     0.5    -3.5     6.8   -31.3   175.1
2005 09 04  0221   53617    8460    0    -5.4    -0.6    -4.1     6.8   -36.9   186.4
2005 09 04  0222   53617    8520    0    -5.4    -0.3    -4.0     6.7   -36.5   183.2
2005 09 04  0223   53617    8580    0    -4.9    -0.5    -4.6     6.8   -43.0   185.6
2005 09 04  0224   53617    8640    0    -5.5    -0.4    -3.9     6.8   -35.4   184.0
2005 09 04  0225   53617    8700    0    -5.4     0.1    -4.2     6.8   -38.4   178.6
2005 09 04  0226   53617    8760    0    -5.6     0.9    -3.9     6.9   -34.4   171.1
2005 09 04  0227   53617    8820    0    -5.2    -0.0    -4.6     7.0   -41.3   180.3
