:Data_list: 20050919_ace_sis_5m.txt
:Created: 2005 Sep 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2005 09 19  0000    53632       0      0    3.40e+00    0    1.11e+00
2005 09 19  0005    53632     300      0    3.40e+00    0    1.08e+00
2005 09 19  0010    53632     600      0    3.44e+00    0    1.10e+00
2005 09 19  0015    53632     900      0    3.51e+00    0    1.11e+00
2005 09 19  0020    53632    1200      0    3.52e+00    0    1.11e+00
2005 09 19  0025    53632    1500      0    3.44e+00    0    1.07e+00
2005 09 19  0030    53632    1800      0    3.51e+00    0    1.09e+00
2005 09 19  0035    53632    2100      0    3.41e+00    0    1.05e+00
2005 09 19  0040    53632    2400      0    3.38e+00    0    1.03e+00
2005 09 19  0045    53632    2700      0    3.49e+00    0    1.06e+00
2005 09 19  0050    53632    3000      0    3.47e+00    0    1.08e+00
2005 09 19  0055    53632    3300      0    3.40e+00    0    1.07e+00
2005 09 19  0100    53632    3600      0    3.31e+00    0    1.06e+00
2005 09 19  0105    53632    3900      0    3.24e+00    0    1.06e+00
2005 09 19  0110    53632    4200      0    3.21e+00    0    1.07e+00
2005 09 19  0115    53632    4500      0    3.21e+00    0    1.07e+00
2005 09 19  0120    53632    4800      0    3.14e+00    0    1.01e+00
2005 09 19  0125    53632    5100      0    3.21e+00    0    1.05e+00
2005 09 19  0130    53632    5400      0    3.25e+00    0    1.11e+00
2005 09 19  0135    53632    5700      0    3.24e+00    0    1.05e+00
2005 09 19  0140    53632    6000      0    3.23e+00    0    1.04e+00
