:Data_list: 20051204_ace_mag_1m.txt
:Created: 2005 Dec 05 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2005 12 04  0000   53708       0    0     0.6    -4.8     0.2     4.8     2.0   277.3
2005 12 04  0001   53708      60    0     0.9    -4.8     1.0     5.0    11.6   280.8
2005 12 04  0002   53708     120    0     0.8    -4.8     1.0     5.0    11.2   279.6
2005 12 04  0003   53708     180    0     0.8    -4.4     2.1     5.0    24.8   280.6
2005 12 04  0004   53708     240    0     0.8    -4.5     2.0     5.0    24.3   280.2
2005 12 04  0005   53708     300    0     0.9    -3.4     3.5     5.0    45.4   285.6
2005 12 04  0006   53708     360    0     0.3    -3.4     3.7     5.1    47.1   275.4
2005 12 04  0007   53708     420    0     0.1    -3.4     3.7     5.1    47.7   271.7
2005 12 04  0008   53708     480    0    -0.1    -3.5     3.6     5.0    46.2   268.5
2005 12 04  0009   53708     540    0    -0.6    -4.4     2.6     5.1    30.6   262.1
2005 12 04  0010   53708     600    0    -0.8    -3.4     4.0     5.3    49.0   256.2
2005 12 04  0011   53708     660    0    -0.7    -3.7     3.4     5.1    41.6   258.9
2005 12 04  0012   53708     720    0    -0.2    -0.1     3.1     3.1    85.2   214.4
2005 12 04  0013   53708     780    0     0.1     0.4     4.3     4.4    85.1    74.8
