:Data_list: 20060126_ace_sis_5m.txt
:Created: 2006 Jan 27 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 01 26  0000    53761       0      0    1.38e+00    0    9.69e-01
2006 01 26  0005    53761     300      0    1.39e+00    0    9.77e-01
2006 01 26  0010    53761     600      0    1.34e+00    0    9.43e-01
2006 01 26  0015    53761     900      0    1.37e+00    0    9.64e-01
2006 01 26  0020    53761    1200      0    1.39e+00    0    9.76e-01
2006 01 26  0025    53761    1500      0    1.39e+00    0    9.76e-01
2006 01 26  0030    53761    1800      0    1.42e+00    0    9.98e-01
2006 01 26  0035    53761    2100      0    1.37e+00    0    9.77e-01
2006 01 26  0040    53761    2400      0    1.40e+00    0    9.92e-01
2006 01 26  0045    53761    2700      0    1.39e+00    0    9.69e-01
2006 01 26  0050    53761    3000      0    1.37e+00    0    9.60e-01
2006 01 26  0055    53761    3300      0    1.39e+00    0    9.74e-01
2006 01 26  0100    53761    3600      0    1.39e+00    0    9.78e-01
2006 01 26  0105    53761    3900      0    1.39e+00    0    9.78e-01
2006 01 26  0110    53761    4200      0    1.37e+00    0    9.73e-01
2006 01 26  0115    53761    4500      0    1.37e+00    0    9.73e-01
2006 01 26  0120    53761    4800      0    1.40e+00    0    9.82e-01
2006 01 26  0125    53761    5100      0    1.41e+00    0    9.95e-01
2006 01 26  0130    53761    5400      0    1.35e+00    0    9.47e-01
2006 01 26  0135    53761    5700      0    1.39e+00    0    9.67e-01
2006 01 26  0140    53761    6000      0    1.37e+00    0    9.66e-01
2006 01 26  0145    53761    6300      0    1.39e+00    0    9.63e-01
2006 01 26  0150    53761    6600      0    1.36e+00    0    9.61e-01
2006 01 26  0155    53761    6900      0    1.40e+00    0    9.97e-01
2006 01 26  0200    53761    7200      0    1.39e+00    0    9.75e-01
2006 01 26  0205    53761    7500      0    1.40e+00    0    9.83e-01
2006 01 26  0210    53761    7800      0    1.35e+00    0    9.39e-01
2006 01 26  0215    53761    8100      0    1.38e+00    0    9.63e-01
2006 01 26  0220    53761    8400      0    1.37e+00    0    9.69e-01
2006 01 26  0225    53761    8700      0    1.40e+00    0    9.83e-01
2006 01 26  0230    53761    9000      0    1.38e+00    0    9.71e-01
2006 01 26  0235    53761    9300      0    1.38e+00    0    9.71e-01
2006 01 26  0240    53761    9600      0    1.40e+00    0    9.89e-01
2006 01 26  0245    53761    9900      0    1.37e+00    0    9.59e-01
2006 01 26  0250    53761   10200      0    1.37e+00    0    9.63e-01
2006 01 26  0255    53761   10500      0    1.41e+00    0    9.86e-01
2006 01 26  0300    53761   10800      0    1.40e+00    0    9.94e-01
2006 01 26  0305    53761   11100      0    1.38e+00    0    9.69e-01
2006 01 26  0310    53761   11400      0    1.36e+00    0    9.64e-01
2006 01 26  0315    53761   11700      0    1.38e+00    0    9.80e-01
2006 01 26  0320    53761   12000      0    1.35e+00    0    9.52e-01
2006 01 26  0325    53761   12300      0    1.43e+00    0    1.01e+00
2006 01 26  0330    53761   12600      0    1.41e+00    0    9.98e-01
2006 01 26  0335    53761   12900      0    1.36e+00    0    9.48e-01
2006 01 26  0340    53761   13200      0    1.38e+00    0    9.67e-01
2006 01 26  0345    53761   13500      0    1.38e+00    0    9.71e-01
2006 01 26  0350    53761   13800      0    1.40e+00    0    9.87e-01
2006 01 26  0355    53761   14100      0    1.39e+00    0    9.88e-01
2006 01 26  0400    53761   14400      0    1.38e+00    0    9.71e-01
2006 01 26  0405    53761   14700      0    1.37e+00    0    9.67e-01
2006 01 26  0410    53761   15000      0    1.37e+00    0    9.59e-01
2006 01 26  0415    53761   15300      0    1.36e+00    0    9.65e-01
2006 01 26  0420    53761   15600      0    1.40e+00    0    9.89e-01
2006 01 26  0425    53761   15900      0    1.39e+00    0    9.78e-01
2006 01 26  0430    53761   16200      0    1.41e+00    0    9.88e-01
2006 01 26  0435    53761   16500      0    1.36e+00    0    9.61e-01
2006 01 26  0440    53761   16800      0    1.41e+00    0    9.81e-01
2006 01 26  0445    53761   17100      0    1.40e+00    0    9.97e-01
2006 01 26  0450    53761   17400      0    1.37e+00    0    9.70e-01
2006 01 26  0455    53761   17700      0    1.43e+00    0    9.96e-01
2006 01 26  0500    53761   18000      0    1.38e+00    0    9.64e-01
2006 01 26  0505    53761   18300      0    1.35e+00    0    9.61e-01
2006 01 26  0510    53761   18600      0    1.39e+00    0    9.80e-01
2006 01 26  0515    53761   18900      0    1.39e+00    0    9.64e-01
2006 01 26  0520    53761   19200      0    1.36e+00    0    9.55e-01
2006 01 26  0525    53761   19500      0    1.37e+00    0    9.54e-01
2006 01 26  0530    53761   19800      0    1.38e+00    0    9.73e-01
2006 01 26  0535    53761   20100      0    1.37e+00    0    9.58e-01
2006 01 26  0540    53761   20400      0    1.38e+00    0    9.74e-01
2006 01 26  0545    53761   20700      0    1.39e+00    0    9.88e-01
2006 01 26  0550    53761   21000      0    1.40e+00    0    9.75e-01
2006 01 26  0555    53761   21300      0    1.38e+00    0    9.67e-01
2006 01 26  0600    53761   21600      0    1.38e+00    0    9.58e-01
2006 01 26  0605    53761   21900      0    1.36e+00    0    9.59e-01
2006 01 26  0610    53761   22200      0    1.41e+00    0    9.97e-01
2006 01 26  0615    53761   22500      0    1.39e+00    0    9.72e-01
2006 01 26  0620    53761   22800      0    1.34e+00    0    9.38e-01
2006 01 26  0625    53761   23100      0    1.39e+00    0    9.63e-01
2006 01 26  0630    53761   23400      0    1.38e+00    0    9.72e-01
2006 01 26  0635    53761   23700      0    1.41e+00    0    1.01e+00
2006 01 26  0640    53761   24000      0    1.36e+00    0    9.56e-01
2006 01 26  0645    53761   24300      0    1.38e+00    0    9.61e-01
2006 01 26  0650    53761   24600      0    1.39e+00    0    9.72e-01
2006 01 26  0655    53761   24900      0    1.40e+00    0    9.98e-01
2006 01 26  0700    53761   25200      0    1.36e+00    0    9.47e-01
2006 01 26  0705    53761   25500      0    1.37e+00    0    9.60e-01
2006 01 26  0710    53761   25800      0    1.35e+00    0    9.51e-01
2006 01 26  0715    53761   26100      0    1.41e+00    0    1.00e+00
2006 01 26  0720    53761   26400      0    1.38e+00    0    9.63e-01
2006 01 26  0725    53761   26700      0    1.38e+00    0    9.65e-01
2006 01 26  0730    53761   27000      0    1.39e+00    0    9.73e-01
2006 01 26  0735    53761   27300      0    1.41e+00    0    9.91e-01
2006 01 26  0740    53761   27600      0    1.39e+00    0    9.69e-01
2006 01 26  0745    53761   27900      0    1.42e+00    0    9.97e-01
2006 01 26  0750    53761   28200      0    1.41e+00    0    9.95e-01
2006 01 26  0755    53761   28500      0    1.37e+00    0    9.60e-01
2006 01 26  0800    53761   28800      0    1.40e+00    0    9.83e-01
2006 01 26  0805    53761   29100      0    1.36e+00    0    9.47e-01
2006 01 26  0810    53761   29400      0    1.43e+00    0    1.01e+00
2006 01 26  0815    53761   29700      0    1.40e+00    0    9.87e-01
2006 01 26  0820    53761   30000      0    1.38e+00    0    9.63e-01
2006 01 26  0825    53761   30300      0    1.37e+00    0    9.70e-01
2006 01 26  0830    53761   30600      0    1.39e+00    0    9.81e-01
2006 01 26  0835    53761   30900      0    1.39e+00    0    9.83e-01
2006 01 26  0840    53761   31200      0    1.40e+00    0    9.82e-01
2006 01 26  0845    53761   31500      0    1.39e+00    0    9.86e-01
2006 01 26  0850    53761   31800      0    1.37e+00    0    9.73e-01
2006 01 26  0855    53761   32100      0    1.43e+00    0    1.00e+00
2006 01 26  0900    53761   32400      0    1.38e+00    0    9.76e-01
2006 01 26  0905    53761   32700      0    1.38e+00    0    9.70e-01
2006 01 26  0910    53761   33000      0    1.38e+00    0    9.72e-01
2006 01 26  0915    53761   33300      0    1.40e+00    0    9.91e-01
2006 01 26  0920    53761   33600      0    1.40e+00    0    9.89e-01
2006 01 26  0925    53761   33900      0    1.39e+00    0    9.81e-01
2006 01 26  0930    53761   34200      0    1.37e+00    0    9.73e-01
2006 01 26  0935    53761   34500      0    1.39e+00    0    9.76e-01
2006 01 26  0940    53761   34800      0    1.39e+00    0    9.79e-01
2006 01 26  0945    53761   35100      0    1.38e+00    0    9.63e-01
2006 01 26  0950    53761   35400      0    1.42e+00    0    9.91e-01
2006 01 26  0955    53761   35700      0    1.40e+00    0    9.84e-01
2006 01 26  1000    53761   36000      0    1.41e+00    0    9.83e-01
2006 01 26  1005    53761   36300      0    1.41e+00    0    9.92e-01
2006 01 26  1010    53761   36600      0    1.41e+00    0    9.87e-01
2006 01 26  1015    53761   36900      0    1.39e+00    0    9.78e-01
2006 01 26  1020    53761   37200      0    1.41e+00    0    9.89e-01
2006 01 26  1025    53761   37500      0    1.42e+00    0    1.00e+00
2006 01 26  1030    53761   37800      0    1.40e+00    0    9.77e-01
2006 01 26  1035    53761   38100      0    1.38e+00    0    9.72e-01
2006 01 26  1040    53761   38400      0    1.37e+00    0    9.64e-01
2006 01 26  1045    53761   38700      0    1.40e+00    0    9.84e-01
2006 01 26  1050    53761   39000      0    1.36e+00    0    9.62e-01
2006 01 26  1055    53761   39300      0    1.41e+00    0    9.89e-01
2006 01 26  1100    53761   39600      0    1.41e+00    0    9.97e-01
2006 01 26  1105    53761   39900      0    1.37e+00    0    9.64e-01
2006 01 26  1110    53761   40200      0    1.39e+00    0    9.82e-01
2006 01 26  1115    53761   40500      0    1.40e+00    0    9.82e-01
2006 01 26  1120    53761   40800      0    1.39e+00    0    9.69e-01
