:Data_list: 20060206_ace_sis_5m.txt
:Created: 2006 Feb 07 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 02 06  0000    53772       0      0    1.44e+00    0    1.02e+00
2006 02 06  0005    53772     300      0    1.43e+00    0    1.01e+00
2006 02 06  0010    53772     600      0    1.44e+00    0    1.02e+00
2006 02 06  0015    53772     900      0    1.43e+00    0    1.00e+00
2006 02 06  0020    53772    1200      0    1.45e+00    0    1.02e+00
2006 02 06  0025    53772    1500      0    1.47e+00    0    1.03e+00
2006 02 06  0030    53772    1800      0    1.46e+00    0    1.03e+00
2006 02 06  0035    53772    2100      0    1.48e+00    0    1.04e+00
2006 02 06  0040    53772    2400      0    1.44e+00    0    1.01e+00
2006 02 06  0045    53772    2700      0    1.45e+00    0    1.02e+00
2006 02 06  0050    53772    3000      0    1.44e+00    0    1.01e+00
2006 02 06  0055    53772    3300      0    1.46e+00    0    1.02e+00
2006 02 06  0100    53772    3600      0    1.44e+00    0    1.02e+00
2006 02 06  0105    53772    3900      0    1.43e+00    0    1.01e+00
2006 02 06  0110    53772    4200      0    1.44e+00    0    1.02e+00
2006 02 06  0115    53772    4500      0    1.49e+00    0    1.05e+00
2006 02 06  0120    53772    4800      0    1.43e+00    0    1.00e+00
2006 02 06  0125    53772    5100      0    1.49e+00    0    1.04e+00
2006 02 06  0130    53772    5400      0    1.47e+00    0    1.03e+00
2006 02 06  0135    53772    5700      0    1.47e+00    0    1.03e+00
2006 02 06  0140    53772    6000      0    1.41e+00    0    9.94e-01
2006 02 06  0145    53772    6300      0    1.45e+00    0    1.00e+00
2006 02 06  0150    53772    6600      0    1.45e+00    0    1.01e+00
2006 02 06  0155    53772    6900      0    1.43e+00    0    9.97e-01
2006 02 06  0200    53772    7200      0    1.44e+00    0    1.01e+00
2006 02 06  0205    53772    7500      0    1.43e+00    0    1.00e+00
2006 02 06  0210    53772    7800      0    1.46e+00    0    1.02e+00
2006 02 06  0215    53772    8100      0    1.46e+00    0    1.03e+00
2006 02 06  0220    53772    8400      0    1.46e+00    0    1.03e+00
2006 02 06  0225    53772    8700      0    1.42e+00    0    1.00e+00
2006 02 06  0230    53772    9000      0    1.45e+00    0    1.03e+00
2006 02 06  0235    53772    9300      0    1.45e+00    0    1.02e+00
2006 02 06  0240    53772    9600      0    1.44e+00    0    1.01e+00
2006 02 06  0245    53772    9900      0    1.47e+00    0    1.03e+00
2006 02 06  0250    53772   10200      0    1.40e+00    0    9.78e-01
2006 02 06  0255    53772   10500      0    1.43e+00    0    1.01e+00
2006 02 06  0300    53772   10800      0    1.46e+00    0    1.02e+00
2006 02 06  0305    53772   11100      0    1.41e+00    0    9.93e-01
2006 02 06  0310    53772   11400      0    1.44e+00    0    1.01e+00
2006 02 06  0315    53772   11700      0    1.44e+00    0    1.03e+00
2006 02 06  0320    53772   12000      0    1.43e+00    0    1.01e+00
2006 02 06  0325    53772   12300      0    1.40e+00    0    9.85e-01
2006 02 06  0330    53772   12600      0    1.46e+00    0    1.03e+00
2006 02 06  0335    53772   12900      0    1.43e+00    0    1.01e+00
2006 02 06  0340    53772   13200      0    1.43e+00    0    1.01e+00
2006 02 06  0345    53772   13500      0    1.46e+00    0    1.02e+00
2006 02 06  0350    53772   13800      0    1.47e+00    0    1.04e+00
2006 02 06  0355    53772   14100      0    1.44e+00    0    1.01e+00
2006 02 06  0400    53772   14400      0    1.45e+00    0    1.01e+00
2006 02 06  0405    53772   14700      0    1.44e+00    0    1.01e+00
2006 02 06  0410    53772   15000      0    1.42e+00    0    9.89e-01
2006 02 06  0415    53772   15300      0    1.45e+00    0    1.02e+00
2006 02 06  0420    53772   15600      0    1.44e+00    0    1.01e+00
2006 02 06  0425    53772   15900      0    1.42e+00    0    9.97e-01
2006 02 06  0430    53772   16200      0    1.48e+00    0    1.03e+00
2006 02 06  0435    53772   16500      0    1.43e+00    0    1.01e+00
2006 02 06  0440    53772   16800      0    1.45e+00    0    1.01e+00
2006 02 06  0445    53772   17100      0    1.42e+00    0    1.00e+00
2006 02 06  0450    53772   17400      0    1.44e+00    0    1.02e+00
2006 02 06  0455    53772   17700      0    1.42e+00    0    9.94e-01
2006 02 06  0500    53772   18000      0    1.44e+00    0    1.01e+00
2006 02 06  0505    53772   18300      0    1.44e+00    0    1.01e+00
2006 02 06  0510    53772   18600      0    1.47e+00    0    1.04e+00
2006 02 06  0515    53772   18900      0    1.42e+00    0    1.00e+00
2006 02 06  0520    53772   19200      0    1.47e+00    0    1.03e+00
2006 02 06  0525    53772   19500      0    1.43e+00    0    9.92e-01
2006 02 06  0530    53772   19800      0    1.45e+00    0    1.02e+00
2006 02 06  0535    53772   20100      0    1.44e+00    0    1.01e+00
2006 02 06  0540    53772   20400      0    1.44e+00    0    1.02e+00
2006 02 06  0545    53772   20700      0    1.43e+00    0    9.94e-01
2006 02 06  0550    53772   21000      0    1.46e+00    0    1.02e+00
2006 02 06  0555    53772   21300      0    1.44e+00    0    1.02e+00
2006 02 06  0600    53772   21600      0    1.43e+00    0    1.01e+00
2006 02 06  0605    53772   21900      0    1.45e+00    0    1.02e+00
2006 02 06  0610    53772   22200      0    1.46e+00    0    1.01e+00
2006 02 06  0615    53772   22500      0    1.46e+00    0    1.02e+00
2006 02 06  0620    53772   22800      0    1.43e+00    0    1.01e+00
2006 02 06  0625    53772   23100      0    1.47e+00    0    1.02e+00
2006 02 06  0630    53772   23400      0    1.46e+00    0    1.02e+00
2006 02 06  0635    53772   23700      0    1.46e+00    0    1.03e+00
2006 02 06  0640    53772   24000      0    1.45e+00    0    1.02e+00
2006 02 06  0645    53772   24300      0    1.42e+00    0    9.94e-01
2006 02 06  0650    53772   24600      0    1.44e+00    0    1.01e+00
2006 02 06  0655    53772   24900      0    1.43e+00    0    9.99e-01
2006 02 06  0700    53772   25200      0    1.43e+00    0    1.00e+00
2006 02 06  0705    53772   25500      0    1.44e+00    0    1.00e+00
2006 02 06  0710    53772   25800      0    1.46e+00    0    1.03e+00
2006 02 06  0715    53772   26100      0    1.42e+00    0    9.86e-01
2006 02 06  0720    53772   26400      0    1.42e+00    0    1.01e+00
2006 02 06  0725    53772   26700      0    1.43e+00    0    1.01e+00
2006 02 06  0730    53772   27000      0    1.46e+00    0    1.01e+00
2006 02 06  0735    53772   27300      0    1.46e+00    0    1.01e+00
2006 02 06  0740    53772   27600      0    1.44e+00    0    1.01e+00
2006 02 06  0745    53772   27900      0    1.45e+00    0    1.01e+00
2006 02 06  0750    53772   28200      0    1.42e+00    0    9.96e-01
2006 02 06  0755    53772   28500      0    1.48e+00    0    1.04e+00
2006 02 06  0800    53772   28800      0    1.45e+00    0    1.01e+00
2006 02 06  0805    53772   29100      0    1.48e+00    0    1.04e+00
2006 02 06  0810    53772   29400      0    1.44e+00    0    1.02e+00
2006 02 06  0815    53772   29700      0    1.43e+00    0    1.01e+00
2006 02 06  0820    53772   30000      0    1.43e+00    0    1.02e+00
2006 02 06  0825    53772   30300      0    1.47e+00    0    1.04e+00
2006 02 06  0830    53772   30600      0    1.43e+00    0    1.00e+00
2006 02 06  0835    53772   30900      0    1.43e+00    0    1.01e+00
2006 02 06  0840    53772   31200      0    1.45e+00    0    1.02e+00
2006 02 06  0845    53772   31500      0    1.43e+00    0    1.01e+00
2006 02 06  0850    53772   31800      0    1.45e+00    0    1.01e+00
2006 02 06  0855    53772   32100      0    1.45e+00    0    1.02e+00
2006 02 06  0900    53772   32400      0    1.44e+00    0    1.02e+00
2006 02 06  0905    53772   32700      0    1.47e+00    0    1.03e+00
2006 02 06  0910    53772   33000      0    1.43e+00    0    9.99e-01
2006 02 06  0915    53772   33300      0    1.47e+00    0    1.04e+00
2006 02 06  0920    53772   33600      0    1.45e+00    0    1.01e+00
2006 02 06  0925    53772   33900      0    1.42e+00    0    9.90e-01
2006 02 06  0930    53772   34200      0    1.44e+00    0    1.01e+00
2006 02 06  0935    53772   34500      0    1.45e+00    0    1.02e+00
2006 02 06  0940    53772   34800      0    1.46e+00    0    1.02e+00
2006 02 06  0945    53772   35100      0    1.47e+00    0    1.02e+00
2006 02 06  0950    53772   35400      0    1.48e+00    0    1.04e+00
2006 02 06  0955    53772   35700      0    1.46e+00    0    1.02e+00
2006 02 06  1000    53772   36000      0    1.49e+00    0    1.06e+00
2006 02 06  1005    53772   36300      0    1.44e+00    0    1.01e+00
2006 02 06  1010    53772   36600      0    1.48e+00    0    1.03e+00
2006 02 06  1015    53772   36900      0    1.47e+00    0    1.04e+00
2006 02 06  1020    53772   37200      0    1.45e+00    0    1.02e+00
2006 02 06  1025    53772   37500      0    1.47e+00    0    1.04e+00
2006 02 06  1030    53772   37800      0    1.44e+00    0    1.01e+00
2006 02 06  1035    53772   38100      0    1.46e+00    0    1.02e+00
2006 02 06  1040    53772   38400      0    1.48e+00    0    1.04e+00
2006 02 06  1045    53772   38700      0    1.45e+00    0    1.01e+00
2006 02 06  1050    53772   39000      0    1.47e+00    0    1.04e+00
2006 02 06  1055    53772   39300      0    1.45e+00    0    1.00e+00
2006 02 06  1100    53772   39600      0    1.47e+00    0    1.04e+00
2006 02 06  1105    53772   39900      0    1.48e+00    0    1.04e+00
2006 02 06  1110    53772   40200      0    1.46e+00    0    1.02e+00
2006 02 06  1115    53772   40500      0    1.45e+00    0    1.02e+00
2006 02 06  1120    53772   40800      0    1.47e+00    0    1.03e+00
2006 02 06  1125    53772   41100      0    1.43e+00    0    1.00e+00
2006 02 06  1130    53772   41400      0    1.45e+00    0    1.01e+00
2006 02 06  1135    53772   41700      0    1.46e+00    0    1.01e+00
2006 02 06  1140    53772   42000      0    1.48e+00    0    1.05e+00
2006 02 06  1145    53772   42300      0    1.48e+00    0    1.04e+00
2006 02 06  1150    53772   42600      0    1.47e+00    0    1.03e+00
2006 02 06  1155    53772   42900      0    1.46e+00    0    1.04e+00
2006 02 06  1200    53772   43200      0    1.44e+00    0    1.01e+00
2006 02 06  1205    53772   43500      0    1.49e+00    0    1.04e+00
2006 02 06  1210    53772   43800      0    1.48e+00    0    1.05e+00
2006 02 06  1215    53772   44100      0    1.45e+00    0    1.02e+00
2006 02 06  1220    53772   44400      0    1.46e+00    0    1.02e+00
2006 02 06  1225    53772   44700      0    1.45e+00    0    1.02e+00
2006 02 06  1230    53772   45000      0    1.48e+00    0    1.03e+00
2006 02 06  1235    53772   45300      0    1.47e+00    0    1.02e+00
2006 02 06  1240    53772   45600      0    1.49e+00    0    1.06e+00
2006 02 06  1245    53772   45900      0    1.49e+00    0    1.06e+00
2006 02 06  1250    53772   46200      0    1.46e+00    0    1.02e+00
2006 02 06  1255    53772   46500      0    1.47e+00    0    1.03e+00
2006 02 06  1300    53772   46800      0    1.38e+00    0    9.73e-01
2006 02 06  1305    53772   47100      0    1.45e+00    0    1.03e+00
2006 02 06  1310    53772   47400      0    1.48e+00    0    1.04e+00
2006 02 06  1315    53772   47700      0    1.47e+00    0    1.04e+00
2006 02 06  1320    53772   48000      0    1.51e+00    0    1.07e+00
2006 02 06  1325    53772   48300      0    1.50e+00    0    1.05e+00
2006 02 06  1330    53772   48600      0    1.50e+00    0    1.07e+00
2006 02 06  1335    53772   48900      0    1.45e+00    0    1.01e+00
2006 02 06  1340    53772   49200      0    1.44e+00    0    1.00e+00
2006 02 06  1345    53772   49500      0    1.49e+00    0    1.05e+00
2006 02 06  1350    53772   49800      0    1.44e+00    0    1.01e+00
2006 02 06  1355    53772   50100      0    1.46e+00    0    1.03e+00
2006 02 06  1400    53772   50400      0    1.44e+00    0    1.01e+00
2006 02 06  1405    53772   50700      0    1.44e+00    0    1.01e+00
2006 02 06  1410    53772   51000      0    1.45e+00    0    1.03e+00
2006 02 06  1415    53772   51300      0    1.48e+00    0    1.05e+00
2006 02 06  1420    53772   51600      0    1.46e+00    0    1.02e+00
2006 02 06  1425    53772   51900      0    1.44e+00    0    1.01e+00
2006 02 06  1430    53772   52200      0    1.47e+00    0    1.04e+00
2006 02 06  1435    53772   52500      0    1.46e+00    0    1.03e+00
2006 02 06  1440    53772   52800      0    1.49e+00    0    1.05e+00
2006 02 06  1445    53772   53100      0    1.45e+00    0    1.02e+00
2006 02 06  1450    53772   53400      0    1.45e+00    0    9.99e-01
2006 02 06  1455    53772   53700      0    1.46e+00    0    1.02e+00
2006 02 06  1500    53772   54000      0    1.44e+00    0    1.01e+00
2006 02 06  1505    53772   54300      0    1.44e+00    0    1.01e+00
2006 02 06  1510    53772   54600      0    1.48e+00    0    1.05e+00
2006 02 06  1515    53772   54900      0    1.48e+00    0    1.03e+00
2006 02 06  1520    53772   55200      0    1.47e+00    0    1.03e+00
2006 02 06  1525    53772   55500      0    1.43e+00    0    1.02e+00
2006 02 06  1530    53772   55800      0    1.47e+00    0    1.02e+00
2006 02 06  1535    53772   56100      0    1.43e+00    0    1.00e+00
2006 02 06  1540    53772   56400      0    1.45e+00    0    1.02e+00
2006 02 06  1545    53772   56700      0    1.46e+00    0    1.03e+00
2006 02 06  1550    53772   57000      0    1.46e+00    0    1.01e+00
2006 02 06  1555    53772   57300      0    1.46e+00    0    1.03e+00
2006 02 06  1600    53772   57600      0    1.46e+00    0    1.03e+00
2006 02 06  1605    53772   57900      0    1.45e+00    0    1.01e+00
2006 02 06  1610    53772   58200      0    1.48e+00    0    1.05e+00
2006 02 06  1615    53772   58500      0    1.46e+00    0    1.03e+00
2006 02 06  1620    53772   58800      0    1.42e+00    0    9.94e-01
2006 02 06  1625    53772   59100      0    1.47e+00    0    1.03e+00
2006 02 06  1630    53772   59400      0    1.46e+00    0    1.02e+00
