:Data_list: 20060219_ace_swepam_1m.txt
:Created: 2006 Feb 20 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2006 02 19  0000   53785       0    0        7.2      363.9     2.25e+04
2006 02 19  0001   53785      60    0        7.1      364.3     2.42e+04
2006 02 19  0002   53785     120    0        7.1      364.3     2.42e+04
2006 02 19  0003   53785     180    0        7.3      364.0     2.29e+04
2006 02 19  0004   53785     240    0        7.8      365.1     2.30e+04
2006 02 19  0005   53785     300    0        8.2      363.5     2.26e+04
2006 02 19  0006   53785     360    0        8.4      364.1     2.35e+04
2006 02 19  0007   53785     420    0        7.8      363.3     2.30e+04
2006 02 19  0008   53785     480    0        8.4      366.0     2.23e+04
2006 02 19  0009   53785     540    0        8.2      363.6     2.25e+04
2006 02 19  0010   53785     600    0        8.0      365.3     2.00e+04
2006 02 19  0011   53785     660    0        8.4      366.1     2.22e+04
2006 02 19  0012   53785     720    0        9.0      365.7     2.07e+04
2006 02 19  0013   53785     780    0        8.8      365.1     1.92e+04
2006 02 19  0014   53785     840    0        8.9      365.6     1.93e+04
2006 02 19  0015   53785     900    0        9.5      365.2     1.93e+04
2006 02 19  0016   53785     960    0       10.7      366.7     1.78e+04
2006 02 19  0017   53785    1020    0        8.7      365.2     2.02e+04
2006 02 19  0018   53785    1080    0        8.7      365.2     2.02e+04
2006 02 19  0019   53785    1140    0       10.8      366.9     2.09e+04
2006 02 19  0020   53785    1200    0       11.3      365.7     2.57e+04
2006 02 19  0021   53785    1260    0       10.1      367.8     2.17e+04
2006 02 19  0022   53785    1320    0        9.5      366.6     2.61e+04
2006 02 19  0023   53785    1380    0       10.5      367.6     2.33e+04
2006 02 19  0024   53785    1440    0        9.4      367.6     2.40e+04
2006 02 19  0025   53785    1500    9    -9999.9    -9999.9    -1.00e+05
2006 02 19  0026   53785    1560    0        9.5      368.4     2.19e+04
2006 02 19  0027   53785    1620    0        9.2      367.1     2.58e+04
2006 02 19  0028   53785    1680    0       11.0      367.9     2.44e+04
2006 02 19  0029   53785    1740    0       11.4      369.1     3.02e+04
2006 02 19  0030   53785    1800    0       11.0      368.5     3.01e+04
2006 02 19  0031   53785    1860    0        8.3      369.2     3.65e+04
2006 02 19  0032   53785    1920    0        8.6      370.4     3.09e+04
2006 02 19  0033   53785    1980    0        8.5      369.8     3.17e+04
2006 02 19  0034   53785    2040    0        8.5      369.8     3.17e+04
2006 02 19  0035   53785    2100    0        7.9      372.2     2.52e+04
2006 02 19  0036   53785    2160    0        7.2      371.4     3.25e+04
2006 02 19  0037   53785    2220    0        7.9      372.1     3.09e+04
2006 02 19  0038   53785    2280    0        7.3      372.4     3.12e+04
2006 02 19  0039   53785    2340    0        7.3      372.1     2.87e+04
2006 02 19  0040   53785    2400    0        7.5      371.8     3.22e+04
2006 02 19  0041   53785    2460    0        7.4      370.9     3.00e+04
2006 02 19  0042   53785    2520    0        7.7      371.6     3.26e+04
2006 02 19  0043   53785    2580    0        7.6      372.8     2.63e+04
2006 02 19  0044   53785    2640    0        7.0      371.3     3.20e+04
2006 02 19  0045   53785    2700    0        7.5      372.4     2.79e+04
2006 02 19  0046   53785    2760    0        7.1      371.7     3.15e+04
2006 02 19  0047   53785    2820    0        8.5      373.0     2.78e+04
2006 02 19  0048   53785    2880    0        7.3      370.6     3.37e+04
2006 02 19  0049   53785    2940    0        7.2      371.0     2.96e+04
2006 02 19  0050   53785    3000    0        7.2      371.0     2.96e+04
2006 02 19  0051   53785    3060    0        7.2      370.1     3.31e+04
2006 02 19  0052   53785    3120    0        7.5      371.0     2.74e+04
2006 02 19  0053   53785    3180    0        7.5      368.5     3.44e+04
2006 02 19  0054   53785    3240    0        7.8      370.2     3.02e+04
2006 02 19  0055   53785    3300    0        7.1      369.0     3.57e+04
2006 02 19  0056   53785    3360    0        6.6      367.8     3.27e+04
2006 02 19  0057   53785    3420    0        6.5      367.8     3.73e+04
2006 02 19  0058   53785    3480    9    -9999.9    -9999.9    -1.00e+05
2006 02 19  0059   53785    3540    0        6.1      366.2     4.30e+04
2006 02 19  0100   53785    3600    0        6.7      367.8     4.53e+04
2006 02 19  0101   53785    3660    0        6.0      366.2     4.47e+04
2006 02 19  0102   53785    3720    0        7.2      368.3     4.03e+04
2006 02 19  0103   53785    3780    6    -9999.9    -9999.9    -1.00e+05
2006 02 19  0104   53785    3840    6    -9999.9    -9999.9    -1.00e+05
2006 02 19  0105   53785    3900    0        5.7      369.5     4.09e+04
2006 02 19  0106   53785    3960    0        5.7      369.5     4.09e+04
2006 02 19  0107   53785    4020    0        4.7      366.3     4.20e+04
2006 02 19  0108   53785    4080    0        4.7      365.3     4.44e+04
2006 02 19  0109   53785    4140    0        4.7      372.7     3.81e+04
2006 02 19  0110   53785    4200    0        7.5      372.7     3.38e+04
2006 02 19  0111   53785    4260    0        5.1      370.8     4.82e+04
2006 02 19  0112   53785    4320    0        4.6      370.0     4.93e+04
2006 02 19  0113   53785    4380    0        4.2      373.7     3.40e+04
2006 02 19  0114   53785    4440    6    -9999.9    -9999.9    -1.00e+05
2006 02 19  0115   53785    4500    0        3.9      375.6     4.51e+04
2006 02 19  0116   53785    4560    0        3.3      376.1     3.70e+04
2006 02 19  0117   53785    4620    0        6.1      375.3     3.81e+04
2006 02 19  0118   53785    4680    0        6.6      373.5     4.47e+04
2006 02 19  0119   53785    4740    0        5.7      374.6     4.62e+04
2006 02 19  0120   53785    4800    0        4.8      374.3     4.94e+04
2006 02 19  0121   53785    4860    0        5.2      376.7     4.59e+04
2006 02 19  0122   53785    4920    0        5.2      376.7     4.59e+04
2006 02 19  0123   53785    4980    0        9.1      379.2     4.16e+04
2006 02 19  0124   53785    5040    0        9.8      379.5     4.21e+04
2006 02 19  0125   53785    5100    0       10.2      379.0     3.09e+04
2006 02 19  0126   53785    5160    0       11.0      378.0     2.93e+04
2006 02 19  0127   53785    5220    0       10.4      377.4     3.03e+04
2006 02 19  0128   53785    5280    0       11.6      377.7     2.95e+04
2006 02 19  0129   53785    5340    0       12.3      378.5     3.38e+04
2006 02 19  0130   53785    5400    0       12.6      377.2     3.24e+04
2006 02 19  0131   53785    5460    9    -9999.9    -9999.9    -1.00e+05
