:Data_list: 20060405_ace_sis_5m.txt
:Created: 2006 Apr 06 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 04 05  0000    53830       0      0    1.58e+00    0    1.11e+00
2006 04 05  0005    53830     300      0    1.57e+00    0    1.10e+00
2006 04 05  0010    53830     600      0    1.59e+00    0    1.11e+00
2006 04 05  0015    53830     900      0    1.57e+00    0    1.10e+00
2006 04 05  0020    53830    1200      0    1.52e+00    0    1.07e+00
2006 04 05  0025    53830    1500      0    1.57e+00    0    1.09e+00
2006 04 05  0030    53830    1800      0    1.54e+00    0    1.08e+00
2006 04 05  0035    53830    2100      0    1.57e+00    0    1.11e+00
2006 04 05  0040    53830    2400      0    1.59e+00    0    1.12e+00
2006 04 05  0045    53830    2700      0    1.52e+00    0    1.07e+00
2006 04 05  0050    53830    3000      0    1.51e+00    0    1.06e+00
2006 04 05  0055    53830    3300      0    1.57e+00    0    1.12e+00
2006 04 05  0100    53830    3600      0    1.57e+00    0    1.11e+00
2006 04 05  0105    53830    3900      0    1.57e+00    0    1.10e+00
2006 04 05  0110    53830    4200      0    1.58e+00    0    1.11e+00
2006 04 05  0115    53830    4500      0    1.55e+00    0    1.10e+00
2006 04 05  0120    53830    4800      0    1.58e+00    0    1.12e+00
2006 04 05  0125    53830    5100      0    1.55e+00    0    1.10e+00
2006 04 05  0130    53830    5400      0    1.53e+00    0    1.07e+00
2006 04 05  0135    53830    5700      0    1.57e+00    0    1.11e+00
2006 04 05  0140    53830    6000      0    1.60e+00    0    1.12e+00
2006 04 05  0145    53830    6300      0    1.56e+00    0    1.09e+00
2006 04 05  0150    53830    6600      0    1.56e+00    0    1.09e+00
2006 04 05  0155    53830    6900      0    1.59e+00    0    1.11e+00
2006 04 05  0200    53830    7200      0    1.59e+00    0    1.11e+00
2006 04 05  0205    53830    7500      0    1.55e+00    0    1.09e+00
2006 04 05  0210    53830    7800      0    1.58e+00    0    1.10e+00
2006 04 05  0215    53830    8100      0    1.54e+00    0    1.09e+00
2006 04 05  0220    53830    8400      0    1.57e+00    0    1.11e+00
2006 04 05  0225    53830    8700      0    1.54e+00    0    1.07e+00
2006 04 05  0230    53830    9000      0    1.55e+00    0    1.08e+00
2006 04 05  0235    53830    9300      0    1.58e+00    0    1.11e+00
2006 04 05  0240    53830    9600      0    1.56e+00    0    1.10e+00
2006 04 05  0245    53830    9900      0    1.58e+00    0    1.11e+00
2006 04 05  0250    53830   10200      0    1.56e+00    0    1.08e+00
2006 04 05  0255    53830   10500      0    1.59e+00    0    1.13e+00
2006 04 05  0300    53830   10800      0    1.56e+00    0    1.10e+00
2006 04 05  0305    53830   11100      0    1.53e+00    0    1.07e+00
2006 04 05  0310    53830   11400      0    1.57e+00    0    1.10e+00
2006 04 05  0315    53830   11700      0    1.59e+00    0    1.12e+00
2006 04 05  0320    53830   12000      0    1.58e+00    0    1.11e+00
2006 04 05  0325    53830   12300      0    1.54e+00    0    1.07e+00
2006 04 05  0330    53830   12600      0    1.61e+00    0    1.13e+00
2006 04 05  0335    53830   12900      0    1.53e+00    0    1.08e+00
2006 04 05  0340    53830   13200      0    1.55e+00    0    1.09e+00
2006 04 05  0345    53830   13500      0    1.54e+00    0    1.08e+00
2006 04 05  0350    53830   13800      0    1.58e+00    0    1.10e+00
2006 04 05  0355    53830   14100      0    1.55e+00    0    1.09e+00
2006 04 05  0400    53830   14400      0    1.55e+00    0    1.08e+00
2006 04 05  0405    53830   14700      0    1.57e+00    0    1.11e+00
2006 04 05  0410    53830   15000      0    1.56e+00    0    1.10e+00
2006 04 05  0415    53830   15300      0    1.56e+00    0    1.09e+00
2006 04 05  0420    53830   15600      0    1.55e+00    0    1.09e+00
2006 04 05  0425    53830   15900      0    1.53e+00    0    1.07e+00
2006 04 05  0430    53830   16200      0    1.54e+00    0    1.08e+00
2006 04 05  0435    53830   16500      0    1.53e+00    0    1.08e+00
2006 04 05  0440    53830   16800      0    1.53e+00    0    1.07e+00
2006 04 05  0445    53830   17100      0    1.55e+00    0    1.10e+00
2006 04 05  0450    53830   17400      0    1.55e+00    0    1.08e+00
2006 04 05  0455    53830   17700      0    1.54e+00    0    1.08e+00
2006 04 05  0500    53830   18000      0    1.57e+00    0    1.10e+00
2006 04 05  0505    53830   18300      0    1.53e+00    0    1.08e+00
2006 04 05  0510    53830   18600      0    1.56e+00    0    1.09e+00
2006 04 05  0515    53830   18900      0    1.57e+00    0    1.10e+00
2006 04 05  0520    53830   19200      0    1.52e+00    0    1.06e+00
2006 04 05  0525    53830   19500      0    1.56e+00    0    1.10e+00
2006 04 05  0530    53830   19800      0    1.56e+00    0    1.08e+00
2006 04 05  0535    53830   20100      0    1.57e+00    0    1.11e+00
2006 04 05  0540    53830   20400      0    1.56e+00    0    1.09e+00
2006 04 05  0545    53830   20700      0    1.55e+00    0    1.09e+00
2006 04 05  0550    53830   21000      0    1.57e+00    0    1.10e+00
2006 04 05  0555    53830   21300      0    1.59e+00    0    1.12e+00
2006 04 05  0600    53830   21600      0    1.60e+00    0    1.13e+00
2006 04 05  0605    53830   21900      0    1.55e+00    0    1.09e+00
2006 04 05  0610    53830   22200      0    1.59e+00    0    1.12e+00
2006 04 05  0615    53830   22500      0    1.60e+00    0    1.12e+00
2006 04 05  0620    53830   22800      0    1.60e+00    0    1.12e+00
2006 04 05  0625    53830   23100      0    1.61e+00    0    1.12e+00
2006 04 05  0630    53830   23400      0    1.58e+00    0    1.12e+00
2006 04 05  0635    53830   23700      0    1.54e+00    0    1.08e+00
2006 04 05  0640    53830   24000      0    1.56e+00    0    1.08e+00
2006 04 05  0645    53830   24300      0    1.60e+00    0    1.12e+00
2006 04 05  0650    53830   24600      0    1.60e+00    0    1.12e+00
2006 04 05  0655    53830   24900      0    1.56e+00    0    1.11e+00
2006 04 05  0700    53830   25200      0    1.54e+00    0    1.07e+00
2006 04 05  0705    53830   25500      0    1.57e+00    0    1.09e+00
2006 04 05  0710    53830   25800      0    1.57e+00    0    1.09e+00
2006 04 05  0715    53830   26100      0    1.56e+00    0    1.09e+00
2006 04 05  0720    53830   26400      0    1.55e+00    0    1.10e+00
2006 04 05  0725    53830   26700      0    1.56e+00    0    1.08e+00
2006 04 05  0730    53830   27000      0    1.56e+00    0    1.08e+00
2006 04 05  0735    53830   27300      0    1.56e+00    0    1.10e+00
2006 04 05  0740    53830   27600      0    1.55e+00    0    1.08e+00
2006 04 05  0745    53830   27900      0    1.58e+00    0    1.09e+00
2006 04 05  0750    53830   28200      0    1.54e+00    0    1.07e+00
2006 04 05  0755    53830   28500      0    1.60e+00    0    1.14e+00
2006 04 05  0800    53830   28800      0    1.53e+00    0    1.08e+00
2006 04 05  0805    53830   29100      0    1.57e+00    0    1.11e+00
2006 04 05  0810    53830   29400      0    1.57e+00    0    1.10e+00
2006 04 05  0815    53830   29700      0    1.58e+00    0    1.11e+00
2006 04 05  0820    53830   30000      0    1.56e+00    0    1.09e+00
2006 04 05  0825    53830   30300      0    1.56e+00    0    1.10e+00
2006 04 05  0830    53830   30600      0    1.56e+00    0    1.09e+00
2006 04 05  0835    53830   30900      0    1.57e+00    0    1.10e+00
2006 04 05  0840    53830   31200      0    1.57e+00    0    1.10e+00
2006 04 05  0845    53830   31500      0    1.54e+00    0    1.09e+00
2006 04 05  0850    53830   31800      0    1.56e+00    0    1.10e+00
2006 04 05  0855    53830   32100      0    1.57e+00    0    1.09e+00
2006 04 05  0900    53830   32400      0    1.56e+00    0    1.09e+00
2006 04 05  0905    53830   32700      0    1.59e+00    0    1.13e+00
2006 04 05  0910    53830   33000      0    1.59e+00    0    1.12e+00
2006 04 05  0915    53830   33300      0    1.56e+00    0    1.09e+00
2006 04 05  0920    53830   33600      0    1.59e+00    0    1.12e+00
