:Data_list: 20060513_ace_sis_5m.txt
:Created: 2006 May 14 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 05 13  0000    53868       0      9   -1.00e+05    9   -1.00e+05
2006 05 13  0005    53868     300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0010    53868     600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0015    53868     900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0020    53868    1200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0025    53868    1500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0030    53868    1800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0035    53868    2100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0040    53868    2400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0045    53868    2700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0050    53868    3000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0055    53868    3300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0100    53868    3600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0105    53868    3900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0110    53868    4200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0115    53868    4500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0120    53868    4800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0125    53868    5100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0130    53868    5400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0135    53868    5700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0140    53868    6000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0145    53868    6300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0150    53868    6600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0155    53868    6900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0200    53868    7200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0205    53868    7500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0210    53868    7800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0215    53868    8100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0220    53868    8400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0225    53868    8700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0230    53868    9000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0235    53868    9300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0240    53868    9600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0245    53868    9900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0250    53868   10200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0255    53868   10500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0300    53868   10800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0305    53868   11100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0310    53868   11400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0315    53868   11700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0320    53868   12000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0325    53868   12300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0330    53868   12600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0335    53868   12900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0340    53868   13200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0345    53868   13500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0350    53868   13800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0355    53868   14100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0400    53868   14400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0405    53868   14700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0410    53868   15000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0415    53868   15300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0420    53868   15600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0425    53868   15900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0430    53868   16200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0435    53868   16500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0440    53868   16800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0445    53868   17100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0450    53868   17400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0455    53868   17700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0500    53868   18000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0505    53868   18300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0510    53868   18600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0515    53868   18900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0520    53868   19200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0525    53868   19500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0530    53868   19800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0535    53868   20100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0540    53868   20400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0545    53868   20700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0550    53868   21000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0555    53868   21300      9   -1.00e+05    9   -1.00e+05
2006 05 13  0600    53868   21600      9   -1.00e+05    9   -1.00e+05
2006 05 13  0605    53868   21900      9   -1.00e+05    9   -1.00e+05
2006 05 13  0610    53868   22200      9   -1.00e+05    9   -1.00e+05
2006 05 13  0615    53868   22500      9   -1.00e+05    9   -1.00e+05
2006 05 13  0620    53868   22800      9   -1.00e+05    9   -1.00e+05
2006 05 13  0625    53868   23100      9   -1.00e+05    9   -1.00e+05
2006 05 13  0630    53868   23400      9   -1.00e+05    9   -1.00e+05
2006 05 13  0635    53868   23700      9   -1.00e+05    9   -1.00e+05
2006 05 13  0640    53868   24000      9   -1.00e+05    9   -1.00e+05
2006 05 13  0645    53868   24300      9   -1.00e+05    9   -1.00e+05
