:Data_list: 20060717_ace_sis_5m.txt
:Created: 2006 Jul 18 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 07 17  0000    53933       0      0    1.58e+00    0    1.12e+00
2006 07 17  0005    53933     300      0    1.61e+00    0    1.12e+00
2006 07 17  0010    53933     600      0    1.58e+00    0    1.11e+00
2006 07 17  0015    53933     900      0    1.59e+00    0    1.11e+00
2006 07 17  0020    53933    1200      0    1.59e+00    0    1.11e+00
2006 07 17  0025    53933    1500      0    1.62e+00    0    1.15e+00
2006 07 17  0030    53933    1800      0    1.60e+00    0    1.13e+00
2006 07 17  0035    53933    2100      0    1.56e+00    0    1.09e+00
2006 07 17  0040    53933    2400      0    1.59e+00    0    1.10e+00
2006 07 17  0045    53933    2700      0    1.60e+00    0    1.12e+00
2006 07 17  0050    53933    3000      0    1.59e+00    0    1.11e+00
2006 07 17  0055    53933    3300      0    1.60e+00    0    1.13e+00
2006 07 17  0100    53933    3600      0    1.62e+00    0    1.14e+00
2006 07 17  0105    53933    3900      0    1.61e+00    0    1.13e+00
2006 07 17  0110    53933    4200      0    1.60e+00    0    1.13e+00
2006 07 17  0115    53933    4500      0    1.58e+00    0    1.09e+00
2006 07 17  0120    53933    4800      0    1.58e+00    0    1.10e+00
2006 07 17  0125    53933    5100      0    1.61e+00    0    1.13e+00
2006 07 17  0130    53933    5400      0    1.61e+00    0    1.11e+00
2006 07 17  0135    53933    5700      0    1.58e+00    0    1.11e+00
2006 07 17  0140    53933    6000      0    1.63e+00    0    1.15e+00
2006 07 17  0145    53933    6300      0    1.61e+00    0    1.12e+00
2006 07 17  0150    53933    6600      0    1.60e+00    0    1.11e+00
2006 07 17  0155    53933    6900      0    1.63e+00    0    1.15e+00
2006 07 17  0200    53933    7200      0    1.60e+00    0    1.12e+00
2006 07 17  0205    53933    7500      0    1.58e+00    0    1.11e+00
2006 07 17  0210    53933    7800      0    1.59e+00    0    1.11e+00
2006 07 17  0215    53933    8100      0    1.59e+00    0    1.11e+00
2006 07 17  0220    53933    8400      0    1.61e+00    0    1.12e+00
2006 07 17  0225    53933    8700      0    1.63e+00    0    1.14e+00
2006 07 17  0230    53933    9000      0    1.63e+00    0    1.15e+00
2006 07 17  0235    53933    9300      0    1.62e+00    0    1.14e+00
2006 07 17  0240    53933    9600      0    1.64e+00    0    1.15e+00
2006 07 17  0245    53933    9900      0    1.61e+00    0    1.14e+00
2006 07 17  0250    53933   10200      0    1.63e+00    0    1.14e+00
2006 07 17  0255    53933   10500      0    1.59e+00    0    1.12e+00
2006 07 17  0300    53933   10800      0    1.62e+00    0    1.14e+00
2006 07 17  0305    53933   11100      0    1.67e+00    0    1.16e+00
2006 07 17  0310    53933   11400      0    1.56e+00    0    1.10e+00
2006 07 17  0315    53933   11700      0    1.61e+00    0    1.13e+00
2006 07 17  0320    53933   12000      0    1.60e+00    0    1.12e+00
2006 07 17  0325    53933   12300      0    1.66e+00    0    1.17e+00
2006 07 17  0330    53933   12600      0    1.61e+00    0    1.14e+00
2006 07 17  0335    53933   12900      0    1.59e+00    0    1.11e+00
2006 07 17  0340    53933   13200      0    1.63e+00    0    1.14e+00
