:Data_list: 20060811_ace_swepam_1m.txt
:Created: 2006 Aug 12 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2006 08 11  0000   53958       0    0        2.6      467.7     1.56e+05
2006 08 11  0001   53958      60    0        2.4      464.6     1.27e+05
2006 08 11  0002   53958     120    0        2.8      470.9     1.09e+05
2006 08 11  0003   53958     180    0        2.8      473.5     1.14e+05
2006 08 11  0004   53958     240    0        2.8      465.9     9.23e+04
2006 08 11  0005   53958     300    0        2.7      472.9     1.34e+05
2006 08 11  0006   53958     360    0        2.7      472.9     1.34e+05
2006 08 11  0007   53958     420    0        2.6      466.9     1.16e+05
2006 08 11  0008   53958     480    0        2.6      455.4     1.78e+05
2006 08 11  0009   53958     540    1        2.6      456.1     1.69e+05
2006 08 11  0010   53958     600    1        2.7      453.1     1.69e+05
2006 08 11  0011   53958     660    0        2.8      456.3     1.47e+05
2006 08 11  0012   53958     720    1        2.9      457.9     1.43e+05
2006 08 11  0013   53958     780    1        2.4      465.4     1.18e+05
2006 08 11  0014   53958     840    0        2.4      469.4     1.27e+05
2006 08 11  0015   53958     900    1        2.6      464.1     1.12e+05
2006 08 11  0016   53958     960    1    -9999.9    -9999.9    -1.00e+05
2006 08 11  0017   53958    1020    0        2.6      461.4     1.06e+05
2006 08 11  0018   53958    1080    0        2.7      465.0     1.11e+05
2006 08 11  0019   53958    1140    0        2.6      465.5     1.13e+05
2006 08 11  0020   53958    1200    0        2.8      462.9     1.18e+05
2006 08 11  0021   53958    1260    1        2.7      463.2     1.15e+05
2006 08 11  0022   53958    1320    1        2.7      463.2     1.15e+05
2006 08 11  0023   53958    1380    0        2.7      465.9     1.34e+05
2006 08 11  0024   53958    1440    0        2.9      464.8     1.36e+05
2006 08 11  0025   53958    1500    0        2.7      470.4     1.45e+05
2006 08 11  0026   53958    1560    0        2.8      472.1     1.53e+05
2006 08 11  0027   53958    1620    0        2.8      471.1     1.58e+05
2006 08 11  0028   53958    1680    1        3.0      474.9     1.55e+05
2006 08 11  0029   53958    1740    0        2.9      468.4     1.59e+05
2006 08 11  0030   53958    1800    0        2.6      483.6     1.70e+05
2006 08 11  0031   53958    1860    1        2.8      482.2     1.69e+05
2006 08 11  0032   53958    1920    0        2.9      477.3     1.58e+05
2006 08 11  0033   53958    1980    0        2.9      468.3     1.47e+05
2006 08 11  0034   53958    2040    0        3.0      466.9     1.53e+05
2006 08 11  0035   53958    2100    0        3.1      464.8     1.47e+05
2006 08 11  0036   53958    2160    0        3.1      461.0     1.18e+05
2006 08 11  0037   53958    2220    0        3.1      461.2     1.13e+05
2006 08 11  0038   53958    2280    0        3.1      461.2     1.13e+05
2006 08 11  0039   53958    2340    0        3.1      461.6     1.35e+05
2006 08 11  0040   53958    2400    0        3.2      462.2     1.43e+05
2006 08 11  0041   53958    2460    0        3.1      467.0     1.43e+05
2006 08 11  0042   53958    2520    0        3.0      467.1     1.61e+05
2006 08 11  0043   53958    2580    0        2.9      465.9     1.49e+05
2006 08 11  0044   53958    2640    0        2.5      465.6     1.61e+05
2006 08 11  0045   53958    2700    0        3.1      467.7     1.56e+05
2006 08 11  0046   53958    2760    0        3.0      466.1     1.40e+05
2006 08 11  0047   53958    2820    0        3.1      463.6     1.22e+05
2006 08 11  0048   53958    2880    0        3.0      463.1     1.31e+05
2006 08 11  0049   53958    2940    9    -9999.9    -9999.9    -1.00e+05
2006 08 11  0050   53958    3000    0        3.0      465.7     1.41e+05
2006 08 11  0051   53958    3060    0        2.9      465.3     1.39e+05
2006 08 11  0052   53958    3120    0        3.1      463.6     1.37e+05
2006 08 11  0053   53958    3180    0        3.0      463.4     1.39e+05
2006 08 11  0054   53958    3240    0        3.0      463.4     1.39e+05
2006 08 11  0055   53958    3300    0        3.2      463.0     1.35e+05
2006 08 11  0056   53958    3360    0        3.1      463.7     1.34e+05
2006 08 11  0057   53958    3420    0        3.0      464.0     1.38e+05
2006 08 11  0058   53958    3480    0        2.8      463.3     1.29e+05
2006 08 11  0059   53958    3540    1        2.8      458.6     8.58e+04
2006 08 11  0100   53958    3600    0        2.8      464.8     1.45e+05
2006 08 11  0101   53958    3660    0        3.1      466.2     1.46e+05
2006 08 11  0102   53958    3720    0        3.2      466.2     1.35e+05
2006 08 11  0103   53958    3780    0        2.4      469.2     1.46e+05
2006 08 11  0104   53958    3840    0        2.0      473.4     1.68e+05
2006 08 11  0105   53958    3900    0        2.2      468.5     1.75e+05
2006 08 11  0106   53958    3960    0        1.9      467.6     1.44e+05
2006 08 11  0107   53958    4020    0        1.9      467.3     1.52e+05
2006 08 11  0108   53958    4080    0        2.2      462.2     1.45e+05
2006 08 11  0109   53958    4140    0        2.2      470.3     1.80e+05
2006 08 11  0110   53958    4200    0        2.2      470.3     1.80e+05
2006 08 11  0111   53958    4260    0        2.0      470.8     1.99e+05
2006 08 11  0112   53958    4320    0        2.1      466.9     1.71e+05
2006 08 11  0113   53958    4380    0        2.2      460.3     1.91e+05
2006 08 11  0114   53958    4440    0        2.9      455.1     2.26e+05
2006 08 11  0115   53958    4500    0        2.4      462.7     1.98e+05
2006 08 11  0116   53958    4560    0        2.2      461.9     2.14e+05
