:Data_list: 20061013_ace_mag_1m.txt
:Created: 2006 Oct 14 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2006 10 13  0000   54021       0    0    -8.2     5.1    -0.9     9.7    -5.1   148.0
2006 10 13  0001   54021      60    0    -8.2     4.5    -2.0     9.6   -12.3   151.1
2006 10 13  0002   54021     120    0    -9.1     2.4    -2.0     9.6   -11.7   165.0
2006 10 13  0003   54021     180    0    -8.6     3.2    -1.7     9.3   -10.4   159.3
2006 10 13  0004   54021     240    0    -8.6     2.6    -1.4     9.1    -8.6   163.5
2006 10 13  0005   54021     300    0    -9.1     1.3    -1.9     9.4   -11.8   171.7
2006 10 13  0006   54021     360    0    -8.5     2.2    -3.2     9.4   -19.8   165.3
2006 10 13  0007   54021     420    0    -7.9     2.3    -4.6     9.4   -29.3   163.7
2006 10 13  0008   54021     480    0    -7.8     1.5    -4.7     9.2   -30.9   169.4
2006 10 13  0009   54021     540    0    -6.5     6.2     0.3     9.0     1.7   136.3
2006 10 13  0010   54021     600    0    -6.2     6.5     0.3     9.0     2.0   133.5
2006 10 13  0011   54021     660    0    -4.8     7.1     1.8     8.8    11.5   124.2
2006 10 13  0012   54021     720    0    -4.9     7.1     1.9     8.8    12.2   124.6
2006 10 13  0013   54021     780    0    -4.7     7.2     2.2     8.8    14.6   123.1
2006 10 13  0014   54021     840    0    -4.7     6.9     3.2     8.9    20.9   124.3
2006 10 13  0015   54021     900    0    -5.1     7.0     1.9     8.9    12.0   126.2
2006 10 13  0016   54021     960    0    -5.1     7.0     1.7     8.9    11.2   126.1
2006 10 13  0017   54021    1020    0    -6.2     6.2     1.5     8.9     9.7   135.0
2006 10 13  0018   54021    1080    0    -3.8     7.6     2.2     8.8    14.7   116.5
2006 10 13  0019   54021    1140    0    -4.8     7.2     1.4     8.8     9.4   123.4
2006 10 13  0020   54021    1200    0    -4.0     7.5     2.1     8.8    13.6   117.8
2006 10 13  0021   54021    1260    0    -4.3     7.6     0.9     8.8     5.7   119.3
2006 10 13  0022   54021    1320    0    -4.3     7.7     0.2     8.8     1.2   118.9
2006 10 13  0023   54021    1380    0    -4.7     7.5    -0.5     8.9    -3.4   121.8
2006 10 13  0024   54021    1440    0    -4.2     7.8    -1.5     9.0    -9.6   118.0
2006 10 13  0025   54021    1500    0    -4.0     7.7    -2.0     8.9   -12.8   117.5
