:Data_list: 20061111_ace_sis_5m.txt
:Created: 2006 Nov 12 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2006 11 11  0000    54050       0      0    1.69e+00    0    1.15e+00
2006 11 11  0005    54050     300      0    1.69e+00    0    1.16e+00
2006 11 11  0010    54050     600      0    1.72e+00    0    1.18e+00
2006 11 11  0015    54050     900      0    1.76e+00    0    1.20e+00
2006 11 11  0020    54050    1200      0    1.72e+00    0    1.19e+00
2006 11 11  0025    54050    1500      0    1.74e+00    0    1.19e+00
2006 11 11  0030    54050    1800      0    1.73e+00    0    1.19e+00
2006 11 11  0035    54050    2100      0    1.73e+00    0    1.18e+00
2006 11 11  0040    54050    2400      0    1.70e+00    0    1.16e+00
2006 11 11  0045    54050    2700      0    1.72e+00    0    1.17e+00
2006 11 11  0050    54050    3000      0    1.71e+00    0    1.18e+00
2006 11 11  0055    54050    3300      0    1.70e+00    0    1.18e+00
2006 11 11  0100    54050    3600      9   -1.00e+05    9   -1.00e+05
2006 11 11  0105    54050    3900      9   -1.00e+05    9   -1.00e+05
2006 11 11  0110    54050    4200      9   -1.00e+05    9   -1.00e+05
2006 11 11  0115    54050    4500      9   -1.00e+05    9   -1.00e+05
2006 11 11  0120    54050    4800      9   -1.00e+05    9   -1.00e+05
2006 11 11  0125    54050    5100      9   -1.00e+05    9   -1.00e+05
2006 11 11  0130    54050    5400      0    1.74e+00    0    1.18e+00
2006 11 11  0135    54050    5700      0    1.70e+00    0    1.17e+00
2006 11 11  0140    54050    6000      0    1.67e+00    0    1.14e+00
2006 11 11  0145    54050    6300      0    1.74e+00    0    1.18e+00
2006 11 11  0150    54050    6600      0    1.72e+00    0    1.18e+00
2006 11 11  0155    54050    6900      0    1.69e+00    0    1.14e+00
2006 11 11  0200    54050    7200      0    1.73e+00    0    1.19e+00
2006 11 11  0205    54050    7500      0    1.72e+00    0    1.19e+00
2006 11 11  0210    54050    7800      0    1.72e+00    0    1.18e+00
2006 11 11  0215    54050    8100      0    1.68e+00    0    1.14e+00
2006 11 11  0220    54050    8400      0    1.70e+00    0    1.16e+00
2006 11 11  0225    54050    8700      0    1.69e+00    0    1.15e+00
2006 11 11  0230    54050    9000      0    1.70e+00    0    1.17e+00
2006 11 11  0235    54050    9300      0    1.67e+00    0    1.14e+00
2006 11 11  0240    54050    9600      0    1.70e+00    0    1.15e+00
2006 11 11  0245    54050    9900      0    1.67e+00    0    1.16e+00
2006 11 11  0250    54050   10200      0    1.69e+00    0    1.16e+00
2006 11 11  0255    54050   10500      0    1.71e+00    0    1.17e+00
2006 11 11  0300    54050   10800      0    1.66e+00    0    1.12e+00
2006 11 11  0305    54050   11100      0    1.69e+00    0    1.16e+00
2006 11 11  0310    54050   11400      0    1.72e+00    0    1.18e+00
2006 11 11  0315    54050   11700      0    1.69e+00    0    1.18e+00
2006 11 11  0320    54050   12000      0    1.71e+00    0    1.18e+00
2006 11 11  0325    54050   12300      0    1.73e+00    0    1.17e+00
2006 11 11  0330    54050   12600      0    1.71e+00    0    1.17e+00
2006 11 11  0335    54050   12900      0    1.72e+00    0    1.17e+00
2006 11 11  0340    54050   13200      0    1.70e+00    0    1.16e+00
2006 11 11  0345    54050   13500      0    1.71e+00    0    1.17e+00
2006 11 11  0350    54050   13800      0    1.71e+00    0    1.16e+00
2006 11 11  0355    54050   14100      0    1.67e+00    0    1.14e+00
2006 11 11  0400    54050   14400      0    1.69e+00    0    1.15e+00
2006 11 11  0405    54050   14700      0    1.72e+00    0    1.19e+00
2006 11 11  0410    54050   15000      0    1.72e+00    0    1.18e+00
2006 11 11  0415    54050   15300      0    1.71e+00    0    1.18e+00
2006 11 11  0420    54050   15600      0    1.70e+00    0    1.16e+00
2006 11 11  0425    54050   15900      0    1.69e+00    0    1.16e+00
2006 11 11  0430    54050   16200      0    1.71e+00    0    1.17e+00
2006 11 11  0435    54050   16500      0    1.74e+00    0    1.18e+00
2006 11 11  0440    54050   16800      0    1.70e+00    0    1.15e+00
2006 11 11  0445    54050   17100      0    1.72e+00    0    1.17e+00
2006 11 11  0450    54050   17400      0    1.75e+00    0    1.20e+00
2006 11 11  0455    54050   17700      0    1.70e+00    0    1.16e+00
2006 11 11  0500    54050   18000      0    1.72e+00    0    1.18e+00
2006 11 11  0505    54050   18300      0    1.81e+00    0    1.29e+00
2006 11 11  0510    54050   18600      0    1.77e+00    0    1.20e+00
2006 11 11  0515    54050   18900      0    1.72e+00    0    1.18e+00
2006 11 11  0520    54050   19200      0    1.71e+00    0    1.18e+00
2006 11 11  0525    54050   19500      0    1.70e+00    0    1.15e+00
2006 11 11  0530    54050   19800      0    1.68e+00    0    1.15e+00
2006 11 11  0535    54050   20100      0    1.71e+00    0    1.17e+00
2006 11 11  0540    54050   20400      0    1.71e+00    0    1.17e+00
2006 11 11  0545    54050   20700      0    1.73e+00    0    1.17e+00
