:Data_list: 20061202_ace_swepam_1m.txt
:Created: 2006 Dec 03 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2006 12 02  0000   54071       0    0        6.3      397.7     4.93e+04
2006 12 02  0001   54071      60    0        7.4      400.3     5.07e+04
2006 12 02  0002   54071     120    0        6.3      393.4     5.14e+04
2006 12 02  0003   54071     180    0        6.9      393.1     5.38e+04
2006 12 02  0004   54071     240    0        6.7      394.9     5.59e+04
2006 12 02  0005   54071     300    0        7.4      394.2     5.49e+04
2006 12 02  0006   54071     360    0        6.8      397.1     5.76e+04
2006 12 02  0007   54071     420    0        6.9      396.3     5.53e+04
2006 12 02  0008   54071     480    0        5.0      398.9     5.93e+04
2006 12 02  0009   54071     540    0        5.8      397.1     5.86e+04
2006 12 02  0010   54071     600    0        5.8      398.5     5.87e+04
2006 12 02  0011   54071     660    0        4.9      400.8     5.36e+04
2006 12 02  0012   54071     720    0        4.4      397.0     5.86e+04
2006 12 02  0013   54071     780    0        4.4      397.0     5.86e+04
2006 12 02  0014   54071     840    0        4.7      400.8     5.62e+04
2006 12 02  0015   54071     900    0        4.4      397.7     5.98e+04
2006 12 02  0016   54071     960    0        5.0      402.4     5.43e+04
2006 12 02  0017   54071    1020    0        6.2      399.2     5.59e+04
2006 12 02  0018   54071    1080    9    -9999.9    -9999.9    -1.00e+05
2006 12 02  0019   54071    1140    0        5.4      401.4     6.82e+04
2006 12 02  0020   54071    1200    0        5.0      396.2     5.68e+04
2006 12 02  0021   54071    1260    0        6.3      396.8     5.45e+04
2006 12 02  0022   54071    1320    0        5.7      393.2     5.79e+04
2006 12 02  0023   54071    1380    0        4.8      394.7     5.32e+04
2006 12 02  0024   54071    1440    0        6.0      390.7     5.67e+04
2006 12 02  0025   54071    1500    0        6.9      390.8     5.78e+04
2006 12 02  0026   54071    1560    0        5.5      393.2     5.57e+04
2006 12 02  0027   54071    1620    0        6.2      393.8     5.76e+04
2006 12 02  0028   54071    1680    0        5.5      392.6     5.55e+04
