:Data_list: 20070301_ace_swepam_1m.txt
:Created: 2007 Mar 02 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 03 01  0000   54160       0    0        2.4      660.8     1.45e+05
2007 03 01  0001   54160      60    0        2.5      653.1     1.61e+05
2007 03 01  0002   54160     120    0        2.5      654.4     1.48e+05
2007 03 01  0003   54160     180    0        2.6      660.1     1.54e+05
2007 03 01  0004   54160     240    0        2.5      652.3     1.59e+05
2007 03 01  0005   54160     300    0        2.4      648.2     1.66e+05
2007 03 01  0006   54160     360    0        2.4      647.7     1.66e+05
2007 03 01  0007   54160     420    0        2.8      651.4     1.52e+05
2007 03 01  0008   54160     480    0        2.4      652.8     1.63e+05
2007 03 01  0009   54160     540    0        2.3      644.4     1.69e+05
2007 03 01  0010   54160     600    0        2.3      646.2     1.67e+05
2007 03 01  0011   54160     660    0        2.6      643.1     1.78e+05
2007 03 01  0012   54160     720    0        2.5      648.5     1.70e+05
2007 03 01  0013   54160     780    0        2.5      655.0     1.83e+05
2007 03 01  0014   54160     840    0        2.5      655.0     1.83e+05
2007 03 01  0015   54160     900    0        2.4      643.6     1.73e+05
2007 03 01  0016   54160     960    0        2.6      642.1     1.79e+05
2007 03 01  0017   54160    1020    0        2.6      642.5     1.66e+05
2007 03 01  0018   54160    1080    0        2.5      649.1     1.73e+05
2007 03 01  0019   54160    1140    0        2.4      646.4     1.84e+05
2007 03 01  0020   54160    1200    0        2.4      645.7     1.80e+05
2007 03 01  0021   54160    1260    9    -9999.9    -9999.9    -1.00e+05
2007 03 01  0022   54160    1320    0        2.5      646.9     1.82e+05
2007 03 01  0023   54160    1380    0        2.5      645.4     1.91e+05
2007 03 01  0024   54160    1440    0        2.4      645.9     1.75e+05
2007 03 01  0025   54160    1500    0        2.4      643.3     1.66e+05
2007 03 01  0026   54160    1560    0        2.5      641.0     1.54e+05
2007 03 01  0027   54160    1620    0        2.3      646.5     1.76e+05
2007 03 01  0028   54160    1680    0        2.3      648.0     1.66e+05
2007 03 01  0029   54160    1740    0        2.4      642.9     1.57e+05
2007 03 01  0030   54160    1800    0        2.4      642.9     1.57e+05
2007 03 01  0031   54160    1860    0        2.4      640.3     1.60e+05
2007 03 01  0032   54160    1920    0        2.5      643.6     1.76e+05
2007 03 01  0033   54160    1980    0        2.0      625.2     1.38e+05
2007 03 01  0034   54160    2040    0        2.2      647.1     1.37e+05
2007 03 01  0035   54160    2100    0        2.2      630.1     1.48e+05
2007 03 01  0036   54160    2160    0        2.1      633.5     1.32e+05
2007 03 01  0037   54160    2220    0        2.2      642.7     1.42e+05
2007 03 01  0038   54160    2280    0        2.1      621.4     1.79e+05
2007 03 01  0039   54160    2340    0        2.2      619.7     1.62e+05
2007 03 01  0040   54160    2400    0        2.2      609.5     1.64e+05
2007 03 01  0041   54160    2460    0        1.8      608.6     2.12e+05
