:Data_list: 20070316_ace_mag_1m.txt
:Created: 2007 Mar 17 0009 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2007 03 16  0000   54175       0    0    -2.4     3.8     0.1     4.5     1.4   122.2
2007 03 16  0001   54175      60    0    -3.4     2.8     2.3     5.0    27.8   140.3
2007 03 16  0002   54175     120    0    -3.6     3.2     0.8     4.9     9.5   139.0
2007 03 16  0003   54175     180    0    -3.5     3.6    -0.5     5.1    -5.4   133.8
2007 03 16  0004   54175     240    0    -3.3     3.5    -0.4     4.8    -4.5   133.6
2007 03 16  0005   54175     300    0    -3.5     3.1     1.8     5.0    20.5   139.3
2007 03 16  0006   54175     360    0    -3.3     3.3     2.1     5.1    24.3   135.2
2007 03 16  0007   54175     420    0    -3.1     3.6     1.4     5.0    16.7   131.2
2007 03 16  0008   54175     480    0    -3.5     3.3     1.0     5.0    12.0   136.6
2007 03 16  0009   54175     540    0    -3.4     3.3    -1.1     4.9   -13.3   136.2
2007 03 16  0010   54175     600    0    -3.4     2.6    -2.5     5.0   -30.2   142.4
2007 03 16  0011   54175     660    0    -3.0     2.2    -2.9     4.7   -37.3   143.6
2007 03 16  0012   54175     720    0    -2.0     3.8    -1.7     4.6   -22.0   117.8
2007 03 16  0013   54175     780    0    -1.9     3.5    -2.4     4.6   -31.1   117.8
2007 03 16  0014   54175     840    0    -1.4     3.4    -2.9     4.7   -37.8   112.1
2007 03 16  0015   54175     900    0    -1.5     2.3    -3.9     4.8   -55.5   122.5
2007 03 16  0016   54175     960    0    -0.6     1.4    -4.4     4.7   -71.1   113.7
2007 03 16  0017   54175    1020    0    -1.6     2.2    -2.9     4.0   -47.0   125.6
2007 03 16  0018   54175    1080    0    -2.9     4.1     0.0     5.0     0.5   124.7
2007 03 16  0019   54175    1140    0    -2.5     4.1     1.6     5.1    18.4   121.4
2007 03 16  0020   54175    1200    0    -3.6     3.7    -0.5     5.2    -5.5   134.7
2007 03 16  0021   54175    1260    0    -3.6     3.6    -1.0     5.2   -10.8   135.4
2007 03 16  0022   54175    1320    0    -3.2     3.9    -1.0     5.1   -11.7   129.3
2007 03 16  0023   54175    1380    0    -3.3     3.6    -1.3     5.1   -15.0   131.8
2007 03 16  0024   54175    1440    0    -2.5     3.7    -0.0     4.4    -0.2   124.0
2007 03 16  0025   54175    1500    0    -1.7     4.5     0.8     4.8    10.0   110.6
2007 03 16  0026   54175    1560    0    -1.7     4.5    -0.2     4.8    -2.1   110.7
2007 03 16  0027   54175    1620    0    -2.3     4.4     0.1     5.0     1.5   117.0
2007 03 16  0028   54175    1680    0    -2.0     4.5    -0.1     4.9    -1.7   113.9
2007 03 16  0029   54175    1740    0    -1.9     4.5    -0.2     4.9    -2.1   113.3
2007 03 16  0030   54175    1800    0    -2.3     4.3    -1.1     5.0   -13.0   118.0
2007 03 16  0031   54175    1860    0    -2.4     4.0    -1.8     5.0   -21.7   121.2
2007 03 16  0032   54175    1920    0    -2.4     3.7    -2.2     4.9   -26.1   122.6
2007 03 16  0033   54175    1980    0    -2.3     3.7    -2.0     4.8   -25.1   121.4
2007 03 16  0034   54175    2040    0    -1.0     4.1    -1.8     4.6   -23.6   104.0
2007 03 16  0035   54175    2100    0    -0.1     4.5    -1.7     4.8   -20.4    91.0
2007 03 16  0036   54175    2160    0    -3.0     2.6    -3.0     5.0   -37.6   139.5
2007 03 16  0037   54175    2220    0    -2.6     3.1    -2.7     4.9   -33.6   130.1
2007 03 16  0038   54175    2280    0    -2.6     3.3    -2.5     4.9   -30.8   127.7
