:Data_list: 20070319_ace_sis_5m.txt
:Created: 2007 Mar 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2007 03 19  0000    54178       0      0    1.78e+00    0    1.26e+00
2007 03 19  0005    54178     300      0    1.75e+00    0    1.22e+00
2007 03 19  0010    54178     600      0    1.81e+00    0    1.28e+00
2007 03 19  0015    54178     900      0    1.80e+00    0    1.25e+00
2007 03 19  0020    54178    1200      0    1.78e+00    0    1.26e+00
2007 03 19  0025    54178    1500      0    1.81e+00    0    1.27e+00
2007 03 19  0030    54178    1800      0    1.82e+00    0    1.27e+00
2007 03 19  0035    54178    2100      0    1.82e+00    0    1.27e+00
2007 03 19  0040    54178    2400      0    1.80e+00    0    1.26e+00
2007 03 19  0045    54178    2700      0    1.78e+00    0    1.24e+00
2007 03 19  0050    54178    3000      0    1.76e+00    0    1.24e+00
2007 03 19  0055    54178    3300      0    1.81e+00    0    1.29e+00
2007 03 19  0100    54178    3600      0    1.80e+00    0    1.26e+00
2007 03 19  0105    54178    3900      0    1.83e+00    0    1.27e+00
2007 03 19  0110    54178    4200      0    1.81e+00    0    1.28e+00
2007 03 19  0115    54178    4500      0    1.81e+00    0    1.28e+00
2007 03 19  0120    54178    4800      0    1.86e+00    0    1.31e+00
2007 03 19  0125    54178    5100      0    1.80e+00    0    1.26e+00
2007 03 19  0130    54178    5400      0    1.74e+00    0    1.21e+00
2007 03 19  0135    54178    5700      0    1.80e+00    0    1.26e+00
2007 03 19  0140    54178    6000      0    1.80e+00    0    1.27e+00
2007 03 19  0145    54178    6300      0    1.82e+00    0    1.28e+00
2007 03 19  0150    54178    6600      0    1.79e+00    0    1.26e+00
2007 03 19  0155    54178    6900      0    1.81e+00    0    1.26e+00
2007 03 19  0200    54178    7200      0    1.78e+00    0    1.25e+00
2007 03 19  0205    54178    7500      0    1.79e+00    0    1.26e+00
2007 03 19  0210    54178    7800      0    1.82e+00    0    1.28e+00
2007 03 19  0215    54178    8100      0    1.81e+00    0    1.26e+00
2007 03 19  0220    54178    8400      0    1.79e+00    0    1.26e+00
2007 03 19  0225    54178    8700      0    1.79e+00    0    1.27e+00
2007 03 19  0230    54178    9000      0    1.77e+00    0    1.25e+00
2007 03 19  0235    54178    9300      0    1.69e+00    0    1.18e+00
2007 03 19  0240    54178    9600      0    1.80e+00    0    1.25e+00
2007 03 19  0245    54178    9900      0    1.80e+00    0    1.28e+00
2007 03 19  0250    54178   10200      0    1.81e+00    0    1.26e+00
2007 03 19  0255    54178   10500      0    1.84e+00    0    1.28e+00
2007 03 19  0300    54178   10800      0    1.79e+00    0    1.27e+00
2007 03 19  0305    54178   11100      0    1.79e+00    0    1.26e+00
2007 03 19  0310    54178   11400      0    1.79e+00    0    1.24e+00
2007 03 19  0315    54178   11700      0    1.85e+00    0    1.30e+00
2007 03 19  0320    54178   12000      0    1.83e+00    0    1.29e+00
2007 03 19  0325    54178   12300      0    1.83e+00    0    1.29e+00
2007 03 19  0330    54178   12600      0    1.82e+00    0    1.29e+00
2007 03 19  0335    54178   12900      0    1.83e+00    0    1.29e+00
2007 03 19  0340    54178   13200      0    1.80e+00    0    1.27e+00
2007 03 19  0345    54178   13500      0    1.80e+00    0    1.26e+00
2007 03 19  0350    54178   13800      0    1.77e+00    0    1.23e+00
2007 03 19  0355    54178   14100      0    1.79e+00    0    1.25e+00
2007 03 19  0400    54178   14400      0    1.82e+00    0    1.28e+00
2007 03 19  0405    54178   14700      0    1.78e+00    0    1.25e+00
2007 03 19  0410    54178   15000      0    1.79e+00    0    1.25e+00
2007 03 19  0415    54178   15300      0    1.79e+00    0    1.25e+00
2007 03 19  0420    54178   15600      0    1.80e+00    0    1.26e+00
2007 03 19  0425    54178   15900      0    1.79e+00    0    1.25e+00
2007 03 19  0430    54178   16200      0    1.80e+00    0    1.26e+00
2007 03 19  0435    54178   16500      0    1.80e+00    0    1.24e+00
2007 03 19  0440    54178   16800      0    1.81e+00    0    1.28e+00
2007 03 19  0445    54178   17100      0    1.77e+00    0    1.24e+00
2007 03 19  0450    54178   17400      0    1.84e+00    0    1.28e+00
2007 03 19  0455    54178   17700      0    1.82e+00    0    1.27e+00
2007 03 19  0500    54178   18000      0    1.81e+00    0    1.26e+00
2007 03 19  0505    54178   18300      0    1.79e+00    0    1.25e+00
2007 03 19  0510    54178   18600      0    1.78e+00    0    1.25e+00
2007 03 19  0515    54178   18900      0    1.82e+00    0    1.29e+00
2007 03 19  0520    54178   19200      0    1.82e+00    0    1.26e+00
2007 03 19  0525    54178   19500      0    1.82e+00    0    1.27e+00
2007 03 19  0530    54178   19800      0    1.78e+00    0    1.25e+00
2007 03 19  0535    54178   20100      0    1.80e+00    0    1.26e+00
2007 03 19  0540    54178   20400      0    1.82e+00    0    1.28e+00
2007 03 19  0545    54178   20700      0    1.82e+00    0    1.27e+00
2007 03 19  0550    54178   21000      0    1.79e+00    0    1.25e+00
2007 03 19  0555    54178   21300      0    1.80e+00    0    1.25e+00
2007 03 19  0600    54178   21600      0    1.82e+00    0    1.29e+00
2007 03 19  0605    54178   21900      0    1.80e+00    0    1.26e+00
2007 03 19  0610    54178   22200      0    1.82e+00    0    1.26e+00
2007 03 19  0615    54178   22500      0    1.79e+00    0    1.25e+00
2007 03 19  0620    54178   22800      0    1.79e+00    0    1.26e+00
2007 03 19  0625    54178   23100      0    1.82e+00    0    1.29e+00
2007 03 19  0630    54178   23400      0    1.83e+00    0    1.28e+00
2007 03 19  0635    54178   23700      0    1.79e+00    0    1.24e+00
2007 03 19  0640    54178   24000      0    1.81e+00    0    1.27e+00
2007 03 19  0645    54178   24300      0    1.76e+00    0    1.25e+00
2007 03 19  0650    54178   24600      0    1.82e+00    0    1.28e+00
2007 03 19  0655    54178   24900      0    1.79e+00    0    1.25e+00
2007 03 19  0700    54178   25200      0    1.85e+00    0    1.29e+00
2007 03 19  0705    54178   25500      0    1.85e+00    0    1.28e+00
2007 03 19  0710    54178   25800      0    1.81e+00    0    1.27e+00
2007 03 19  0715    54178   26100      0    1.78e+00    0    1.24e+00
2007 03 19  0720    54178   26400      0    1.78e+00    0    1.24e+00
2007 03 19  0725    54178   26700      0    1.84e+00    0    1.29e+00
2007 03 19  0730    54178   27000      0    1.82e+00    0    1.28e+00
2007 03 19  0735    54178   27300      0    1.81e+00    0    1.27e+00
2007 03 19  0740    54178   27600      0    1.83e+00    0    1.28e+00
2007 03 19  0745    54178   27900      0    1.78e+00    0    1.24e+00
2007 03 19  0750    54178   28200      0    1.78e+00    0    1.24e+00
2007 03 19  0755    54178   28500      0    1.76e+00    0    1.22e+00
2007 03 19  0800    54178   28800      0    1.77e+00    0    1.25e+00
2007 03 19  0805    54178   29100      0    1.78e+00    0    1.24e+00
2007 03 19  0810    54178   29400      0    1.80e+00    0    1.26e+00
2007 03 19  0815    54178   29700      0    1.86e+00    0    1.26e+00
2007 03 19  0820    54178   30000      0    1.81e+00    0    1.26e+00
2007 03 19  0825    54178   30300      0    1.77e+00    0    1.24e+00
2007 03 19  0830    54178   30600      0    1.79e+00    0    1.27e+00
