:Data_list: 20070408_ace_swepam_1m.txt
:Created: 2007 Apr 09 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 04 08  0000   54198       0    0        2.6      300.9     1.99e+04
2007 04 08  0001   54198      60    0        2.3      298.7     1.75e+04
2007 04 08  0002   54198     120    0        2.1      296.5     1.51e+04
2007 04 08  0003   54198     180    0        2.9      297.8     1.37e+04
2007 04 08  0004   54198     240    9    -9999.9    -9999.9    -1.00e+05
2007 04 08  0005   54198     300    0        2.6      298.5     2.08e+04
2007 04 08  0006   54198     360    0        2.6      300.6     1.39e+04
2007 04 08  0007   54198     420    0        2.8      296.5     1.26e+04
2007 04 08  0008   54198     480    0        2.6      298.2     2.22e+04
2007 04 08  0009   54198     540    0        2.6      297.2     1.48e+04
2007 04 08  0010   54198     600    0        2.5      299.5     1.98e+04
2007 04 08  0011   54198     660    0        2.8      298.7     2.02e+04
2007 04 08  0012   54198     720    0        2.7      300.5     1.81e+04
2007 04 08  0013   54198     780    0        2.9      299.0     1.95e+04
2007 04 08  0014   54198     840    0        2.4      298.0     1.58e+04
2007 04 08  0015   54198     900    0        3.0      296.3     1.58e+04
2007 04 08  0016   54198     960    0        2.6      297.4     1.54e+04
2007 04 08  0017   54198    1020    0        2.5      296.9     1.47e+04
2007 04 08  0018   54198    1080    0        2.4      296.5     1.40e+04
2007 04 08  0019   54198    1140    0        2.7      296.2     1.38e+04
2007 04 08  0020   54198    1200    0        2.5      298.4     1.85e+04
2007 04 08  0021   54198    1260    0        2.6      296.8     1.44e+04
2007 04 08  0022   54198    1320    0        2.7      297.1     1.06e+04
2007 04 08  0023   54198    1380    0        2.4      297.6     2.04e+04
2007 04 08  0024   54198    1440    0        2.5      296.8     1.50e+04
2007 04 08  0025   54198    1500    0        2.3      297.4     1.34e+04
2007 04 08  0026   54198    1560    0        2.6      295.9     1.14e+04
2007 04 08  0027   54198    1620    0        2.3      296.6     2.11e+04
2007 04 08  0028   54198    1680    0        2.7      298.2     1.67e+04
2007 04 08  0029   54198    1740    0        2.4      297.9     2.21e+04
2007 04 08  0030   54198    1800    0        2.1      295.7     1.25e+04
2007 04 08  0031   54198    1860    0        2.2      295.2     1.29e+04
2007 04 08  0032   54198    1920    0        2.8      295.6     1.49e+04
2007 04 08  0033   54198    1980    0        2.6      297.1     1.84e+04
2007 04 08  0034   54198    2040    0        2.5      298.6     2.20e+04
2007 04 08  0035   54198    2100    0        2.3      294.9     1.24e+04
2007 04 08  0036   54198    2160    0        2.2      295.6     1.98e+04
2007 04 08  0037   54198    2220    9    -9999.9    -9999.9    -1.00e+05
2007 04 08  0038   54198    2280    0        2.5      294.2     1.02e+04
2007 04 08  0039   54198    2340    0        2.1      296.3     1.37e+04
2007 04 08  0040   54198    2400    0        2.4      296.8     1.74e+04
2007 04 08  0041   54198    2460    0        2.4      295.3     1.65e+04
2007 04 08  0042   54198    2520    0        2.2      294.7     1.19e+04
2007 04 08  0043   54198    2580    0        2.6      296.1     1.50e+04
2007 04 08  0044   54198    2640    0        2.4      294.6     1.02e+04
2007 04 08  0045   54198    2700    0        2.2      295.4     1.59e+04
2007 04 08  0046   54198    2760    0        2.6      294.6     1.28e+04
2007 04 08  0047   54198    2820    0        2.3      296.3     1.61e+04
2007 04 08  0048   54198    2880    0        2.6      294.9     1.20e+04
2007 04 08  0049   54198    2940    0        2.4      296.1     1.24e+04
2007 04 08  0050   54198    3000    0        2.2      297.3     1.27e+04
2007 04 08  0051   54198    3060    0        2.4      295.1     1.45e+04
2007 04 08  0052   54198    3120    0        2.5      295.3     2.25e+04
2007 04 08  0053   54198    3180    0        2.7      296.5     2.08e+04
2007 04 08  0054   54198    3240    0        2.0      296.8     1.39e+04
2007 04 08  0055   54198    3300    0        2.3      294.1     1.21e+04
2007 04 08  0056   54198    3360    0        2.7      299.0     2.19e+04
2007 04 08  0057   54198    3420    0        2.7      296.8     2.39e+04
2007 04 08  0058   54198    3480    0        2.2      296.2     1.79e+04
2007 04 08  0059   54198    3540    0        2.7      295.7     2.07e+04
2007 04 08  0100   54198    3600    0        2.0      296.2     1.57e+04
2007 04 08  0101   54198    3660    0        2.6      297.6     2.00e+04
2007 04 08  0102   54198    3720    0        2.8      298.1     1.93e+04
2007 04 08  0103   54198    3780    0        2.6      296.6     1.75e+04
2007 04 08  0104   54198    3840    0        2.4      298.8     2.32e+04
2007 04 08  0105   54198    3900    0        2.6      298.3     2.07e+04
2007 04 08  0106   54198    3960    0        2.8      297.9     1.82e+04
2007 04 08  0107   54198    4020    0        2.7      297.5     1.82e+04
2007 04 08  0108   54198    4080    0        3.2      294.5     1.20e+04
2007 04 08  0109   54198    4140    0        2.4      296.1     1.47e+04
2007 04 08  0110   54198    4200    9    -9999.9    -9999.9    -1.00e+05
2007 04 08  0111   54198    4260    0        2.4      295.1     1.45e+04
2007 04 08  0112   54198    4320    0        3.0      296.9     1.64e+04
2007 04 08  0113   54198    4380    0        2.6      297.1     1.69e+04
2007 04 08  0114   54198    4440    0        2.3      295.7     1.41e+04
2007 04 08  0115   54198    4500    0        2.9      296.0     1.55e+04
