:Data_list: 20070507_ace_swepam_1m.txt
:Created: 2007 May 08 1535 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 05 07  0000   54227       0    0        6.9      284.2     1.30e+04
2007 05 07  0001   54227      60    0        6.0      283.9     1.30e+04
2007 05 07  0002   54227     120    0        6.4      285.1     1.36e+04
2007 05 07  0003   54227     180    0        6.8      286.4     1.43e+04
2007 05 07  0004   54227     240    0        7.5      289.3     2.20e+04
2007 05 07  0005   54227     300    0        6.9      285.7     1.34e+04
2007 05 07  0006   54227     360    0        6.4      285.7     1.46e+04
2007 05 07  0007   54227     420    0        6.7      286.0     1.14e+04
2007 05 07  0008   54227     480    0        6.1      285.7     1.30e+04
2007 05 07  0009   54227     540    0        6.0      285.6     1.36e+04
2007 05 07  0010   54227     600    0        6.2      284.2     1.12e+04
2007 05 07  0011   54227     660    0        6.2      283.2     1.09e+04
2007 05 07  0012   54227     720    0        6.2      284.9     1.39e+04
2007 05 07  0013   54227     780    0        6.9      284.8     1.28e+04
2007 05 07  0014   54227     840    0        6.6      285.1     1.14e+04
2007 05 07  0015   54227     900    9    -9999.9    -9999.9    -1.00e+05
2007 05 07  0016   54227     960    0        6.8      282.2     1.33e+04
2007 05 07  0017   54227    1020    0        5.3      282.7     1.30e+04
2007 05 07  0018   54227    1080    0        5.9      282.6     1.39e+04
2007 05 07  0019   54227    1140    0        6.6      282.6     1.48e+04
2007 05 07  0020   54227    1200    0        6.8      285.3     1.36e+04
2007 05 07  0021   54227    1260    0        6.2      284.1     1.34e+04
2007 05 07  0022   54227    1320    0        6.3      285.2     1.38e+04
2007 05 07  0023   54227    1380    0        5.6      283.5     1.33e+04
2007 05 07  0024   54227    1440    0        6.8      286.2     1.29e+04
2007 05 07  0025   54227    1500    0        5.6      284.8     1.47e+04
2007 05 07  0026   54227    1560    0        5.7      284.6     1.30e+04
2007 05 07  0027   54227    1620    0        6.2      285.6     1.37e+04
2007 05 07  0028   54227    1680    0        6.1      285.6     1.41e+04
2007 05 07  0029   54227    1740    0        5.0      285.3     1.42e+04
2007 05 07  0030   54227    1800    0        6.0      285.7     1.39e+04
2007 05 07  0031   54227    1860    0        5.9      285.1     1.35e+04
2007 05 07  0032   54227    1920    0        5.9      285.3     1.23e+04
2007 05 07  0033   54227    1980    0        5.9      285.4     1.39e+04
2007 05 07  0034   54227    2040    0        6.0      285.1     1.31e+04
2007 05 07  0035   54227    2100    0        6.2      284.8     1.24e+04
2007 05 07  0036   54227    2160    0        5.5      285.3     1.40e+04
2007 05 07  0037   54227    2220    0        5.9      285.4     1.30e+04
2007 05 07  0038   54227    2280    0        5.9      284.3     1.41e+04
2007 05 07  0039   54227    2340    0        5.9      284.5     1.86e+04
2007 05 07  0040   54227    2400    0        5.5      285.3     1.74e+04
2007 05 07  0041   54227    2460    0        6.3      285.3     1.40e+04
2007 05 07  0042   54227    2520    0        6.0      286.8     1.45e+04
2007 05 07  0043   54227    2580    0        5.5      285.0     1.22e+04
2007 05 07  0044   54227    2640    0        4.7      287.5     1.40e+04
2007 05 07  0045   54227    2700    0        5.5      289.0     1.62e+04
2007 05 07  0046   54227    2760    0        5.6      286.9     1.40e+04
2007 05 07  0047   54227    2820    0        6.2      287.5     1.25e+04
2007 05 07  0048   54227    2880    9    -9999.9    -9999.9    -1.00e+05
2007 05 07  0049   54227    2940    0        6.2      285.8     1.60e+04
2007 05 07  0050   54227    3000    0        6.6      285.9     1.71e+04
2007 05 07  0051   54227    3060    0        7.0      286.0     1.82e+04
2007 05 07  0052   54227    3120    0        6.2      288.8     1.59e+04
2007 05 07  0053   54227    3180    0        5.2      288.6     1.38e+04
2007 05 07  0054   54227    3240    0        5.9      288.5     1.39e+04
2007 05 07  0055   54227    3300    0        6.7      287.9     1.55e+04
2007 05 07  0056   54227    3360    0        6.8      287.6     1.29e+04
2007 05 07  0057   54227    3420    0        5.9      287.9     1.68e+04
2007 05 07  0058   54227    3480    0        6.5      287.2     1.28e+04
2007 05 07  0059   54227    3540    0        6.2      287.3     1.66e+04
2007 05 07  0100   54227    3600    0        6.4      288.9     1.25e+04
2007 05 07  0101   54227    3660    0        6.1      287.1     1.48e+04
2007 05 07  0102   54227    3720    0        6.8      286.6     1.40e+04
2007 05 07  0103   54227    3780    0        5.9      287.2     1.43e+04
2007 05 07  0104   54227    3840    0        6.1      287.3     1.26e+04
2007 05 07  0105   54227    3900    0        5.8      287.9     1.23e+04
2007 05 07  0106   54227    3960    0        6.1      287.8     1.26e+04
2007 05 07  0107   54227    4020    0        6.5      287.7     1.29e+04
2007 05 07  0108   54227    4080    0        6.0      287.9     1.50e+04
2007 05 07  0109   54227    4140    0        6.6      288.8     1.31e+04
2007 05 07  0110   54227    4200    0        6.5      289.3     1.55e+04
2007 05 07  0111   54227    4260    0        6.7      290.8     1.25e+04
2007 05 07  0112   54227    4320    0        6.7      289.5     1.55e+04
2007 05 07  0113   54227    4380    0        7.0      289.5     1.45e+04
2007 05 07  0114   54227    4440    0        5.8      287.6     1.46e+04
2007 05 07  0115   54227    4500    0        6.0      287.7     1.11e+04
2007 05 07  0116   54227    4560    0        7.1      286.1     1.30e+04
2007 05 07  0117   54227    4620    0        6.6      287.4     1.24e+04
2007 05 07  0118   54227    4680    0        6.8      286.4     1.47e+04
2007 05 07  0119   54227    4740    0        7.5      287.5     1.19e+04
2007 05 07  0120   54227    4800    0        6.3      284.6     1.31e+04
2007 05 07  0121   54227    4860    9    -9999.9    -9999.9    -1.00e+05
2007 05 07  0122   54227    4920    0        6.4      285.6     1.23e+04
2007 05 07  0123   54227    4980    0        6.4      285.6     1.23e+04
2007 05 07  0124   54227    5040    0        5.8      285.8     1.33e+04
2007 05 07  0125   54227    5100    0        6.8      286.2     1.24e+04
2007 05 07  0126   54227    5160    0        6.5      285.5     1.54e+04
2007 05 07  0127   54227    5220    0        6.3      287.4     1.44e+04
2007 05 07  0128   54227    5280    0        6.0      284.5     1.30e+04
2007 05 07  0129   54227    5340    0        6.7      286.4     1.35e+04
2007 05 07  0130   54227    5400    0        5.6      285.0     1.38e+04
2007 05 07  0131   54227    5460    0        5.2      285.7     1.27e+04
2007 05 07  0132   54227    5520    0        5.3      283.3     1.29e+04
2007 05 07  0133   54227    5580    0        6.2      286.3     1.34e+04
2007 05 07  0134   54227    5640    0        5.3      286.0     1.10e+04
2007 05 07  0135   54227    5700    0        5.2      284.6     1.33e+04
2007 05 07  0136   54227    5760    0        5.5      285.2     1.67e+04
2007 05 07  0137   54227    5820    0        5.0      283.9     1.39e+04
2007 05 07  0138   54227    5880    0        5.3      285.1     1.39e+04
2007 05 07  0139   54227    5940    0        5.6      286.2     1.38e+04
2007 05 07  0140   54227    6000    0        5.8      288.6     1.42e+04
2007 05 07  0141   54227    6060    0        6.3      288.0     1.55e+04
2007 05 07  0142   54227    6120    0        5.7      288.1     1.16e+04
2007 05 07  0143   54227    6180    0        4.4      287.6     1.33e+04
2007 05 07  0144   54227    6240    0        5.9      288.9     1.47e+04
2007 05 07  0145   54227    6300    0        5.4      288.3     1.75e+04
2007 05 07  0146   54227    6360    0        5.9      289.1     1.56e+04
2007 05 07  0147   54227    6420    0        5.5      289.0     1.60e+04
2007 05 07  0148   54227    6480    0        5.9      289.8     1.81e+04
2007 05 07  0149   54227    6540    0        5.7      290.0     1.66e+04
2007 05 07  0150   54227    6600    0        5.7      287.7     1.33e+04
2007 05 07  0151   54227    6660    0        6.5      288.7     1.61e+04
2007 05 07  0152   54227    6720    0        4.1      288.2     1.46e+04
2007 05 07  0153   54227    6780    0        5.7      288.8     1.63e+04
2007 05 07  0154   54227    6840    0        5.7      288.8     1.63e+04
2007 05 07  0155   54227    6900    9    -9999.9    -9999.9    -1.00e+05
2007 05 07  0156   54227    6960    0        4.1      287.6     1.16e+04
2007 05 07  0157   54227    7020    0        5.1      288.8     1.48e+04
2007 05 07  0158   54227    7080    0        5.8      287.0     1.43e+04
2007 05 07  0159   54227    7140    0        5.4      286.2     1.48e+04
2007 05 07  0200   54227    7200    0        5.9      287.4     1.40e+04
2007 05 07  0201   54227    7260    0        5.6      287.2     1.34e+04
2007 05 07  0202   54227    7320    0        6.5      288.7     1.69e+04
2007 05 07  0203   54227    7380    0        5.8      288.4     1.82e+04
2007 05 07  0204   54227    7440    0        6.2      288.5     1.52e+04
2007 05 07  0205   54227    7500    0        6.3      287.2     1.74e+04
2007 05 07  0206   54227    7560    0        4.8      289.6     1.33e+04
2007 05 07  0207   54227    7620    0        6.5      286.8     1.60e+04
2007 05 07  0208   54227    7680    0        6.2      288.2     1.66e+04
2007 05 07  0209   54227    7740    0        6.3      289.0     1.82e+04
2007 05 07  0210   54227    7800    0        6.6      289.9     1.84e+04
2007 05 07  0211   54227    7860    0        6.9      290.7     1.87e+04
2007 05 07  0212   54227    7920    0        5.6      289.8     1.50e+04
2007 05 07  0213   54227    7980    0        6.0      288.4     1.53e+04
2007 05 07  0214   54227    8040    0        6.1      287.7     1.56e+04
2007 05 07  0215   54227    8100    0        6.0      288.3     1.74e+04
2007 05 07  0216   54227    8160    0        5.5      285.7     1.45e+04
2007 05 07  0217   54227    8220    0        5.8      285.5     1.22e+04
2007 05 07  0218   54227    8280    0        6.2      288.2     1.67e+04
2007 05 07  0219   54227    8340    0        5.8      288.0     1.65e+04
2007 05 07  0220   54227    8400    0        5.5      286.2     1.22e+04
2007 05 07  0221   54227    8460    0        6.0      287.7     1.38e+04
2007 05 07  0222   54227    8520    0        5.6      286.9     1.58e+04
2007 05 07  0223   54227    8580    0        6.1      289.3     1.88e+04
2007 05 07  0224   54227    8640    0        5.7      286.1     2.05e+04
2007 05 07  0225   54227    8700    0        6.0      296.2     1.78e+04
2007 05 07  0226   54227    8760    0        5.5      291.9     1.53e+04
2007 05 07  0227   54227    8820    0        5.1      287.6     1.28e+04
2007 05 07  0228   54227    8880    9    -9999.9    -9999.9    -1.00e+05
2007 05 07  0229   54227    8940    0        6.8      288.8     1.82e+04
2007 05 07  0230   54227    9000    0        6.5      288.2     1.38e+04
2007 05 07  0231   54227    9060    0        6.2      289.2     1.72e+04
2007 05 07  0232   54227    9120    0        6.4      287.4     1.41e+04
2007 05 07  0233   54227    9180    0        7.1      287.1     1.26e+04
2007 05 07  0234   54227    9240    0        6.1      287.4     1.35e+04
